video,frame_index,column,source,shape,dtype,min_r,min_g,min_b,max_r,max_g,max_b,mean_r,mean_g,mean_b,green_dominant_ratio
bear,81,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/bear/00081.jpg,"(1080, 1920, 3)",uint8,1,0,0,255,255,255,102.10042197145061,89.9525458140432,83.41389660493827,1.8325617283950617e-05
bear,81,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/bear/00081.png,"(1080, 1920, 3)",uint8,1,0,0,255,255,255,110.77173369984568,86.52812644675926,80.70110869984568,1.8325617283950617e-05
bear,81,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/bear/00081.png,"(1080, 1920, 3)",uint8,2,0,0,255,255,255,102.68522810570988,92.25838493441358,86.83826099537038,0.0
bear,81,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/bear/00081.png,"(1080, 1920, 3)",uint8,0,0,0,255,255,255,100.56918740354938,91.76559944058641,83.14048948688271,0.00016059027777777778
bear,81,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/bear/00081.png,"(1080, 1920, 3)",uint8,0,0,0,255,255,255,96.0241512345679,87.29278018904321,79.04998505015432,0.00016059027777777778
boat,0,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/boat/00000.jpg,"(900, 1600, 3)",uint8,0,7,3,255,255,255,109.68180555555556,122.11822986111112,138.30621597222222,6.944444444444445e-07
boat,0,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/boat/00000.png,"(900, 1600, 3)",uint8,0,6,1,255,255,255,114.12803402777777,119.24970486111111,134.93823263888888,6.944444444444445e-07
boat,0,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/boat/00000.png,"(900, 1600, 3)",uint8,4,10,14,247,248,248,109.61795486111112,122.01282013888888,137.79049930555556,0.0
boat,0,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/boat/00000.png,"(900, 1600, 3)",uint8,0,5,2,240,247,255,105.27067222222222,118.98951597222222,133.6785625,8.888888888888889e-05
boat,0,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/boat/00000.png,"(900, 1600, 3)",uint8,0,4,2,255,253,255,104.76698819444445,118.36456805555555,132.9537736111111,9.583333333333334e-05
boat,37,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/boat/00037.jpg,"(900, 1600, 3)",uint8,0,7,1,255,255,255,111.66162291666667,124.89643055555555,141.16990069444444,2.777777777777778e-06
boat,37,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/boat/00037.png,"(900, 1600, 3)",uint8,2,4,0,255,247,255,115.8312548611111,122.32175138888888,138.14849652777778,2.777777777777778e-06
boat,37,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/boat/00037.png,"(900, 1600, 3)",uint8,3,11,14,240,243,252,111.96870555555556,124.97185694444444,140.86449375,0.0
boat,37,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/boat/00037.png,"(900, 1600, 3)",uint8,0,0,0,237,246,255,107.54816736111111,122.15026319444445,136.9197951388889,0.0
boat,37,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/boat/00037.png,"(900, 1600, 3)",uint8,0,0,0,244,246,255,107.4826298611111,121.92166875,136.736625,4.861111111111111e-06
boat,74,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/boat/00074.jpg,"(900, 1600, 3)",uint8,0,2,6,255,254,255,112.50159305555556,126.47619513888888,143.44643819444445,4.166666666666667e-06
boat,74,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/boat/00074.png,"(900, 1600, 3)",uint8,3,2,3,255,254,255,116.40365208333333,124.07312291666666,140.6201888888889,4.166666666666667e-06
boat,74,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/boat/00074.png,"(900, 1600, 3)",uint8,9,12,14,239,239,245,112.47696180555556,126.2698923611111,142.85219097222222,0.0
boat,74,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/boat/00074.png,"(900, 1600, 3)",uint8,0,0,1,232,240,255,108.5225,123.71240763888889,139.40797847222223,1.388888888888889e-05
boat,74,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/boat/00074.png,"(900, 1600, 3)",uint8,0,0,8,242,240,255,108.08792569444445,123.20595625,139.29611875,0.0
kite-surf,0,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/kite-surf/00000.jpg,"(1080, 1920, 3)",uint8,0,0,0,255,255,255,91.21822241512346,138.7464920910494,142.09420572916667,1.736111111111111e-05
kite-surf,0,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/kite-surf/00000.png,"(1080, 1920, 3)",uint8,0,0,0,255,255,255,92.74799575617284,137.53869936342593,140.9014809992284,2.4112654320987654e-06
kite-surf,0,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/kite-surf/00000.png,"(1080, 1920, 3)",uint8,0,53,66,251,247,248,89.88331886574075,139.7240837191358,143.34648919753087,0.0
kite-surf,0,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/kite-surf/00000.png,"(1080, 1920, 3)",uint8,0,53,69,250,252,254,85.95316358024691,136.90818962191358,139.05272280092592,0.0
kite-surf,0,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/kite-surf/00000.png,"(1080, 1920, 3)",uint8,0,53,69,250,252,255,85.75195457175926,137.32011477623456,139.57704330632717,0.0
kite-surf,25,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/kite-surf/00025.jpg,"(1080, 1920, 3)",uint8,0,0,0,255,255,255,96.3981356095679,137.08234905478395,140.14392361111112,5.304783950617284e-06
kite-surf,25,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/kite-surf/00025.png,"(1080, 1920, 3)",uint8,0,0,0,255,255,255,97.80045717592593,135.9285050154321,138.99434365354938,2.4112654320987654e-06
kite-surf,25,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/kite-surf/00025.png,"(1080, 1920, 3)",uint8,0,37,44,251,250,250,94.86197000385802,137.69497829861112,141.04419945987655,0.0
kite-surf,25,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/kite-surf/00025.png,"(1080, 1920, 3)",uint8,0,40,30,254,251,249,91.36605324074074,135.65810619212962,137.26010947145062,1.0609567901234568e-05
kite-surf,25,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/kite-surf/00025.png,"(1080, 1920, 3)",uint8,0,40,30,252,251,249,90.53113956404322,135.37039930555557,136.88171489197532,1.0609567901234568e-05
kite-surf,49,input,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/JPEGImages/Full-Resolution/kite-surf/00049.jpg,"(1080, 1920, 3)",uint8,0,11,0,255,255,254,93.03854070216049,133.55167679398147,139.11424961419752,1.4467592592592592e-06
kite-surf,49,mask_overlay,/mnt/nas/hj/data/external/davis_2017_full_resolution_or_eval50/DAVIS/Annotations/Full-Resolution/kite-surf/00049.png,"(1080, 1920, 3)",uint8,0,6,0,255,255,254,94.17747010030864,132.8136111111111,138.38101851851852,9.645061728395062e-07
kite-surf,49,propainter,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/propainter/raw_frames/kite-surf/00049.png,"(1080, 1920, 3)",uint8,0,63,64,253,251,252,91.83103395061728,133.84391878858025,139.60917775848765,0.0
kite-surf,49,diffueraser_sft48000,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/diffueraser_sft48000/raw_frames/kite-surf/00049.png,"(1080, 1920, 3)",uint8,0,3,0,254,255,254,87.68032118055555,131.1633984375,135.461512345679,0.0
kite-surf,49,ours_exp11_outer_b075_s2,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/ours_exp11_outer_b075_s2/raw_frames/kite-surf/00049.png,"(1080, 1920, 3)",uint8,0,16,19,254,255,254,87.21969280478395,130.8906327160494,135.1785865162037,0.0
bear,-1,old_contact,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/contact_sheets/bear.jpg,"(2160, 1920, 3)",uint8,0,0,0,255,255,255,56.17464216820988,52.01835238233025,49.337594762731484,0.003037471064814815
bear,0,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/bear.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,53.58547743055556,51.04320601851852,46.070717592592594,0.01736689814814815
bear,12,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/bear.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,53.65997974537037,50.88541232638889,46.166335358796296,0.0044835069444444445
bear,23,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/bear.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,53.25706741898148,50.388671875,45.769098668981485,0.004571759259259259
boat,-1,old_contact,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/contact_sheets/boat.jpg,"(2160, 1920, 3)",uint8,0,0,0,255,255,255,55.005907359182096,58.687536651234566,63.42232156635802,0.002650945216049383
boat,0,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/boat.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,51.91457320601852,56.958858506944445,59.629171006944446,0.015568576388888889
boat,12,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/boat.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,52.541125578703706,57.562489872685184,60.44834780092592,0.004347511574074074
boat,23,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/boat.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,52.78323061342593,58.00013310185185,60.88384548611111,0.004447337962962963
kite-surf,-1,old_contact,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/contact_sheets/kite-surf.jpg,"(2160, 1920, 3)",uint8,0,0,0,255,255,255,53.55624927662037,70.01511260609568,70.3370881558642,0.009053819444444444
kite-surf,0,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/kite-surf.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,52.506770833333334,69.8356032986111,67.6663671875,0.016352719907407408
kite-surf,12,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/kite-surf.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,49.437077546296294,68.16211516203704,66.99563512731481,0.004881365740740741
kite-surf,23,old_mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/target_eval/exp15_or_benchmark_davis50/visual_grids/videos/kite-surf.mp4,"(360, 1920, 3)",uint8,0,0,0,255,255,255,51.50414351851852,68.52677806712963,66.76974826388889,0.0050810185185185186
