model,sample_id,review_sheet,review_method,classification_auto,classification_final,reason
propainter,BLENDER_FOREST028_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST028_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,MEDIUM_HARD_ELIGIBLE,MEDIUM_HARD_ELIGIBLE,visual review: bounded local residual/texture defect with acceptable outside preservation
diffueraser,BLENDER_FOREST028_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST028_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,BLENDER_FOREST030_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST030_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,BLENDER_FOREST030_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST030_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,BLENDER_FOREST034_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_BLENDER_FOREST034_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,BLENDER_FOREST034_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_BLENDER_FOREST034_00001_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,REAL_ENV046_00006_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV046_00006_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,REAL_ENV046_00006_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV046_00006_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,REAL_ENV046_00007_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV046_00007_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,REAL_ENV046_00007_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV046_00007_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,REAL_ENV047_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV047_00001_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,REAL_ENV047_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV047_00001_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,REAL_ENV047_00003_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV047_00003_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,REAL_ENV047_00003_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV047_00003_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,REAL_ENV049_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV049_00001_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,REAL_ENV049_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV049_00001_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,REAL_ENV049_00002_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV049_00002_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,REAL_ENV049_00002_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV049_00002_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,REAL_ENV054_00002_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV054_00002_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,REAL_ENV054_00002_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV054_00002_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
propainter,REAL_ENV055_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV055_00001_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,"visual review: too strong, too clean, or visible artifact; not medium-hard"
diffueraser,REAL_ENV055_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV055_00001_001_01_review.jpg,codex_opened_combined_review_pages_verified_00_to_07_and_single_sheet_paths_recorded,TRIVIAL_BAD,TRIVIAL_BAD,visual review: DiffuEraser shows systematic white/blur artifacts or outside damage; not usable
