failed_split,failed_vpdata_id,rank,replacement_vpdata_id,source_video_id,path,source_url,native_mask_id,reason
test,test_pexels_000000299470_17716904_mask3,1,test_pexels_000000226257_9056557_mask1,9056557,000000226257_9056557.mp4,https://videos.pexels.com/video-files/9056557/9056557-hd_1920_1080_25fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288053_15305718_mask4,1,train_pexels_000000049844_5199842_mask3,5199842,000000049844_5199842.mp4,https://videos.pexels.com/video-files/5199842/5199842-hd_1920_1080_25fps.mp4,3,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288053_15305718_mask4,2,train_pexels_000000264216_11519329_mask1,11519329,000000264216_11519329.mp4,https://videos.pexels.com/video-files/11519329/11519329-hd_1080_1920_30fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288053_15305718_mask4,3,train_pexels_000000316401_20365538_mask25,20365538,000000316401_20365538.mp4,https://videos.pexels.com/video-files/20365538/20365538-hd_1920_1080_30fps.mp4,25,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288053_15305718_mask4,4,train_pexels_000000102171_6522540_mask1,6522540,000000102171_6522540.mp4,https://videos.pexels.com/video-files/6522540/6522540-hd_1080_1920_24fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000288053_15305718_mask4,5,train_pexels_000000306032_18851816_mask1,18851816,000000306032_18851816.mp4,https://videos.pexels.com/video-files/18851816/18851816-hd_1920_1080_30fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000291031_15818386_mask2,1,train_pexels_000000157215_7619747_mask2,7619747,000000157215_7619747.mp4,https://videos.pexels.com/video-files/7619747/7619747-hd_1080_1920_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000291031_15818386_mask2,2,train_pexels_000000185478_8190837_mask2,8190837,000000185478_8190837.mp4,https://videos.pexels.com/video-files/8190837/8190837-hd_1080_2048_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000291031_15818386_mask2,3,train_pexels_000000202983_8513968_mask9,8513968,000000202983_8513968.mp4,https://videos.pexels.com/video-files/8513968/8513968-hd_1920_1080_25fps.mp4,9,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000291031_15818386_mask2,4,train_pexels_000000057365_5423095_mask5,5423095,000000057365_5423095.mp4,https://videos.pexels.com/video-files/5423095/5423095-hd_1920_1080_30fps.mp4,5,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000291031_15818386_mask2,5,train_pexels_000000289986_15626153_mask12,15626153,000000289986_15626153.mp4,https://videos.pexels.com/video-files/15626153/15626153-hd_1920_1080_24fps.mp4,12,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000292692_16192022_mask9,1,train_pexels_000000086256_6139296_mask26,6139296,000000086256_6139296.mp4,https://videos.pexels.com/video-files/6139296/6139296-hd_1920_1080_25fps.mp4,26,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000292692_16192022_mask9,2,train_pexels_000000099174_6443908_mask19,6443908,000000099174_6443908.mp4,https://videos.pexels.com/video-files/6443908/6443908-hd_2048_864_25fps.mp4,19,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000292692_16192022_mask9,3,train_pexels_000000116349_6788039_mask3,6788039,000000116349_6788039.mp4,https://videos.pexels.com/video-files/6788039/6788039-hd_2048_1080_25fps.mp4,3,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000292692_16192022_mask9,4,train_pexels_000000026335_4407771_mask8,4407771,000000026335_4407771.mp4,https://videos.pexels.com/video-files/4407771/4407771-hd_1920_1080_30fps.mp4,8,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000292692_16192022_mask9,5,train_pexels_000000225585_9029612_mask1,9029612,000000225585_9029612.mp4,https://videos.pexels.com/video-files/9029612/9029612-hd_1920_1080_24fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000301517_18040529_mask1,1,train_pexels_000000311976_19803836_mask2,19803836,000000311976_19803836.mp4,https://videos.pexels.com/video-files/19803836/19803836-hd_1920_1080_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000301517_18040529_mask1,2,train_pexels_000000161086_7678108_mask4,7678108,000000161086_7678108.mp4,https://videos.pexels.com/video-files/7678108/7678108-hd_1920_1080_25fps.mp4,4,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000301517_18040529_mask1,3,train_pexels_000000112747_6703633_mask4,6703633,000000112747_6703633.mp4,https://videos.pexels.com/video-files/6703633/6703633-hd_1920_1080_25fps.mp4,4,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000301517_18040529_mask1,4,train_pexels_000000219604_8916738_mask5,8916738,000000219604_8916738.mp4,https://videos.pexels.com/video-files/8916738/8916738-hd_2048_1080_24fps.mp4,5,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000301517_18040529_mask1,5,train_pexels_000000059608_5493839_mask10,5493839,000000059608_5493839.mp4,https://videos.pexels.com/video-files/5493839/5493839-hd_1080_2048_25fps.mp4,10,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000318486_20634935_mask2,1,train_pexels_000000197018_8439150_mask2,8439150,000000197018_8439150.mp4,https://videos.pexels.com/video-files/8439150/8439150-hd_1920_1080_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000318486_20634935_mask2,2,train_pexels_000000095640_6322172_mask1,6322172,000000095640_6322172.mp4,https://videos.pexels.com/video-files/6322172/6322172-hd_1080_1920_25fps.mp4,1,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000318486_20634935_mask2,3,train_pexels_000000306612_18983884_mask2,18983884,000000306612_18983884.mp4,https://videos.pexels.com/video-files/18983884/18983884-hd_1920_1080_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000318486_20634935_mask2,4,train_pexels_000000185046_8179546_mask2,8179546,000000185046_8179546.mp4,https://videos.pexels.com/video-files/8179546/8179546-hd_1080_2048_25fps.mp4,2,same-split deterministic Pexels-only replacement; original URL HTTP 403
train,train_pexels_000000318486_20634935_mask2,5,train_pexels_000000080926_5992311_mask4,5992311,000000080926_5992311.mp4,https://videos.pexels.com/video-files/5992311/5992311-hd_1080_1920_30fps.mp4,4,same-split deterministic Pexels-only replacement; original URL HTTP 403
