frame_range,step,variant,sample_id,status,tc
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV198_00004_003_05,ok,0.9860761761665344
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV064_00001_001_05,ok,0.9911333322525024
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV265_00002_001_04,ok,0.9798619151115417
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV234_00009_005_02,ok,0.986137330532074
no_first_frame,step0,raw,vp2_vor_bg_49f_REAL_ENV173_00005_005_05,ok,0.9822404980659485
no_first_frame,step0,raw,vp2_vor_bg_49f_BLENDER_BEACH024_00003,ok,0.9961463212966919
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,ok,0.9911081790924072
no_first_frame,step0,comp,vp2_vor_bg_49f_BLENDER_FOREST015_00002,ok,0.9920769333839417
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV193_00001_002_02,ok,0.9906288981437683
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV171_00001_001_01,ok,0.9955087304115295
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV135_00001_006_02,ok,0.9957026839256287
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV179_00002_003_04,ok,0.9853411912918091
no_first_frame,step0,comp,vp2_vor_bg_49f_BLENDER_RIVER016_00009,ok,0.9955441355705261
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV191_00012_006_04,ok,0.9861962199211121
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV205_00001_002_05,ok,0.9808188676834106
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV222_00101_004_03,ok,0.980983316898346
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV187_00002_001_05,ok,0.9790559411048889
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV163_00012_003_02,ok,0.972557783126831
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV153_00012_003_04,ok,0.9900548458099365
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV234_00006_001_03,ok,0.9909483194351196
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV196_00009_001_01,ok,0.9934329390525818
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV161_00002_004_04,ok,0.9901931285858154
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV198_00005_005_05,ok,0.9837061166763306
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV140_00002_002_05,ok,0.9810934066772461
no_first_frame,step0,comp,vp2_vor_bg_49f_BLENDER_FOREST034_00543,ok,0.979831874370575
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV176_00017_005_01,ok,0.9916378855705261
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV186_00001_004_02,ok,0.9914665818214417
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV175_00002_004_04,ok,0.9919341206550598
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV033_00001_004_05,ok,0.9827867746353149
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV271_00103_001_04,ok,0.979912281036377
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV252_00001_002_03,ok,0.973824143409729
no_first_frame,step0,comp,vp2_vor_bg_49f_BLENDER_BEACH001_00305,ok,0.9957908987998962
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV198_00004_003_05,ok,0.9850924611091614
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV064_00001_001_05,ok,0.9887389540672302
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV265_00002_001_04,ok,0.9807339906692505
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV234_00009_005_02,ok,0.983228325843811
no_first_frame,step0,comp,vp2_vor_bg_49f_REAL_ENV173_00005_005_05,ok,0.9807469248771667
no_first_frame,step0,comp,vp2_vor_bg_49f_BLENDER_BEACH024_00003,ok,0.9956569075584412
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,ok,0.9984456896781921
no_first_frame,step50,raw,vp2_vor_bg_49f_BLENDER_FOREST015_00002,ok,0.9985535144805908
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV193_00001_002_02,ok,0.9972772002220154
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV171_00001_001_01,ok,0.9969730973243713
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV135_00001_006_02,ok,0.9978283643722534
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV179_00002_003_04,ok,0.993416428565979
no_first_frame,step50,raw,vp2_vor_bg_49f_BLENDER_RIVER016_00009,ok,0.9972878098487854
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV191_00012_006_04,ok,0.9872701168060303
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV205_00001_002_05,ok,0.9779852032661438
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV222_00101_004_03,ok,0.9869912266731262
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV187_00002_001_05,ok,0.9804165363311768
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV163_00012_003_02,ok,0.9873000383377075
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV153_00012_003_04,ok,0.9912724494934082
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV234_00006_001_03,ok,0.9925157427787781
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV196_00009_001_01,ok,0.9947837591171265
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV161_00002_004_04,ok,0.991476833820343
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV198_00005_005_05,ok,0.9841758012771606
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV140_00002_002_05,ok,0.9882507920265198
no_first_frame,step50,raw,vp2_vor_bg_49f_BLENDER_FOREST034_00543,ok,0.9978329539299011
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV176_00017_005_01,ok,0.9953287243843079
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV186_00001_004_02,ok,0.9974910020828247
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV175_00002_004_04,ok,0.9956482648849487
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV033_00001_004_05,ok,0.9884521961212158
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV271_00103_001_04,ok,0.9847392439842224
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV252_00001_002_03,ok,0.9901316165924072
no_first_frame,step50,raw,vp2_vor_bg_49f_BLENDER_BEACH001_00305,ok,0.9980776906013489
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV198_00004_003_05,ok,0.9924165606498718
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV064_00001_001_05,ok,0.9948782324790955
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV265_00002_001_04,ok,0.9881483316421509
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV234_00009_005_02,ok,0.9886646866798401
no_first_frame,step50,raw,vp2_vor_bg_49f_REAL_ENV173_00005_005_05,ok,0.985725462436676
no_first_frame,step50,raw,vp2_vor_bg_49f_BLENDER_BEACH024_00003,ok,0.9968899488449097
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV109_00002_005_02,ok,0.9972112774848938
no_first_frame,step50,comp,vp2_vor_bg_49f_BLENDER_FOREST015_00002,ok,0.9992471933364868
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV193_00001_002_02,ok,0.9978855848312378
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV171_00001_001_01,ok,0.997169554233551
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV135_00001_006_02,ok,0.9979984760284424
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV179_00002_003_04,ok,0.9932804703712463
no_first_frame,step50,comp,vp2_vor_bg_49f_BLENDER_RIVER016_00009,ok,0.9968108534812927
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV191_00012_006_04,ok,0.9837784171104431
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV205_00001_002_05,ok,0.9831895232200623
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV222_00101_004_03,ok,0.9865919351577759
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV187_00002_001_05,ok,0.9845064878463745
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV163_00012_003_02,ok,0.9894835352897644
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV153_00012_003_04,ok,0.9910282492637634
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV234_00006_001_03,ok,0.9912543892860413
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV196_00009_001_01,ok,0.9930186867713928
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV161_00002_004_04,ok,0.9909484386444092
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV198_00005_005_05,ok,0.9857799410820007
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV140_00002_002_05,ok,0.984025776386261
no_first_frame,step50,comp,vp2_vor_bg_49f_BLENDER_FOREST034_00543,ok,0.9967227578163147
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV176_00017_005_01,ok,0.9925806522369385
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV186_00001_004_02,ok,0.9955734014511108
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV175_00002_004_04,ok,0.9939083456993103
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV033_00001_004_05,ok,0.9845089316368103
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV271_00103_001_04,ok,0.9809784293174744
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV252_00001_002_03,ok,0.9903358221054077
no_first_frame,step50,comp,vp2_vor_bg_49f_BLENDER_BEACH001_00305,ok,0.9977810382843018
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV198_00004_003_05,ok,0.9937474727630615
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV064_00001_001_05,ok,0.9927296042442322
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV265_00002_001_04,ok,0.9861375689506531
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV234_00009_005_02,ok,0.9869866967201233
no_first_frame,step50,comp,vp2_vor_bg_49f_REAL_ENV173_00005_005_05,ok,0.9853479266166687
no_first_frame,step50,comp,vp2_vor_bg_49f_BLENDER_BEACH024_00003,ok,0.9958887100219727
