state_id,pair_id,split,source_group,hard_state,preference_margin,gradient_proxy_norm,local_random_gradient_ratio,outside_risk_vs_random_median,winner_risk,temporal_flicker_residual
BLENDER_MOUNTAIN002__pair003__s6__f7__H1_local_failure_hard,BLENDER_MOUNTAIN002__pair003__s6__f7,search,BLENDER_MOUNTAIN002,H1_local_failure_hard,0.001350160537535288,0.016676535056485996,2.400853044287313,0.257087064841885,0.0035728252291341283,0.0
BLENDER_SCHOOL004__pair000__s6__f7__H3_winner_safe,BLENDER_SCHOOL004__pair000__s6__f7,shadow,BLENDER_SCHOOL004,H3_winner_safe,0.0033700019189103923,0.07656292839190537,4.416045660648039,0.18673106695307062,0.0018943341698099989,0.0
BLENDER_SCHOOL004__pair001__s2__f7__H3_winner_safe,BLENDER_SCHOOL004__pair001__s2__f7,shadow,BLENDER_SCHOOL004,H3_winner_safe,0.003159490139728721,0.07178032035103218,4.416045660648039,0.18673106695307062,0.0019490366151141288,0.0
BLENDER_SCHOOL004__pair002__s0__f7__H1_local_failure_hard,BLENDER_SCHOOL004__pair002__s0__f7,shadow,BLENDER_SCHOOL004,H1_local_failure_hard,0.0031655183668818,0.07191727538398379,4.416045660648039,0.18673106695307062,0.0022409001367719537,0.0
BLENDER_SCHOOL004__pair003__s8__f7__H3_winner_safe,BLENDER_SCHOOL004__pair003__s8__f7,shadow,BLENDER_SCHOOL004,H3_winner_safe,0.00261581559297507,0.059428601748729465,4.416045660648039,0.18673106695307062,0.0031955878876255748,0.0
REAL_ENV059_00001__pair000__s7__f0__H3_winner_safe,REAL_ENV059_00001__pair000__s7__f0,search,REAL_ENV059_00001,H3_winner_safe,0.0024960193308882525,0.03370533918304033,2.624798231202953,0.3688400149291945,0.0036967098751231804,0.0
REAL_ENV059_00001__pair001__s4__f5__H3_winner_safe,REAL_ENV059_00001__pair001__s4__f5,search,REAL_ENV059_00001,H3_winner_safe,0.0009614218374683773,0.010621459616664617,2.1474120570996678,0.37430323115309944,0.004726260144794486,0.0
REAL_ENV059_00001__pair002__s3__f6__H3_winner_safe,REAL_ENV059_00001__pair002__s3__f6,search,REAL_ENV059_00001,H3_winner_safe,0.00019401385728895926,0.001976446085733131,1.9801468039192132,0.36122758804567584,0.00485696925295505,0.0
REAL_ENV059_00001__pair003__s1__f0__H3_winner_safe,REAL_ENV059_00001__pair003__s1__f0,search,REAL_ENV059_00001,H3_winner_safe,0.0014467567797968222,0.019536478493963325,2.624798231202953,0.3688400149291945,0.005201842789694648,0.0
REAL_ENV080_00003__pair000__s8__f1__H1_local_failure_hard,REAL_ENV080_00003__pair000__s8__f1,train,REAL_ENV080_00003,H1_local_failure_hard,0.0007611555045025009,0.004046966147185706,1.033478262573693,0.6827683295003014,0.0025951051091002114,0.0
REAL_ENV080_00003__pair001__s7__f5__H1_local_failure_hard,REAL_ENV080_00003__pair001__s7__f5,train,REAL_ENV080_00003,H1_local_failure_hard,0.0004628979095252714,0.0024558039459859605,1.031225492988745,0.681387039525704,0.002933011809059212,0.0
REAL_ENV080_00003__pair002__s9__f11__H1_local_failure_hard,REAL_ENV080_00003__pair002__s9__f11,train,REAL_ENV080_00003,H1_local_failure_hard,9.279985517605298e-05,0.0004799725481464011,1.0053430214843995,0.6478861635405502,0.002952930377664046,0.0
REAL_ENV080_00003__pair003__s8__f0__H1_local_failure_hard,REAL_ENV080_00003__pair003__s8__f0,train,REAL_ENV080_00003,H1_local_failure_hard,0.0005183498209947943,0.002787171975086495,1.0451677028966446,0.63416827913448,0.0025951051091002114,0.0
REAL_ENV097_00001__pair000__s5__f2__H3_winner_safe,REAL_ENV097_00001__pair000__s5__f2,shadow,REAL_ENV097_00001,H3_winner_safe,0.006180537485104529,0.20223109370129097,6.360142602044268,0.24021544856554727,0.0041496343332327774,0.0
REAL_ENV097_00001__pair001__s0__f2__H1_local_failure_hard,REAL_ENV097_00001__pair001__s0__f2,shadow,REAL_ENV097_00001,H1_local_failure_hard,0.004986328015505465,0.16315580490521098,6.360142602044268,0.24021544856554727,0.005152396739635236,0.0
REAL_ENV097_00001__pair002__s7__f2__H1_local_failure_hard,REAL_ENV097_00001__pair002__s7__f2,shadow,REAL_ENV097_00001,H1_local_failure_hard,0.004462999182051269,0.14603215463855898,6.360142602044268,0.24021544856554727,0.004502977795934937,0.0
REAL_ENV097_00001__pair003__s4__f2__H1_local_failure_hard,REAL_ENV097_00001__pair003__s4__f2,shadow,REAL_ENV097_00001,H1_local_failure_hard,0.006390871501651904,0.20911335569087935,6.360142602044268,0.24021544856554727,0.003809495795048709,0.0
REAL_ENV105_00002__pair000__s4__f9__H3_winner_safe,REAL_ENV105_00002__pair000__s4__f9,train,REAL_ENV105_00002,H3_winner_safe,0.0017773071549145691,0.018194065086703126,1.9898137248213752,0.3682032570208162,0.003313365644646985,0.0
REAL_ENV105_00002__pair001__s5__f9__H3_winner_safe,REAL_ENV105_00002__pair001__s5__f9,train,REAL_ENV105_00002,H3_winner_safe,0.002212540798908449,0.02264949600355456,1.9898137248213752,0.3682032570208162,0.002459213688229218,0.0
REAL_ENV105_00002__pair002__s1__f9__H3_winner_safe,REAL_ENV105_00002__pair002__s1__f9,train,REAL_ENV105_00002,H3_winner_safe,0.0019122693521547787,0.019575655766762515,1.9898137248213752,0.3682032570208162,0.0031526417110235142,0.0
REAL_ENV105_00002__pair003__s6__f9__H3_winner_safe,REAL_ENV105_00002__pair003__s6__f9,train,REAL_ENV105_00002,H3_winner_safe,0.001447574723270824,0.014818636531242461,1.9898137248213752,0.3682032570208162,0.0035695650193769165,0.0
REAL_ENV105_00004__pair000__s8__f5__H3_winner_safe,REAL_ENV105_00004__pair000__s8__f5,train,REAL_ENV105_00004,H3_winner_safe,0.0017998123953983803,0.021116640682113327,2.2805665965508046,0.323545856334619,0.00337341908497174,0.0
REAL_ENV105_00004__pair001__s1__f5__H3_winner_safe,REAL_ENV105_00004__pair001__s1__f5,train,REAL_ENV105_00004,H3_winner_safe,0.0025286024754632335,0.02966730868104757,2.2805665965508046,0.323545856334619,0.00271801713698776,0.0
REAL_ENV105_00004__pair002__s3__f5__H3_winner_safe,REAL_ENV105_00004__pair002__s3__f5,train,REAL_ENV105_00004,H3_winner_safe,0.003054961711789567,0.03584291836771967,2.2805665965508046,0.323545856334619,0.002060362782598401,0.0
REAL_ENV105_00004__pair003__s0__f5__H3_winner_safe,REAL_ENV105_00004__pair003__s0__f5,train,REAL_ENV105_00004,H3_winner_safe,0.001798207164397853,0.021097807004594165,2.2805665965508046,0.323545856334619,0.0034682843876145267,0.0
