accepted_split,sample_id,scene_group,source_type,effect_type,mask_bucket,condition_member_path,winner_member_path,mask_member_path,prior_diagnostic_seen,visual_preview_status
primary,BLENDER_FOREST022_00001,BLENDER_FOREST022,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST022_00001.mp4,VOR-Train/BG/BLENDER_FOREST022_00001.mp4,MASK/BLENDER_FOREST022_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST023_00001,BLENDER_FOREST023,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST023_00001.mp4,VOR-Train/BG/BLENDER_FOREST023_00001.mp4,MASK/BLENDER_FOREST023_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST024_00001,BLENDER_FOREST024,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST024_00001.mp4,VOR-Train/BG/BLENDER_FOREST024_00001.mp4,MASK/BLENDER_FOREST024_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST025_00001,BLENDER_FOREST025,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST025_00001.mp4,VOR-Train/BG/BLENDER_FOREST025_00001.mp4,MASK/BLENDER_FOREST025_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST028_00001,BLENDER_FOREST028,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST028_00001.mp4,VOR-Train/BG/BLENDER_FOREST028_00001.mp4,MASK/BLENDER_FOREST028_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST030_00001,BLENDER_FOREST030,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST030_00001.mp4,VOR-Train/BG/BLENDER_FOREST030_00001.mp4,MASK/BLENDER_FOREST030_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST034_00001,BLENDER_FOREST034,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST034_00001.mp4,VOR-Train/BG/BLENDER_FOREST034_00001.mp4,MASK/BLENDER_FOREST034_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_FOREST049_00001,BLENDER_FOREST049,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_FOREST049_00001.mp4,VOR-Train/BG/BLENDER_FOREST049_00001.mp4,MASK/BLENDER_FOREST049_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_GRASS001_00001,BLENDER_GRASS001,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_GRASS001_00001.mp4,VOR-Train/BG/BLENDER_GRASS001_00001.mp4,MASK/BLENDER_GRASS001_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_GRASS002_00001,BLENDER_GRASS002,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_GRASS002_00001.mp4,VOR-Train/BG/BLENDER_GRASS002_00001.mp4,MASK/BLENDER_GRASS002_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_GRASS003_00002,BLENDER_GRASS003,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_GRASS003_00002.mp4,VOR-Train/BG/BLENDER_GRASS003_00002.mp4,MASK/BLENDER_GRASS003_00002.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_MOUNTAIN001_00001,BLENDER_MOUNTAIN001,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN001_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN001_00001.mp4,MASK/BLENDER_MOUNTAIN001_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_MOUNTAIN006_00001,BLENDER_MOUNTAIN006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN006_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN006_00001.mp4,MASK/BLENDER_MOUNTAIN006_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_MOUNTAIN007_00001,BLENDER_MOUNTAIN007,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN007_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN007_00001.mp4,MASK/BLENDER_MOUNTAIN007_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_MOUNTAIN008_00001,BLENDER_MOUNTAIN008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN008_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN008_00001.mp4,MASK/BLENDER_MOUNTAIN008_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_MOUNTAIN009_00001,BLENDER_MOUNTAIN009,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN009_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN009_00001.mp4,MASK/BLENDER_MOUNTAIN009_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_MOUNTAIN011_00001,BLENDER_MOUNTAIN011,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN011_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN011_00001.mp4,MASK/BLENDER_MOUNTAIN011_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN014_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN014_00001.mp4,MASK/BLENDER_MOUNTAIN014_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_OFFICE002_00001,BLENDER_OFFICE002,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_OFFICE002_00001.mp4,VOR-Train/BG/BLENDER_OFFICE002_00001.mp4,MASK/BLENDER_OFFICE002_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_OFFICE003_00001.mp4,VOR-Train/BG/BLENDER_OFFICE003_00001.mp4,MASK/BLENDER_OFFICE003_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_PRODUCT001_00001,BLENDER_PRODUCT001,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT001_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT001_00001.mp4,MASK/BLENDER_PRODUCT001_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_PRODUCT004_00001,BLENDER_PRODUCT004,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT004_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT004_00001.mp4,MASK/BLENDER_PRODUCT004_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_PRODUCT006_00001,BLENDER_PRODUCT006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT006_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT006_00001.mp4,MASK/BLENDER_PRODUCT006_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_PRODUCT008_00001,BLENDER_PRODUCT008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT008_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT008_00001.mp4,MASK/BLENDER_PRODUCT008_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_PRODUCT010_00001,BLENDER_PRODUCT010,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT010_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT010_00001.mp4,MASK/BLENDER_PRODUCT010_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_PRODUCT011_00001,BLENDER_PRODUCT011,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT011_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT011_00001.mp4,MASK/BLENDER_PRODUCT011_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER002_00001,BLENDER_RIVER002,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER002_00001.mp4,VOR-Train/BG/BLENDER_RIVER002_00001.mp4,MASK/BLENDER_RIVER002_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER003_00001,BLENDER_RIVER003,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER003_00001.mp4,VOR-Train/BG/BLENDER_RIVER003_00001.mp4,MASK/BLENDER_RIVER003_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER004_00001,BLENDER_RIVER004,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER004_00001.mp4,VOR-Train/BG/BLENDER_RIVER004_00001.mp4,MASK/BLENDER_RIVER004_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER005_00001,BLENDER_RIVER005,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER005_00001.mp4,VOR-Train/BG/BLENDER_RIVER005_00001.mp4,MASK/BLENDER_RIVER005_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER006_00001,BLENDER_RIVER006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER006_00001.mp4,VOR-Train/BG/BLENDER_RIVER006_00001.mp4,MASK/BLENDER_RIVER006_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER008_00001,BLENDER_RIVER008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER008_00001.mp4,VOR-Train/BG/BLENDER_RIVER008_00001.mp4,MASK/BLENDER_RIVER008_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER009_00001,BLENDER_RIVER009,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER009_00001.mp4,VOR-Train/BG/BLENDER_RIVER009_00001.mp4,MASK/BLENDER_RIVER009_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER011_00001,BLENDER_RIVER011,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER011_00001.mp4,VOR-Train/BG/BLENDER_RIVER011_00001.mp4,MASK/BLENDER_RIVER011_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER012_00001,BLENDER_RIVER012,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER012_00001.mp4,VOR-Train/BG/BLENDER_RIVER012_00001.mp4,MASK/BLENDER_RIVER012_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER016_00001,BLENDER_RIVER016,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER016_00001.mp4,VOR-Train/BG/BLENDER_RIVER016_00001.mp4,MASK/BLENDER_RIVER016_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_RIVER020_00001,BLENDER_RIVER020,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER020_00001.mp4,VOR-Train/BG/BLENDER_RIVER020_00001.mp4,MASK/BLENDER_RIVER020_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_SCHOOL004_00001.mp4,VOR-Train/BG/BLENDER_SCHOOL004_00001.mp4,MASK/BLENDER_SCHOOL004_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET001_00001,BLENDER_STREET001,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET001_00001.mp4,VOR-Train/BG/BLENDER_STREET001_00001.mp4,MASK/BLENDER_STREET001_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET006_00002,BLENDER_STREET006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET006_00002.mp4,VOR-Train/BG/BLENDER_STREET006_00002.mp4,MASK/BLENDER_STREET006_00002.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET010_00002,BLENDER_STREET010,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET010_00002.mp4,VOR-Train/BG/BLENDER_STREET010_00002.mp4,MASK/BLENDER_STREET010_00002.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET011_00001,BLENDER_STREET011,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET011_00001.mp4,VOR-Train/BG/BLENDER_STREET011_00001.mp4,MASK/BLENDER_STREET011_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET012_00001,BLENDER_STREET012,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET012_00001.mp4,VOR-Train/BG/BLENDER_STREET012_00001.mp4,MASK/BLENDER_STREET012_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET013_00001,BLENDER_STREET013,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET013_00001.mp4,VOR-Train/BG/BLENDER_STREET013_00001.mp4,MASK/BLENDER_STREET013_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET014_00001,BLENDER_STREET014,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET014_00001.mp4,VOR-Train/BG/BLENDER_STREET014_00001.mp4,MASK/BLENDER_STREET014_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET018_00001,BLENDER_STREET018,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET018_00001.mp4,VOR-Train/BG/BLENDER_STREET018_00001.mp4,MASK/BLENDER_STREET018_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET020_00001,BLENDER_STREET020,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET020_00001.mp4,VOR-Train/BG/BLENDER_STREET020_00001.mp4,MASK/BLENDER_STREET020_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET022_00001,BLENDER_STREET022,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET022_00001.mp4,VOR-Train/BG/BLENDER_STREET022_00001.mp4,MASK/BLENDER_STREET022_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_STREET023_00001,BLENDER_STREET023,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET023_00001.mp4,VOR-Train/BG/BLENDER_STREET023_00001.mp4,MASK/BLENDER_STREET023_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_WAREHOUSE002_00001,BLENDER_WAREHOUSE002,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_WAREHOUSE002_00001.mp4,VOR-Train/BG/BLENDER_WAREHOUSE002_00001.mp4,MASK/BLENDER_WAREHOUSE002_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_WAREHOUSE003_00001,BLENDER_WAREHOUSE003,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_WAREHOUSE003_00001.mp4,VOR-Train/BG/BLENDER_WAREHOUSE003_00001.mp4,MASK/BLENDER_WAREHOUSE003_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_WAREHOUSE006_00001,BLENDER_WAREHOUSE006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_WAREHOUSE006_00001.mp4,VOR-Train/BG/BLENDER_WAREHOUSE006_00001.mp4,MASK/BLENDER_WAREHOUSE006_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_WAREHOUSE007_00001,BLENDER_WAREHOUSE007,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_WAREHOUSE007_00001.mp4,VOR-Train/BG/BLENDER_WAREHOUSE007_00001.mp4,MASK/BLENDER_WAREHOUSE007_00001.mp4,False,metadata_only_visual_preview_pending
primary,BLENDER_WAREHOUSE008_00001,BLENDER_WAREHOUSE008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_WAREHOUSE008_00001.mp4,VOR-Train/BG/BLENDER_WAREHOUSE008_00001.mp4,MASK/BLENDER_WAREHOUSE008_00001.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV044_00004_001_01,REAL_ENV044_00004,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV044_00004_001_01.mp4,VOR-Train/BG/REAL_ENV044_00004_001_01.mp4,MASK/REAL_ENV044_00004_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV044_00005_001_01,REAL_ENV044_00005,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV044_00005_001_01.mp4,VOR-Train/BG/REAL_ENV044_00005_001_01.mp4,MASK/REAL_ENV044_00005_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV045_00001_001_01,REAL_ENV045_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV045_00001_001_01.mp4,VOR-Train/BG/REAL_ENV045_00001_001_01.mp4,MASK/REAL_ENV045_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV045_00002_001_01,REAL_ENV045_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV045_00002_001_01.mp4,VOR-Train/BG/REAL_ENV045_00002_001_01.mp4,MASK/REAL_ENV045_00002_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV045_00003_001_01,REAL_ENV045_00003,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV045_00003_001_01.mp4,VOR-Train/BG/REAL_ENV045_00003_001_01.mp4,MASK/REAL_ENV045_00003_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV046_00001_001_01,REAL_ENV046_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00001_001_01.mp4,VOR-Train/BG/REAL_ENV046_00001_001_01.mp4,MASK/REAL_ENV046_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV046_00002_001_01,REAL_ENV046_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00002_001_01.mp4,VOR-Train/BG/REAL_ENV046_00002_001_01.mp4,MASK/REAL_ENV046_00002_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV046_00003_001_01,REAL_ENV046_00003,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00003_001_01.mp4,VOR-Train/BG/REAL_ENV046_00003_001_01.mp4,MASK/REAL_ENV046_00003_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV046_00004_001_01,REAL_ENV046_00004,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00004_001_01.mp4,VOR-Train/BG/REAL_ENV046_00004_001_01.mp4,MASK/REAL_ENV046_00004_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV046_00005_001_01,REAL_ENV046_00005,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00005_001_01.mp4,VOR-Train/BG/REAL_ENV046_00005_001_01.mp4,MASK/REAL_ENV046_00005_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV046_00006_001_01,REAL_ENV046_00006,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00006_001_01.mp4,VOR-Train/BG/REAL_ENV046_00006_001_01.mp4,MASK/REAL_ENV046_00006_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV046_00007_001_01,REAL_ENV046_00007,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV046_00007_001_01.mp4,VOR-Train/BG/REAL_ENV046_00007_001_01.mp4,MASK/REAL_ENV046_00007_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV047_00001_001_01,REAL_ENV047_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV047_00001_001_01.mp4,VOR-Train/BG/REAL_ENV047_00001_001_01.mp4,MASK/REAL_ENV047_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV047_00003_001_01,REAL_ENV047_00003,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV047_00003_001_01.mp4,VOR-Train/BG/REAL_ENV047_00003_001_01.mp4,MASK/REAL_ENV047_00003_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV049_00001_001_01,REAL_ENV049_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV049_00001_001_01.mp4,VOR-Train/BG/REAL_ENV049_00001_001_01.mp4,MASK/REAL_ENV049_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV049_00002_001_01,REAL_ENV049_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV049_00002_001_01.mp4,VOR-Train/BG/REAL_ENV049_00002_001_01.mp4,MASK/REAL_ENV049_00002_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV054_00002_001_01,REAL_ENV054_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV054_00002_001_01.mp4,VOR-Train/BG/REAL_ENV054_00002_001_01.mp4,MASK/REAL_ENV054_00002_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV055_00001_001_01,REAL_ENV055_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV055_00001_001_01.mp4,VOR-Train/BG/REAL_ENV055_00001_001_01.mp4,MASK/REAL_ENV055_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV056_00001_001_01,REAL_ENV056_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV056_00001_001_01.mp4,VOR-Train/BG/REAL_ENV056_00001_001_01.mp4,MASK/REAL_ENV056_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV057_00001_001_01,REAL_ENV057_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV057_00001_001_01.mp4,VOR-Train/BG/REAL_ENV057_00001_001_01.mp4,MASK/REAL_ENV057_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV059_00001_001_01,REAL_ENV059_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV059_00001_001_01.mp4,VOR-Train/BG/REAL_ENV059_00001_001_01.mp4,MASK/REAL_ENV059_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV063_00001_001_01,REAL_ENV063_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV063_00001_001_01.mp4,VOR-Train/BG/REAL_ENV063_00001_001_01.mp4,MASK/REAL_ENV063_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV064_00001_001_01,REAL_ENV064_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV064_00001_001_01.mp4,VOR-Train/BG/REAL_ENV064_00001_001_01.mp4,MASK/REAL_ENV064_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV067_00001_001_01,REAL_ENV067_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV067_00001_001_01.mp4,VOR-Train/BG/REAL_ENV067_00001_001_01.mp4,MASK/REAL_ENV067_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV067_00002_001_01,REAL_ENV067_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV067_00002_001_01.mp4,VOR-Train/BG/REAL_ENV067_00002_001_01.mp4,MASK/REAL_ENV067_00002_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV068_00002_001_01,REAL_ENV068_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV068_00002_001_01.mp4,VOR-Train/BG/REAL_ENV068_00002_001_01.mp4,MASK/REAL_ENV068_00002_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV069_00001_001_01,REAL_ENV069_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV069_00001_001_01.mp4,VOR-Train/BG/REAL_ENV069_00001_001_01.mp4,MASK/REAL_ENV069_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV078_00001_001_01,REAL_ENV078_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV078_00001_001_01.mp4,VOR-Train/BG/REAL_ENV078_00001_001_01.mp4,MASK/REAL_ENV078_00001_001_01.mp4,False,metadata_only_visual_preview_pending
primary,REAL_ENV080_00002_001_01,REAL_ENV080_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV080_00002_001_01.mp4,VOR-Train/BG/REAL_ENV080_00002_001_01.mp4,MASK/REAL_ENV080_00002_001_01.mp4,False,metadata_only_visual_preview_pending
