row_index,sample_id,mask_id,mask_path,n_frames,empty_frames,area_median,perimeter_median,ap_median,sqrt_area_median,ap_mean,sqrt_area_mean
10,youtubevos_000010_013099c098,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000010_000011/candidates/youtubevos_000010_013099c098/mask_000/mask,16,0,37577.0,827.8204092979431,45.392695780318164,109.36695384405795,45.392695780318164,109.36695384405795
11,youtubevos_000011_0155498c85,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000011_000012/candidates/youtubevos_000011_0155498c85/mask_000/mask,16,0,46276.0,925.9209185838699,49.97835027939086,121.3676575247339,49.97835027939086,121.3676575247339
12,youtubevos_000012_01694ad9c8,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000012_000013/candidates/youtubevos_000012_01694ad9c8/mask_000/mask,16,0,36972.0,905.8204089403152,40.81603774334488,108.48296231200136,40.81603774334488,108.48296231200136
13,youtubevos_000013_017ac35701,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000013_000014/candidates/youtubevos_000013_017ac35701/mask_000/mask,16,0,32892.0,738.6833271980286,44.5278765459156,102.32227898340246,44.5278765459156,102.32227898340246
14,youtubevos_000014_01baa5a4e1,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000014_000015/candidates/youtubevos_000014_01baa5a4e1/mask_000/mask,16,0,33690.0,795.1442238092422,42.36967205597452,103.5560720843153,42.36967205597452,103.5560720843153
15,youtubevos_000015_01c3111683,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000015_000016/candidates/youtubevos_000015_01c3111683/mask_001/mask,16,0,37305.0,836.6000673770905,44.59119889502123,108.97041022262104,44.59119889502123,108.97041022262104
16,youtubevos_000016_01c4cb5ffe,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000016_000017/candidates/youtubevos_000016_01c4cb5ffe/mask_003/mask,16,0,44751.0,908.8498495817184,49.23915652359499,119.35110270379079,49.235892875559315,119.35184153956791
17,youtubevos_000017_01c76f0a82,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000017_000018/candidates/youtubevos_000017_01c76f0a82/mask_001/mask,16,0,37484.0,852.1219267845154,43.98901004865112,109.2315328726701,43.98901004865112,109.2315328726701
18,youtubevos_000018_01c783268c,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000018_000019/candidates/youtubevos_000018_01c783268c/mask_001/mask,16,0,41375.0,874.5971059799194,47.307497037327224,114.7609321191421,47.307497037327224,114.7609321191421
19,youtubevos_000019_01e64dd36a,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000019_000020/candidates/youtubevos_000019_01e64dd36a/mask_000/mask,16,0,40502.0,912.943214058876,44.36420510749096,113.5437669368772,44.36420510749096,113.5437669368772
20,youtubevos_000020_01ed275c6e,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000020_000021/candidates/youtubevos_000020_01ed275c6e/mask_001/mask,16,0,45336.0,896.9158638715744,50.546547146914406,120.12866851850283,50.546547146914406,120.12866851850283
21,youtubevos_000021_01ff60d1fa,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000021_000022/candidates/youtubevos_000021_01ff60d1fa/mask_001/mask,16,0,33440.0,764.5828214883804,43.73626906095509,103.17113256132241,43.73626906095509,103.17113256132241
22,youtubevos_000022_020cd28cd2,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000022_000023/candidates/youtubevos_000022_020cd28cd2/mask_003/mask,16,0,33904.0,747.9554054737091,45.32890564314765,103.8844472535482,45.34305170001126,103.87647597043265
23,youtubevos_000023_02264db755,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000023_000024/candidates/youtubevos_000023_02264db755/mask_002/mask,16,0,36744.5,798.6904673576355,45.99411009058874,108.14868287689627,45.992429450818406,108.13569785805639
24,youtubevos_000024_0248626d9a,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000024_000025/candidates/youtubevos_000024_0248626d9a/mask_002/mask,16,0,43819.0,903.8620433807373,48.489230497662035,118.10172335713732,48.474311190067866,118.08098172841699
25,youtubevos_000025_02668dbffa,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000025_000026/candidates/youtubevos_000025_02668dbffa/mask_002/mask,16,0,40942.0,847.518894135952,48.294499788530025,114.15885139734941,48.317740318401334,114.17398540793513
26,youtubevos_000026_0274193026,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000026_000027/candidates/youtubevos_000026_0274193026/mask_003/mask,16,0,47299.0,930.1635550260544,50.88224094801179,122.70183090160927,50.874050412842365,122.72108059949144
27,youtubevos_000027_02d28375aa,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000027_000028/candidates/youtubevos_000027_02d28375aa/mask_001/mask,16,0,41281.0,965.0924884080887,42.77413874404166,114.63049512042187,42.77413874404166,114.63049512042187
28,youtubevos_000028_031ccc99b1,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000028_000029/candidates/youtubevos_000028_031ccc99b1/mask_001/mask,16,0,33526.0,813.8376562595367,41.194948085946514,103.30371360313126,41.194948085946514,103.30371360313126
29,youtubevos_000029_0321b18c10,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000029_000030/candidates/youtubevos_000029_0321b18c10/mask_000/mask,16,0,38650.0,832.33007645607,46.43590456873263,110.9174337108622,46.43590456873263,110.9174337108622
30,youtubevos_000030_0348a45bca,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000030_000031/candidates/youtubevos_000030_0348a45bca/mask_000/mask,16,0,34980.0,779.7960337400436,44.857883967721094,105.52004462996118,44.857883967721094,105.52004462996118
31,youtubevos_000031_0355e92655,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000031_000032/candidates/youtubevos_000031_0355e92655/mask_000/mask,16,0,43321.0,911.8549002408981,47.508655147387216,117.42871275530527,47.508655147387216,117.42871275530527
32,youtubevos_000032_0358b938c1,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000032_000033/candidates/youtubevos_000032_0358b938c1/mask_000/mask,16,0,40888.0,909.9452983140945,44.93456922713424,114.08354231125028,44.93456922713424,114.08354231125028
33,youtubevos_000033_0368107cf1,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000033_000034/candidates/youtubevos_000033_0368107cf1/mask_003/mask,16,0,48203.5,1023.775209903717,47.10868533058676,123.86948998329527,47.08316128095264,123.85490370919366
34,youtubevos_000034_0379ddf557,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000034_000035/candidates/youtubevos_000034_0379ddf557/mask_001/mask,16,0,44472.0,841.9625422954559,52.819451894801965,118.97847392854533,52.819451894801965,118.97847392854533
35,youtubevos_000035_038b2cc71d,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000035_000036/candidates/youtubevos_000035_038b2cc71d/mask_000/mask,16,0,40075.0,1023.5849077701569,39.15161282252779,112.94365271592473,39.15161282252779,112.94365271592473
36,youtubevos_000036_038c15a5dd,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000036_000037/candidates/youtubevos_000036_038c15a5dd/mask_002/mask,16,0,38211.0,866.957498550415,44.08098431863625,110.28571557989197,44.09675053493738,110.31851508885929
37,youtubevos_000037_03a06cc98a,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000037_000038/candidates/youtubevos_000037_03a06cc98a/mask_001/mask,16,0,35581.0,753.9381589889526,47.19352585590692,106.42266704187344,47.19352585590692,106.42266704187344
38,youtubevos_000038_03a63e187f,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000038_000039/candidates/youtubevos_000038_03a63e187f/mask_002/mask,16,0,38105.0,775.6295042037964,49.16496834350482,110.13263918127697,49.14333015090962,110.1345739783051
39,youtubevos_000039_03c95b4dae,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000039_000040/candidates/youtubevos_000039_03c95b4dae/mask_002/mask,16,0,37797.5,916.2798212170601,41.18754580393631,109.68736446147975,41.20419840878513,109.67468760441875
40,youtubevos_000040_03e2b57b0e,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000040_000041/candidates/youtubevos_000040_03e2b57b0e/mask_001/mask,16,0,39391.0,822.6833264827728,47.88112112154841,111.97564345278708,47.88112112154841,111.97564345278708
41,youtubevos_000041_04194e1248,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000041_000042/candidates/youtubevos_000041_04194e1248/mask_002/mask,16,0,35864.0,842.0142800807953,42.58597609123595,106.84505490707312,42.584255316594195,106.83413075052323
42,youtubevos_000042_04259896e2,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000042_000043/candidates/youtubevos_000042_04259896e2/mask_001/mask,16,0,48967.0,995.8031651973724,49.17337252115937,124.8466266935622,49.17337252115937,124.8466266935622
43,youtubevos_000043_0444918a5f,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000043_000044/candidates/youtubevos_000043_0444918a5f/mask_000/mask,16,0,44252.0,851.9797960519791,51.94019882286058,118.68381980457616,51.94019882286058,118.68381980457616
44,youtubevos_000044_04460a7a52,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000044_000045/candidates/youtubevos_000044_04460a7a52/mask_003/mask,16,0,43811.0,849.2590181827545,51.55747576078217,118.09095733296407,51.55577186976677,118.08321352984672
45,youtubevos_000045_04474174a4,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000045_000046/candidates/youtubevos_000045_04474174a4/mask_003/mask,16,0,41304.0,920.2468156814575,44.883610892381874,114.66242426765314,44.89490079961264,114.69199094721846
46,youtubevos_000046_0450095513,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000046_000047/candidates/youtubevos_000046_0450095513/mask_000/mask,16,0,34548.0,845.4600185155869,40.86296127953811,104.86643861540068,40.86296127953811,104.86643861540068
47,youtubevos_000047_045f00aed2,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000047_000048/candidates/youtubevos_000047_045f00aed2/mask_000/mask,16,0,41613.0,918.766587138176,45.292243517059575,115.09052651615633,45.292243517059575,115.09052651615633
48,youtubevos_000048_04667fabaa,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000048_000049/candidates/youtubevos_000048_04667fabaa/mask_000/mask,16,0,34854.0,866.2396782636642,40.23597726424073,105.3298285057459,40.23597726424073,105.3298285057459
49,youtubevos_000049_04735c5030,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000049_000050/candidates/youtubevos_000049_04735c5030/mask_001/mask,16,0,45601.0,941.2173745632172,48.44895688539714,120.4792476730621,48.44895688539714,120.4792476730621
50,youtubevos_000050_04990d1915,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000050_000051/candidates/youtubevos_000050_04990d1915/mask_003/mask,16,0,34062.0,806.7335787415504,42.23078901845216,104.12622793125793,42.208502894807005,104.10508785430068
51,youtubevos_000051_04d62d9d98,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000051_000052/candidates/youtubevos_000051_04d62d9d98/mask_000/mask,16,0,41969.0,902.0802968740463,46.52468316338801,115.58177889809237,46.52468316338801,115.58177889809237
52,youtubevos_000052_04f21da964,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000052_000053/candidates/youtubevos_000052_04f21da964/mask_003/mask,16,0,40358.0,897.1614680886269,44.959303233477,113.341740337211,44.94581259256549,113.30553684898851
53,youtubevos_000053_04fbad476e,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000053_000054/candidates/youtubevos_000053_04fbad476e/mask_003/mask,16,0,43571.5,923.699088037014,47.171023718690506,117.76773177119728,47.18341852449273,117.77444894418524
54,youtubevos_000054_04fe256562,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000054_000055/candidates/youtubevos_000054_04fe256562/mask_001/mask,16,0,47803.0,993.8447953462601,48.09905955521477,123.35383046036206,48.09905955521477,123.35383046036206
55,youtubevos_000055_0503bf89c9,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000055_000056/candidates/youtubevos_000055_0503bf89c9/mask_000/mask,16,0,43136.0,914.8670922517776,47.15001814507137,117.1777079927065,47.15001814507137,117.1777079927065
56,youtubevos_000056_0536c9eed0,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000056_000057/candidates/youtubevos_000056_0536c9eed0/mask_002/mask,16,0,46790.0,1012.277733027935,46.19611810537206,122.0398278208371,46.206784065855445,122.03132441659771
57,youtubevos_000057_054acb238f,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000057_000058/candidates/youtubevos_000057_054acb238f/mask_000/mask,16,0,119806.0,1405.0924936532974,85.26556119341265,195.2829593798067,85.26556119341265,195.2829593798067
58,youtubevos_000058_05579ca250,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000058_000059/candidates/youtubevos_000058_05579ca250/mask_002/mask,16,0,44948.0,1084.548330783844,41.46702830293838,119.61351413694452,41.47639893759622,119.66467000316723
59,youtubevos_000059_056c200404,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000059_000060/candidates/youtubevos_000059_056c200404/mask_002/mask,16,0,43910.0,917.6854135990143,47.82760520041225,118.22430842398803,47.84083632107032,118.22091214229278
60,youtubevos_000060_05774f3a2c,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000060_000061/candidates/youtubevos_000060_05774f3a2c/mask_002/mask,16,0,48238.5,963.3767590522766,50.06566064950772,123.91445204038294,50.05991468302351,123.90688633335247
61,youtubevos_000061_058a7592c8,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000061_000062/candidates/youtubevos_000061_058a7592c8/mask_001/mask,16,0,40137.0,954.3889499902725,42.05518096202716,113.03098646724625,42.05518096202716,113.03098646724625
62,youtubevos_000062_05a0a513df,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000062_000063/candidates/youtubevos_000062_05a0a513df/mask_000/mask,16,0,40113.0,821.2274831533432,48.84517484238886,112.9971878609835,48.84517484238886,112.9971878609835
63,youtubevos_000063_05a569d8aa,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000063_000064/candidates/youtubevos_000063_05a569d8aa/mask_003/mask,16,0,47449.0,914.5554699897766,51.87239771121903,122.89623818568657,51.869686685898344,122.88651255986267
64,youtubevos_000064_05aa652648,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000064_000065/candidates/youtubevos_000064_05aa652648/mask_002/mask,16,0,45384.0,881.2655443549156,51.47955320177411,120.1922454843288,51.48428642788522,120.1660518808056
65,youtubevos_000065_05d7715782,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000065_000066/candidates/youtubevos_000065_05d7715782/mask_003/mask,16,0,36850.0,830.7493382692337,44.3575436084879,108.30382867596457,44.391093875934125,108.35687473618177
66,youtubevos_000066_05e0b0f28f,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000066_000067/candidates/youtubevos_000066_05e0b0f28f/mask_000/mask,16,0,41814.0,906.7909725904465,46.11206029163389,115.36814803440775,46.11206029163389,115.36814803440775
67,youtubevos_000067_05ffcfed85,mask_002,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000067_000068/candidates/youtubevos_000067_05ffcfed85/mask_002/mask,16,0,34445.0,757.6194014549255,45.47224398156651,104.70999718168486,45.46448163376775,104.72749994213481
68,youtubevos_000068_0630391881,mask_001,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000068_000069/candidates/youtubevos_000068_0630391881/mask_001/mask,16,0,43287.0,832.8843357563019,51.972402579396785,117.38262240739789,51.972402579396785,117.38262240739789
69,youtubevos_000069_06840b2bbe,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000069_000070/candidates/youtubevos_000069_06840b2bbe/mask_000/mask,16,0,48611.0,1055.3666568994522,46.060769195431675,124.39196870087815,46.060769195431675,124.39196870087815
70,youtubevos_000070_068f7dce6f,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000070_000071/candidates/youtubevos_000070_068f7dce6f/mask_000/mask,16,0,40981.0,898.8254618644714,45.59394647653994,114.21321046927069,45.59394647653994,114.21321046927069
71,youtubevos_000071_0693719753,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000071_000072/candidates/youtubevos_000071_0693719753/mask_000/mask,16,0,41292.0,881.3107423782349,46.85294075568931,114.64576669158389,46.85294075568931,114.64576669158389
72,youtubevos_000072_06ce2b51fb,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000072_000073/candidates/youtubevos_000072_06ce2b51fb/mask_003/mask,16,0,38972.5,855.2051834464073,45.5873068896799,111.3792261893392,45.57029111819969,111.37500497484791
73,youtubevos_000073_06e224798e,mask_003,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000073_000074/candidates/youtubevos_000073_06e224798e/mask_003/mask,16,0,46821.5,987.9452995061874,47.39855722257927,122.08090039130721,47.414694739752875,122.10217067402205
74,youtubevos_000074_06ee361788,mask_000,/mnt/workspace/hj/nas_hj/H20_Video_inpainting_DPO/data/generated_losers/official_videodpo_diffueraser_youtubevos_partialmask_loser_k4/_shards/shard_000074_000075/candidates/youtubevos_000074_06ee361788/mask_000/mask,16,0,47575.0,1028.2123272418976,46.26962616526527,123.05930617061776,46.26962616526527,123.05930617061776
