name,status,detail,extra_json
transformer_config_json_load,PASS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/transformer/config.json,"{""keys"": [""_class_name"", ""_diffusers_version"", ""activation_fn"", ""add_noise_in_inpaint_model"", ""attention_bias"", ""attention_head_dim"", ""dropout"", ""flip_sin_to_cos"", ""freq_shift"", ""in_channels"", ""max_text_seq_length"", ""norm_elementwise_affine"", ""norm_eps"", ""num_attention_heads"", ""num_layers"", ""out_channels"", ""patch_bias"", ""patch_size"", ""patch_size_t"", ""sample_frames"", ""sample_height"", ""sample_width"", ""spatial_interpolation_scale"", ""temporal_compression_ratio"", ""temporal_interpolation_scale"", ""text_embed_dim"", ""time_embed_dim"", ""timestep_activation_fn"", ""use_learned_positional_embeddings"", ""use_rotary_positional_embeddings""]}"
vae_config_json_load,PASS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/vae/config.json,"{""keys"": [""_class_name"", ""_diffusers_version"", ""act_fn"", ""block_out_channels"", ""down_block_types"", ""force_upcast"", ""in_channels"", ""latent_channels"", ""latents_mean"", ""latents_std"", ""layers_per_block"", ""norm_eps"", ""norm_num_groups"", ""out_channels"", ""sample_height"", ""sample_width"", ""scaling_factor"", ""shift_factor"", ""temporal_compression_ratio"", ""up_block_types"", ""use_post_quant_conv"", ""use_quant_conv""]}"
text_encoder_config_json_load,PASS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/text_encoder/config.json,"{""keys"": [""_name_or_path"", ""architectures"", ""classifier_dropout"", ""d_ff"", ""d_kv"", ""d_model"", ""decoder_start_token_id"", ""dense_act_fn"", ""dropout_rate"", ""eos_token_id"", ""feed_forward_proj"", ""initializer_factor"", ""is_encoder_decoder"", ""is_gated_act"", ""layer_norm_epsilon"", ""model_type"", ""num_decoder_layers"", ""num_heads"", ""num_layers"", ""output_past"", ""pad_token_id"", ""relative_attention_max_distance"", ""relative_attention_num_buckets"", ""tie_word_embeddings"", ""torch_dtype"", ""transformers_version"", ""use_cache"", ""vocab_size""]}"
text_encoder_index_json_load,PASS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/text_encoder/model.safetensors.index.json,"{""keys"": [""metadata"", ""weight_map""]}"
scheduler_config_json_load,PASS,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/scheduler/scheduler_config.json,"{""keys"": [""_class_name"", ""_diffusers_version"", ""beta_end"", ""beta_schedule"", ""beta_start"", ""clip_sample"", ""clip_sample_range"", ""num_train_timesteps"", ""prediction_type"", ""rescale_betas_zero_snr"", ""sample_max_value"", ""set_alpha_to_one"", ""snr_shift_scale"", ""steps_offset"", ""timestep_spacing"", ""trained_betas""]}"
quadmask_config_get_config,PASS,loaded,"{""gpu_memory_mode"": ""model_cpu_offload_and_qfloat8"", ""max_video_length"": 197, ""sample_size"": ""384x672"", ""temporal_window_size"": 85, ""use_quadmask"": true, ""use_vae_mask"": true}"
tokenizer_config_load,PASS,T5Tokenizer.from_pretrained,"{""vocab_size"": 32000}"
scheduler_config_load_cog_ddim,PASS,CogVideoXDDIMScheduler.from_pretrained,"{""class_name"": ""CogVideoXDDIMScheduler""}"
void_pass1_safetensors_header,HEADER_OK,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/netflix_void-model/void_pass1.safetensors,"{""estimated_tensor_bytes"": 11142925568, ""key_count"": 1024, ""size_bytes"": 11143042384}"
void_pass2_safetensors_header,HEADER_OK,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/netflix_void-model/void_pass2.safetensors,"{""estimated_tensor_bytes"": 11142925568, ""key_count"": 1024, ""size_bytes"": 11143042384}"
base_transformer_safetensors_header,HEADER_OK,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/transformer/diffusion_pytorch_model.safetensors,"{""estimated_tensor_bytes"": 11142188288, ""key_count"": 1024, ""size_bytes"": 11142305104}"
base_vae_safetensors_header,HEADER_OK,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/vae/diffusion_pytorch_model.safetensors,"{""estimated_tensor_bytes"": 431167814, ""key_count"": 436, ""size_bytes"": 431221142}"
text_encoder_00001_safetensors_header,HEADER_OK,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/text_encoder/model-00001-of-00002.safetensors,"{""estimated_tensor_bytes"": 4994568192, ""key_count"": 113, ""size_bytes"": 4994582224}"
text_encoder_00002_safetensors_header,HEADER_OK,/mnt/nas/hj/H20_Video_inpainting_DPO/weights/void/CogVideoX-Fun-V1.5-5b-InP/text_encoder/model-00002-of-00002.safetensors,"{""estimated_tensor_bytes"": 4530053120, ""key_count"": 106, ""size_bytes"": 4530066360}"
transformer_meta_init,PASS,accelerate.init_empty_weights,"{""class_name"": ""CogVideoXTransformer3DModel"", ""in_channels"": 33, ""num_layers"": 42, ""sample_height"": 384, ""sample_width"": 680}"
vae_meta_init,PASS,accelerate.init_empty_weights,"{""class_name"": ""AutoencoderKLCogVideoX"", ""latent_channels"": 16, ""temporal_compression_ratio"": 4}"
