model,case_id,split,checkpoint_a,checkpoint_b,file_path_on_hal,file_type,metric_summary,visual_reason,recommended_for_slide,notes,source_path_original
VideoPainter,vp2_vor_bg_49f_BLENDER_FOREST015_00002_step0,shadow-dev,step0,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step2000_shadowdev/vp2_vor_bg_49f_BLENDER_FOREST015_00002_step0_side_by_side.mp4,mp4,"Shadow-dev Step2000 aggregate: full PSNR +6.2632 vs Step0, mask +10.8860, boundary +12.2343",Shadow-dev representative side-by-side,support,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/shadow/step0/official_generation/side_by_side/vp2_vor_bg_49f_BLENDER_FOREST015_00002.mp4
VideoPainter,vp2_vor_bg_49f_BLENDER_FOREST015_00002_step2000,shadow-dev,step2000,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step2000_shadowdev/vp2_vor_bg_49f_BLENDER_FOREST015_00002_step2000_side_by_side.mp4,mp4,"Shadow-dev Step2000 aggregate: full PSNR +6.2632 vs Step0, mask +10.8860, boundary +12.2343",Shadow-dev representative side-by-side,yes,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/shadow/step2000/official_generation/side_by_side/vp2_vor_bg_49f_BLENDER_FOREST015_00002.mp4
VideoPainter,vp2_vor_bg_49f_BLENDER_FOREST015_00002_step50,shadow-dev,step50,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step2000_shadowdev/vp2_vor_bg_49f_BLENDER_FOREST015_00002_step50_side_by_side.mp4,mp4,"Shadow-dev Step2000 aggregate: full PSNR +6.2632 vs Step0, mask +10.8860, boundary +12.2343",Shadow-dev representative side-by-side,support,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/shadow/step50/official_generation/side_by_side/vp2_vor_bg_49f_BLENDER_FOREST015_00002.mp4
VideoPainter,vp2_vor_bg_49f_REAL_ENV109_00002_005_02_step0,shadow-dev,step0,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step2000_shadowdev/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_step0_side_by_side.mp4,mp4,"Shadow-dev Step2000 aggregate: full PSNR +6.2632 vs Step0, mask +10.8860, boundary +12.2343",Shadow-dev representative side-by-side,support,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/shadow/step0/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV109_00002_005_02.mp4
VideoPainter,vp2_vor_bg_49f_REAL_ENV109_00002_005_02_step2000,shadow-dev,step2000,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step2000_shadowdev/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_step2000_side_by_side.mp4,mp4,"Shadow-dev Step2000 aggregate: full PSNR +6.2632 vs Step0, mask +10.8860, boundary +12.2343",Shadow-dev representative side-by-side,yes,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/shadow/step2000/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV109_00002_005_02.mp4
VideoPainter,vp2_vor_bg_49f_REAL_ENV109_00002_005_02_step50,shadow-dev,step50,comparison pack,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/step2000_shadowdev/vp2_vor_bg_49f_REAL_ENV109_00002_005_02_step50_side_by_side.mp4,mp4,"Shadow-dev Step2000 aggregate: full PSNR +6.2632 vs Step0, mask +10.8860, boundary +12.2343",Shadow-dev representative side-by-side,support,Copied from PAI/NAS; small representative subset,PAI:/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp31_videopainter_2000step_longrun/exp31_vp2000_base_identity_replay_20260628_091019/shadow/step50/official_generation/side_by_side/vp2_vor_bg_49f_REAL_ENV109_00002_005_02.mp4
VideoPainter,exp26_gate64_primary32_final.md,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp26_gate64_primary32_final.md,md,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp26_videopainter/reports/exp26_gate64_primary32_final.md
VideoPainter,exp26_vp_50step_final.md,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp26_vp_50step_final.md,md,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp26_videopainter/reports/exp26_vp_50step_final.md
VideoPainter,exp26_vp_50step_metrics.csv,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp26_vp_50step_metrics.csv,csv,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp26_videopainter/reports/exp26_vp_50step_metrics.csv
VideoPainter,exp26_vp_50step_visual_review.csv,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp26_vp_50step_visual_review.csv,csv,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp26_videopainter/reports/exp26_vp_50step_visual_review.csv
VideoPainter,exp26_vp_shadowdev_final_decision.md,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp26_vp_shadowdev_final_decision.md,md,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp26_videopainter/reports/exp26_vp_shadowdev_final_decision.md
VideoPainter,exp26_vp_shadowdev_metrics_and_statistics.md,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp26_vp_shadowdev_metrics_and_statistics.md,md,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp26_videopainter/reports/exp26_vp_shadowdev_metrics_and_statistics.md
VideoPainter,exp31_vp_2000_final_decision.md,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp31_vp_2000_final_decision.md,md,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp31_vp2000/reports/exp31_vp_2000_final_decision.md
VideoPainter,exp31_vp_2000_lpips_ewarp_metrics.csv,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp31_vp_2000_lpips_ewarp_metrics.csv,csv,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp31_vp2000/reports/exp31_vp_2000_lpips_ewarp_metrics.csv
VideoPainter,exp31_vp_2000_lpips_ewarp_metrics.md,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp31_vp_2000_lpips_ewarp_metrics.md,md,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp31_vp2000/reports/exp31_vp_2000_lpips_ewarp_metrics.md
VideoPainter,exp31_vp_2000_paper_evidence.csv,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp31_vp_2000_paper_evidence.csv,csv,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp31_vp2000/reports/exp31_vp_2000_paper_evidence.csv
VideoPainter,exp31_vp_2000_paper_evidence.md,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp31_vp_2000_paper_evidence.md,md,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp31_vp2000/reports/exp31_vp_2000_paper_evidence.md
VideoPainter,exp31_vp_2000_searchdev_visual_review.csv,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp31_vp_2000_searchdev_visual_review.csv,csv,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp31_vp2000/reports/exp31_vp_2000_searchdev_visual_review.csv
VideoPainter,exp31_vp_2000_shadowdev_visual_review.csv,reports,various,various,/home/hj/LoVI_DPO_visual_evidence_for_advisor_20260702/videopainter/reports/exp31_vp_2000_shadowdev_visual_review.csv,csv,See report file,Metrics/visual-review support file,support,Symlinked report,/home/hj/H20_Video_inpainting_DPO_exp31_vp2000/reports/exp31_vp_2000_shadowdev_visual_review.csv
