model,sample_id,review_sheet,review_method,classification_auto,classification_final,reason
propainter,REAL_ENV046_00007_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV046_00007_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,REAL_ENV046_00007_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV046_00007_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,REAL_ENV047_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV047_00001_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,REAL_ENV047_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV047_00001_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,REAL_ENV047_00003_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV047_00003_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,REAL_ENV047_00003_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV047_00003_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,REAL_ENV049_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV049_00001_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,REAL_ENV049_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV049_00001_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,REAL_ENV049_00002_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV049_00002_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,REAL_ENV049_00002_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV049_00002_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,REAL_ENV054_00002_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV054_00002_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,REAL_ENV054_00002_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV054_00002_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
propainter,REAL_ENV055_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/propainter_REAL_ENV055_00001_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
diffueraser,REAL_ENV055_00001_001_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp30_vor_or_multimodel_minimax/smoke32_v3_20260627/verified_generators_full16/review_assets/diffueraser_REAL_ENV055_00001_001_01_review.jpg,codex_open_review_sheet_required,TRIVIAL_BAD,PENDING_CODEX_VISUAL_REVIEW,outside damage
