split,sample_id,reviewed_frames,step2000_vs_step0_class,step2000_vs_step50_class,mask_region_quality,boundary_quality,outside_damage,temporal_flicker,ghosting,color_shift,new_artifact,classification,reason
shadow,vp2_vor_bg_49f_REAL_ENV153_00012_003_04,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_better_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV161_00002_004_04,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV163_00012_003_02,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_better_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV171_00001_001_01,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV173_00005_005_05,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV175_00002_004_04,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV176_00017_005_01,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV179_00002_003_04,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV186_00001_004_02,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV187_00002_001_05,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV191_00012_006_04,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_better_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV193_00001_002_02,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV196_00009_001_01,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV198_00004_003_05,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_better_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV198_00005_005_05,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV205_00001_002_05,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV222_00101_004_03,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV234_00006_001_03,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV234_00009_005_02,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV252_00001_002_03,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,STEP2000_LOCAL_BETTER_OUTSIDE_TEMPORAL_MIXED,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
shadow,vp2_vor_bg_49f_REAL_ENV265_00002_001_04,all-row evidence sheet plus crop sheet; temporal montage reviewed; sampled region metrics frames 0/16/32/48,STEP2000_CLEAR_BETTER,STEP2000_CLEAR_BETTER,improved_vs_step0; mostly improved_or_comparable_vs_step50,improved_vs_step0_and_step50_on_sampled_boundary_metric,vs_step0_worse_sampled_l1;vs_step50_better_sampled_l1,temporal_proxy_improved_vs_step0; slightly_mixed_vs_step50,finite_residuals_possible_no_systemic_collapse_seen_in_montage,step2000_reduces_step50_color_shift_in_montage_review,no_systemic_new_artifact_seen; isolated_residual_texture_or_darkening_remains,LONGRUN_VISUALLY_BETTER_BUT_FORMAL_POSITIVE_BLOCKED,"Step2000 has strong full/mask/boundary gains and visual cleanup, especially vs Step50 outside pollution; formal positive blocked because LPIPS/Ewarp were not computed in this fast summary."
