tensor,shape,numel,module_group,module_family,contains_lora_or_adapter_marker
blocks.14.ffn.net.2.bias,1536,1536,blocks.14,mlp,False
blocks.14.ffn.net.2.weight,1536x8960,13762560,blocks.14,mlp,False
blocks.14.scale_shift_table,1x6x1536,9216,blocks.14,other,False
blocks.15.attn1.norm_k.weight,1536,1536,blocks.15,attention_other,False
blocks.15.attn1.norm_q.weight,1536,1536,blocks.15,attention_other,False
blocks.15.attn1.to_k.bias,1536,1536,blocks.15,attention_k,False
blocks.15.attn1.to_k.weight,1536x1536,2359296,blocks.15,attention_k,False
blocks.15.attn1.to_out.0.bias,1536,1536,blocks.15,attention_out,False
blocks.15.attn1.to_out.0.weight,1536x1536,2359296,blocks.15,attention_out,False
blocks.15.attn1.to_q.bias,1536,1536,blocks.15,attention_q,False
blocks.15.attn1.to_q.weight,1536x1536,2359296,blocks.15,attention_q,False
blocks.15.attn1.to_v.bias,1536,1536,blocks.15,attention_v,False
blocks.15.attn1.to_v.weight,1536x1536,2359296,blocks.15,attention_v,False
blocks.15.ffn.net.0.proj.bias,8960,8960,blocks.15,mlp,False
blocks.15.ffn.net.0.proj.weight,8960x1536,13762560,blocks.15,mlp,False
blocks.15.ffn.net.2.bias,1536,1536,blocks.15,mlp,False
blocks.15.ffn.net.2.weight,1536x8960,13762560,blocks.15,mlp,False
blocks.15.scale_shift_table,1x6x1536,9216,blocks.15,other,False
blocks.16.attn1.norm_k.weight,1536,1536,blocks.16,attention_other,False
blocks.16.attn1.norm_q.weight,1536,1536,blocks.16,attention_other,False
blocks.16.attn1.to_k.bias,1536,1536,blocks.16,attention_k,False
blocks.16.attn1.to_k.weight,1536x1536,2359296,blocks.16,attention_k,False
blocks.16.attn1.to_out.0.bias,1536,1536,blocks.16,attention_out,False
blocks.16.attn1.to_out.0.weight,1536x1536,2359296,blocks.16,attention_out,False
blocks.16.attn1.to_q.bias,1536,1536,blocks.16,attention_q,False
blocks.16.attn1.to_q.weight,1536x1536,2359296,blocks.16,attention_q,False
blocks.16.attn1.to_v.bias,1536,1536,blocks.16,attention_v,False
blocks.16.attn1.to_v.weight,1536x1536,2359296,blocks.16,attention_v,False
blocks.16.ffn.net.0.proj.bias,8960,8960,blocks.16,mlp,False
blocks.16.ffn.net.0.proj.weight,8960x1536,13762560,blocks.16,mlp,False
blocks.16.ffn.net.2.bias,1536,1536,blocks.16,mlp,False
blocks.16.ffn.net.2.weight,1536x8960,13762560,blocks.16,mlp,False
blocks.16.scale_shift_table,1x6x1536,9216,blocks.16,other,False
blocks.17.attn1.norm_k.weight,1536,1536,blocks.17,attention_other,False
blocks.17.attn1.norm_q.weight,1536,1536,blocks.17,attention_other,False
blocks.17.attn1.to_k.bias,1536,1536,blocks.17,attention_k,False
blocks.17.attn1.to_k.weight,1536x1536,2359296,blocks.17,attention_k,False
blocks.17.attn1.to_out.0.bias,1536,1536,blocks.17,attention_out,False
blocks.17.attn1.to_out.0.weight,1536x1536,2359296,blocks.17,attention_out,False
blocks.17.attn1.to_q.bias,1536,1536,blocks.17,attention_q,False
blocks.17.attn1.to_q.weight,1536x1536,2359296,blocks.17,attention_q,False
blocks.17.attn1.to_v.bias,1536,1536,blocks.17,attention_v,False
blocks.17.attn1.to_v.weight,1536x1536,2359296,blocks.17,attention_v,False
blocks.17.ffn.net.0.proj.bias,8960,8960,blocks.17,mlp,False
blocks.17.ffn.net.0.proj.weight,8960x1536,13762560,blocks.17,mlp,False
blocks.17.ffn.net.2.bias,1536,1536,blocks.17,mlp,False
blocks.17.ffn.net.2.weight,1536x8960,13762560,blocks.17,mlp,False
blocks.17.scale_shift_table,1x6x1536,9216,blocks.17,other,False
blocks.18.attn1.norm_k.weight,1536,1536,blocks.18,attention_other,False
blocks.18.attn1.norm_q.weight,1536,1536,blocks.18,attention_other,False
blocks.18.attn1.to_k.bias,1536,1536,blocks.18,attention_k,False
blocks.18.attn1.to_k.weight,1536x1536,2359296,blocks.18,attention_k,False
blocks.18.attn1.to_out.0.bias,1536,1536,blocks.18,attention_out,False
blocks.18.attn1.to_out.0.weight,1536x1536,2359296,blocks.18,attention_out,False
blocks.18.attn1.to_q.bias,1536,1536,blocks.18,attention_q,False
blocks.18.attn1.to_q.weight,1536x1536,2359296,blocks.18,attention_q,False
blocks.18.attn1.to_v.bias,1536,1536,blocks.18,attention_v,False
blocks.18.attn1.to_v.weight,1536x1536,2359296,blocks.18,attention_v,False
blocks.18.ffn.net.0.proj.bias,8960,8960,blocks.18,mlp,False
blocks.18.ffn.net.0.proj.weight,8960x1536,13762560,blocks.18,mlp,False
blocks.18.ffn.net.2.bias,1536,1536,blocks.18,mlp,False
blocks.18.ffn.net.2.weight,1536x8960,13762560,blocks.18,mlp,False
blocks.18.scale_shift_table,1x6x1536,9216,blocks.18,other,False
blocks.19.attn1.norm_k.weight,1536,1536,blocks.19,attention_other,False
blocks.19.attn1.norm_q.weight,1536,1536,blocks.19,attention_other,False
blocks.19.attn1.to_k.bias,1536,1536,blocks.19,attention_k,False
blocks.19.attn1.to_k.weight,1536x1536,2359296,blocks.19,attention_k,False
blocks.19.attn1.to_out.0.bias,1536,1536,blocks.19,attention_out,False
blocks.19.attn1.to_out.0.weight,1536x1536,2359296,blocks.19,attention_out,False
blocks.19.attn1.to_q.bias,1536,1536,blocks.19,attention_q,False
blocks.19.attn1.to_q.weight,1536x1536,2359296,blocks.19,attention_q,False
blocks.19.attn1.to_v.bias,1536,1536,blocks.19,attention_v,False
blocks.19.attn1.to_v.weight,1536x1536,2359296,blocks.19,attention_v,False
blocks.19.ffn.net.0.proj.bias,8960,8960,blocks.19,mlp,False
blocks.19.ffn.net.0.proj.weight,8960x1536,13762560,blocks.19,mlp,False
blocks.19.ffn.net.2.bias,1536,1536,blocks.19,mlp,False
blocks.19.ffn.net.2.weight,1536x8960,13762560,blocks.19,mlp,False
blocks.19.scale_shift_table,1x6x1536,9216,blocks.19,other,False
blocks.2.attn1.norm_k.weight,1536,1536,blocks.2,attention_other,False
blocks.2.attn1.norm_q.weight,1536,1536,blocks.2,attention_other,False
blocks.2.attn1.to_k.bias,1536,1536,blocks.2,attention_k,False
blocks.2.attn1.to_k.weight,1536x1536,2359296,blocks.2,attention_k,False
blocks.2.attn1.to_out.0.bias,1536,1536,blocks.2,attention_out,False
blocks.2.attn1.to_out.0.weight,1536x1536,2359296,blocks.2,attention_out,False
blocks.2.attn1.to_q.bias,1536,1536,blocks.2,attention_q,False
blocks.2.attn1.to_q.weight,1536x1536,2359296,blocks.2,attention_q,False
blocks.2.attn1.to_v.bias,1536,1536,blocks.2,attention_v,False
blocks.2.attn1.to_v.weight,1536x1536,2359296,blocks.2,attention_v,False
blocks.2.ffn.net.0.proj.bias,8960,8960,blocks.2,mlp,False
blocks.2.ffn.net.0.proj.weight,8960x1536,13762560,blocks.2,mlp,False
blocks.2.ffn.net.2.bias,1536,1536,blocks.2,mlp,False
blocks.2.ffn.net.2.weight,1536x8960,13762560,blocks.2,mlp,False
blocks.2.scale_shift_table,1x6x1536,9216,blocks.2,other,False
blocks.20.attn1.norm_k.weight,1536,1536,blocks.20,attention_other,False
blocks.20.attn1.norm_q.weight,1536,1536,blocks.20,attention_other,False
blocks.20.attn1.to_k.bias,1536,1536,blocks.20,attention_k,False
blocks.20.attn1.to_k.weight,1536x1536,2359296,blocks.20,attention_k,False
blocks.20.attn1.to_out.0.bias,1536,1536,blocks.20,attention_out,False
blocks.20.attn1.to_out.0.weight,1536x1536,2359296,blocks.20,attention_out,False
blocks.20.attn1.to_q.bias,1536,1536,blocks.20,attention_q,False
blocks.20.attn1.to_q.weight,1536x1536,2359296,blocks.20,attention_q,False
blocks.20.attn1.to_v.bias,1536,1536,blocks.20,attention_v,False
blocks.20.attn1.to_v.weight,1536x1536,2359296,blocks.20,attention_v,False
blocks.20.ffn.net.0.proj.bias,8960,8960,blocks.20,mlp,False
blocks.20.ffn.net.0.proj.weight,8960x1536,13762560,blocks.20,mlp,False
blocks.20.ffn.net.2.bias,1536,1536,blocks.20,mlp,False
blocks.20.ffn.net.2.weight,1536x8960,13762560,blocks.20,mlp,False
blocks.20.scale_shift_table,1x6x1536,9216,blocks.20,other,False
blocks.21.attn1.norm_k.weight,1536,1536,blocks.21,attention_other,False
blocks.21.attn1.norm_q.weight,1536,1536,blocks.21,attention_other,False
blocks.21.attn1.to_k.bias,1536,1536,blocks.21,attention_k,False
blocks.21.attn1.to_k.weight,1536x1536,2359296,blocks.21,attention_k,False
blocks.21.attn1.to_out.0.bias,1536,1536,blocks.21,attention_out,False
blocks.21.attn1.to_out.0.weight,1536x1536,2359296,blocks.21,attention_out,False
blocks.21.attn1.to_q.bias,1536,1536,blocks.21,attention_q,False
blocks.21.attn1.to_q.weight,1536x1536,2359296,blocks.21,attention_q,False
blocks.21.attn1.to_v.bias,1536,1536,blocks.21,attention_v,False
blocks.21.attn1.to_v.weight,1536x1536,2359296,blocks.21,attention_v,False
blocks.21.ffn.net.0.proj.bias,8960,8960,blocks.21,mlp,False
blocks.21.ffn.net.0.proj.weight,8960x1536,13762560,blocks.21,mlp,False
blocks.21.ffn.net.2.bias,1536,1536,blocks.21,mlp,False
blocks.21.ffn.net.2.weight,1536x8960,13762560,blocks.21,mlp,False
blocks.21.scale_shift_table,1x6x1536,9216,blocks.21,other,False
blocks.22.attn1.norm_k.weight,1536,1536,blocks.22,attention_other,False
blocks.22.attn1.norm_q.weight,1536,1536,blocks.22,attention_other,False
blocks.22.attn1.to_k.bias,1536,1536,blocks.22,attention_k,False
blocks.22.attn1.to_k.weight,1536x1536,2359296,blocks.22,attention_k,False
blocks.22.attn1.to_out.0.bias,1536,1536,blocks.22,attention_out,False
blocks.22.attn1.to_out.0.weight,1536x1536,2359296,blocks.22,attention_out,False
blocks.22.attn1.to_q.bias,1536,1536,blocks.22,attention_q,False
blocks.22.attn1.to_q.weight,1536x1536,2359296,blocks.22,attention_q,False
blocks.22.attn1.to_v.bias,1536,1536,blocks.22,attention_v,False
blocks.22.attn1.to_v.weight,1536x1536,2359296,blocks.22,attention_v,False
blocks.22.ffn.net.0.proj.bias,8960,8960,blocks.22,mlp,False
blocks.22.ffn.net.0.proj.weight,8960x1536,13762560,blocks.22,mlp,False
blocks.22.ffn.net.2.bias,1536,1536,blocks.22,mlp,False
blocks.22.ffn.net.2.weight,1536x8960,13762560,blocks.22,mlp,False
blocks.22.scale_shift_table,1x6x1536,9216,blocks.22,other,False
blocks.23.attn1.norm_k.weight,1536,1536,blocks.23,attention_other,False
blocks.23.attn1.norm_q.weight,1536,1536,blocks.23,attention_other,False
blocks.23.attn1.to_k.bias,1536,1536,blocks.23,attention_k,False
blocks.23.attn1.to_k.weight,1536x1536,2359296,blocks.23,attention_k,False
blocks.23.attn1.to_out.0.bias,1536,1536,blocks.23,attention_out,False
blocks.23.attn1.to_out.0.weight,1536x1536,2359296,blocks.23,attention_out,False
blocks.23.attn1.to_q.bias,1536,1536,blocks.23,attention_q,False
blocks.23.attn1.to_q.weight,1536x1536,2359296,blocks.23,attention_q,False
blocks.23.attn1.to_v.bias,1536,1536,blocks.23,attention_v,False
blocks.23.attn1.to_v.weight,1536x1536,2359296,blocks.23,attention_v,False
blocks.23.ffn.net.0.proj.bias,8960,8960,blocks.23,mlp,False
blocks.23.ffn.net.0.proj.weight,8960x1536,13762560,blocks.23,mlp,False
blocks.23.ffn.net.2.bias,1536,1536,blocks.23,mlp,False
blocks.23.ffn.net.2.weight,1536x8960,13762560,blocks.23,mlp,False
blocks.23.scale_shift_table,1x6x1536,9216,blocks.23,other,False
blocks.24.attn1.norm_k.weight,1536,1536,blocks.24,attention_other,False
blocks.24.attn1.norm_q.weight,1536,1536,blocks.24,attention_other,False
blocks.24.attn1.to_k.bias,1536,1536,blocks.24,attention_k,False
blocks.24.attn1.to_k.weight,1536x1536,2359296,blocks.24,attention_k,False
blocks.24.attn1.to_out.0.bias,1536,1536,blocks.24,attention_out,False
blocks.24.attn1.to_out.0.weight,1536x1536,2359296,blocks.24,attention_out,False
blocks.24.attn1.to_q.bias,1536,1536,blocks.24,attention_q,False
blocks.24.attn1.to_q.weight,1536x1536,2359296,blocks.24,attention_q,False
blocks.24.attn1.to_v.bias,1536,1536,blocks.24,attention_v,False
blocks.24.attn1.to_v.weight,1536x1536,2359296,blocks.24,attention_v,False
blocks.24.ffn.net.0.proj.bias,8960,8960,blocks.24,mlp,False
blocks.24.ffn.net.0.proj.weight,8960x1536,13762560,blocks.24,mlp,False
blocks.24.ffn.net.2.bias,1536,1536,blocks.24,mlp,False
blocks.24.ffn.net.2.weight,1536x8960,13762560,blocks.24,mlp,False
blocks.24.scale_shift_table,1x6x1536,9216,blocks.24,other,False
blocks.25.attn1.norm_k.weight,1536,1536,blocks.25,attention_other,False
blocks.25.attn1.norm_q.weight,1536,1536,blocks.25,attention_other,False
blocks.25.attn1.to_k.bias,1536,1536,blocks.25,attention_k,False
blocks.25.attn1.to_k.weight,1536x1536,2359296,blocks.25,attention_k,False
blocks.25.attn1.to_out.0.bias,1536,1536,blocks.25,attention_out,False
blocks.25.attn1.to_out.0.weight,1536x1536,2359296,blocks.25,attention_out,False
blocks.25.attn1.to_q.bias,1536,1536,blocks.25,attention_q,False
blocks.25.attn1.to_q.weight,1536x1536,2359296,blocks.25,attention_q,False
blocks.25.attn1.to_v.bias,1536,1536,blocks.25,attention_v,False
blocks.25.attn1.to_v.weight,1536x1536,2359296,blocks.25,attention_v,False
blocks.25.ffn.net.0.proj.bias,8960,8960,blocks.25,mlp,False
blocks.25.ffn.net.0.proj.weight,8960x1536,13762560,blocks.25,mlp,False
blocks.25.ffn.net.2.bias,1536,1536,blocks.25,mlp,False
blocks.25.ffn.net.2.weight,1536x8960,13762560,blocks.25,mlp,False
blocks.25.scale_shift_table,1x6x1536,9216,blocks.25,other,False
blocks.26.attn1.norm_k.weight,1536,1536,blocks.26,attention_other,False
blocks.26.attn1.norm_q.weight,1536,1536,blocks.26,attention_other,False
blocks.26.attn1.to_k.bias,1536,1536,blocks.26,attention_k,False
blocks.26.attn1.to_k.weight,1536x1536,2359296,blocks.26,attention_k,False
blocks.26.attn1.to_out.0.bias,1536,1536,blocks.26,attention_out,False
blocks.26.attn1.to_out.0.weight,1536x1536,2359296,blocks.26,attention_out,False
blocks.26.attn1.to_q.bias,1536,1536,blocks.26,attention_q,False
blocks.26.attn1.to_q.weight,1536x1536,2359296,blocks.26,attention_q,False
blocks.26.attn1.to_v.bias,1536,1536,blocks.26,attention_v,False
blocks.26.attn1.to_v.weight,1536x1536,2359296,blocks.26,attention_v,False
blocks.26.ffn.net.0.proj.bias,8960,8960,blocks.26,mlp,False
blocks.26.ffn.net.0.proj.weight,8960x1536,13762560,blocks.26,mlp,False
blocks.26.ffn.net.2.bias,1536,1536,blocks.26,mlp,False
blocks.26.ffn.net.2.weight,1536x8960,13762560,blocks.26,mlp,False
blocks.26.scale_shift_table,1x6x1536,9216,blocks.26,other,False
blocks.27.attn1.norm_k.weight,1536,1536,blocks.27,attention_other,False
blocks.27.attn1.norm_q.weight,1536,1536,blocks.27,attention_other,False
blocks.27.attn1.to_k.bias,1536,1536,blocks.27,attention_k,False
blocks.27.attn1.to_k.weight,1536x1536,2359296,blocks.27,attention_k,False
blocks.27.attn1.to_out.0.bias,1536,1536,blocks.27,attention_out,False
blocks.27.attn1.to_out.0.weight,1536x1536,2359296,blocks.27,attention_out,False
blocks.27.attn1.to_q.bias,1536,1536,blocks.27,attention_q,False
blocks.27.attn1.to_q.weight,1536x1536,2359296,blocks.27,attention_q,False
blocks.27.attn1.to_v.bias,1536,1536,blocks.27,attention_v,False
blocks.27.attn1.to_v.weight,1536x1536,2359296,blocks.27,attention_v,False
blocks.27.ffn.net.0.proj.bias,8960,8960,blocks.27,mlp,False
blocks.27.ffn.net.0.proj.weight,8960x1536,13762560,blocks.27,mlp,False
blocks.27.ffn.net.2.bias,1536,1536,blocks.27,mlp,False
blocks.27.ffn.net.2.weight,1536x8960,13762560,blocks.27,mlp,False
blocks.27.scale_shift_table,1x6x1536,9216,blocks.27,other,False
blocks.28.attn1.norm_k.weight,1536,1536,blocks.28,attention_other,False
blocks.28.attn1.norm_q.weight,1536,1536,blocks.28,attention_other,False
blocks.28.attn1.to_k.bias,1536,1536,blocks.28,attention_k,False
blocks.28.attn1.to_k.weight,1536x1536,2359296,blocks.28,attention_k,False
blocks.28.attn1.to_out.0.bias,1536,1536,blocks.28,attention_out,False
blocks.28.attn1.to_out.0.weight,1536x1536,2359296,blocks.28,attention_out,False
blocks.28.attn1.to_q.bias,1536,1536,blocks.28,attention_q,False
blocks.28.attn1.to_q.weight,1536x1536,2359296,blocks.28,attention_q,False
blocks.28.attn1.to_v.bias,1536,1536,blocks.28,attention_v,False
blocks.28.attn1.to_v.weight,1536x1536,2359296,blocks.28,attention_v,False
blocks.28.ffn.net.0.proj.bias,8960,8960,blocks.28,mlp,False
blocks.28.ffn.net.0.proj.weight,8960x1536,13762560,blocks.28,mlp,False
blocks.28.ffn.net.2.bias,1536,1536,blocks.28,mlp,False
blocks.28.ffn.net.2.weight,1536x8960,13762560,blocks.28,mlp,False
blocks.28.scale_shift_table,1x6x1536,9216,blocks.28,other,False
blocks.29.attn1.norm_k.weight,1536,1536,blocks.29,attention_other,False
blocks.29.attn1.norm_q.weight,1536,1536,blocks.29,attention_other,False
blocks.29.attn1.to_k.bias,1536,1536,blocks.29,attention_k,False
blocks.29.attn1.to_k.weight,1536x1536,2359296,blocks.29,attention_k,False
blocks.29.attn1.to_out.0.bias,1536,1536,blocks.29,attention_out,False
blocks.29.attn1.to_out.0.weight,1536x1536,2359296,blocks.29,attention_out,False
blocks.29.attn1.to_q.bias,1536,1536,blocks.29,attention_q,False
blocks.29.attn1.to_q.weight,1536x1536,2359296,blocks.29,attention_q,False
blocks.29.attn1.to_v.bias,1536,1536,blocks.29,attention_v,False
blocks.29.attn1.to_v.weight,1536x1536,2359296,blocks.29,attention_v,False
blocks.29.ffn.net.0.proj.bias,8960,8960,blocks.29,mlp,False
blocks.29.ffn.net.0.proj.weight,8960x1536,13762560,blocks.29,mlp,False
blocks.29.ffn.net.2.bias,1536,1536,blocks.29,mlp,False
blocks.29.ffn.net.2.weight,1536x8960,13762560,blocks.29,mlp,False
blocks.29.scale_shift_table,1x6x1536,9216,blocks.29,other,False
blocks.3.attn1.norm_k.weight,1536,1536,blocks.3,attention_other,False
blocks.3.attn1.norm_q.weight,1536,1536,blocks.3,attention_other,False
blocks.3.attn1.to_k.bias,1536,1536,blocks.3,attention_k,False
blocks.3.attn1.to_k.weight,1536x1536,2359296,blocks.3,attention_k,False
blocks.3.attn1.to_out.0.bias,1536,1536,blocks.3,attention_out,False
blocks.3.attn1.to_out.0.weight,1536x1536,2359296,blocks.3,attention_out,False
blocks.3.attn1.to_q.bias,1536,1536,blocks.3,attention_q,False
blocks.3.attn1.to_q.weight,1536x1536,2359296,blocks.3,attention_q,False
blocks.3.attn1.to_v.bias,1536,1536,blocks.3,attention_v,False
blocks.3.attn1.to_v.weight,1536x1536,2359296,blocks.3,attention_v,False
blocks.3.ffn.net.0.proj.bias,8960,8960,blocks.3,mlp,False
blocks.3.ffn.net.0.proj.weight,8960x1536,13762560,blocks.3,mlp,False
blocks.3.ffn.net.2.bias,1536,1536,blocks.3,mlp,False
blocks.3.ffn.net.2.weight,1536x8960,13762560,blocks.3,mlp,False
blocks.3.scale_shift_table,1x6x1536,9216,blocks.3,other,False
blocks.4.attn1.norm_k.weight,1536,1536,blocks.4,attention_other,False
blocks.4.attn1.norm_q.weight,1536,1536,blocks.4,attention_other,False
blocks.4.attn1.to_k.bias,1536,1536,blocks.4,attention_k,False
blocks.4.attn1.to_k.weight,1536x1536,2359296,blocks.4,attention_k,False
blocks.4.attn1.to_out.0.bias,1536,1536,blocks.4,attention_out,False
blocks.4.attn1.to_out.0.weight,1536x1536,2359296,blocks.4,attention_out,False
