generation_seed_label,sample_id,scene_group,source_type,mask_bucket,classification,reason,output_path,condition_path,winner_path,mask_path,review_page,mask_psnr,boundary_psnr,outside_mae,temporal_flicker_score
seed_a,BLENDER_BEACH022_00001,BLENDER_BEACH022,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,28.76999259097433,,3.6473805904388428,
seed_a,BLENDER_BEACH024_00001,BLENDER_BEACH024,BLENDER,medium,TRIVIAL_BAD,systematic outside damage,,,,,,13.908955604120768,,9.066808812758502,
seed_a,BLENDER_BEACH025_00002,BLENDER_BEACH025,BLENDER,medium,TRIVIAL_BAD,systematic outside damage,,,,,,10.008992018222429,,12.33950833713307,
seed_a,BLENDER_BEACH026_00001,BLENDER_BEACH026,BLENDER,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,16.841122677645966,,3.3133183787850773,
seed_a,BLENDER_BEACH028_00001,BLENDER_BEACH028,BLENDER,large,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,41.461307429123856,,2.7038321915794823,
seed_a,BLENDER_BEACH034_00001,BLENDER_BEACH034,BLENDER,medium,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,19.846946016296236,,2.748242798973532,
seed_a,BLENDER_BEACH035_00001,BLENDER_BEACH035,BLENDER,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,34.49867748421411,,2.6640147181118237,
seed_a,BLENDER_BEACH037_00001,BLENDER_BEACH037,BLENDER,medium,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,19.76568338720972,,5.67022912642535,
seed_a,BLENDER_BEACH038_00024,BLENDER_BEACH038,BLENDER,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,27.200897611056632,,1.6949860909405876,
seed_a,BLENDER_BEACH039_00001,BLENDER_BEACH039,BLENDER,small,HARD_BUT_PLAUSIBLE,strong local defect with acceptable outside preservation,,,,,,13.758525745483368,,3.154503492748036,
seed_a,BLENDER_BEACH040_00001,BLENDER_BEACH040,BLENDER,small,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,6.247584427104277,
seed_a,BLENDER_BEACH042_00002,BLENDER_BEACH042,BLENDER,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,30.984719949000638,,2.00635546095231,
seed_a,BLENDER_BEACH044_00001,BLENDER_BEACH044,BLENDER,large,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,16.176541690395123,,4.600840400247013,
seed_a,BLENDER_BEACH045_00001,BLENDER_BEACH045,BLENDER,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,17.59676912041054,,5.802764303543988,
seed_a,BLENDER_BEDROOM003_00001,BLENDER_BEDROOM003,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,27.744300670546696,,3.1798421495101032,
seed_a,BLENDER_BEDROOM004_00001,BLENDER_BEDROOM004,BLENDER,large,TRIVIAL_BAD,systematic outside damage,,,,,,11.967447507938301,,8.044687383315143,
seed_a,BLENDER_BEDROOM005_00001,BLENDER_BEDROOM005,BLENDER,medium,TRIVIAL_BAD,systematic outside damage,,,,,,13.888025551533664,,11.579752978156595,
seed_a,BLENDER_BEDROOM006_00001,BLENDER_BEDROOM006,BLENDER,large,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,14.027646722524501,,7.538766608518713,
seed_a,BLENDER_BEDROOM007_00001,BLENDER_BEDROOM007,BLENDER,medium,TRIVIAL_BAD,systematic outside damage,,,,,,15.70258932917448,,24.78861988292021,
seed_a,BLENDER_BEDROOM008_00001,BLENDER_BEDROOM008,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,25.412877976401884,,3.1046825016246125,
seed_a,BLENDER_CARTOON001_00001,BLENDER_CARTOON001,BLENDER,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,32.74366985373525,,3.984666768242331,
seed_a,BLENDER_CARTOON004_00001,BLENDER_CARTOON004,BLENDER,medium,TRIVIAL_BAD,systematic outside damage,,,,,,17.037333212884086,,18.784705330343808,
seed_a,BLENDER_CARTOON007_00001,BLENDER_CARTOON007,BLENDER,small,HARD_BUT_PLAUSIBLE,strong local defect with acceptable outside preservation,,,,,,10.673781662614923,,4.4373179323533005,
seed_a,BLENDER_CON001_00001,BLENDER_CON001,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,24.59885647979279,,2.1487212742076203,
seed_a,BLENDER_DESERT001_00002,BLENDER_DESERT001,BLENDER,small,TRIVIAL_BAD,systematic outside damage,,,,,,23.625156963661045,,9.583272933959961,
seed_a,BLENDER_DESERT003_00001,BLENDER_DESERT003,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,22.781987135579797,,2.714488113627714,
seed_a,BLENDER_DESERT005_00001,BLENDER_DESERT005,BLENDER,medium,TRIVIAL_BAD,task region too far from clean winner,,,,,,4.60219675973409,,6.332055933335248,
seed_a,BLENDER_DESERT006_00001,BLENDER_DESERT006,BLENDER,large,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,17.236011311753845,,5.491942461799173,
seed_a,BLENDER_DESERT008_00001,BLENDER_DESERT008,BLENDER,large,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,16.74758143076564,,3.981696928248686,
seed_a,BLENDER_FACTORY001_00001,BLENDER_FACTORY001,BLENDER,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,26.215215200106105,,2.535282078911276,
seed_a,BLENDER_FACTORY002_00001,BLENDER_FACTORY002,BLENDER,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,29.061968674534675,,2.2744938485762654,
seed_a,BLENDER_FOREST003_00002,BLENDER_FOREST003,BLENDER,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,34.2145159989226,,2.824971255134134,
seed_a,BLENDER_FOREST004_00001,BLENDER_FOREST004,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,20.11879219111997,,8.733576886794147,
seed_a,BLENDER_FOREST005_00001,BLENDER_FOREST005,BLENDER,medium,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,19.32786974967765,,8.716212384841022,
seed_a,REAL_ENV001_00001_001_01,REAL_ENV001_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,12.577869275542882,,21.75284273484174,
seed_a,REAL_ENV003_00001_001_01,REAL_ENV003_00001,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,21.559193844142037,,16.788291370167453,
seed_a,REAL_ENV004_00001_001_01,REAL_ENV004_00001,REAL,small,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,10.39591682658476,
seed_a,REAL_ENV004_00002_001_01,REAL_ENV004_00002,REAL,medium,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,13.873155145084157,
seed_a,REAL_ENV005_00002_001_01,REAL_ENV005_00002,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,18.73443624214646,,13.511858771829043,
seed_a,REAL_ENV005_00004_001_01,REAL_ENV005_00004,REAL,large,TRIVIAL_BAD,systematic outside damage,,,,,,18.753203861484188,,10.785539795370664,
seed_a,REAL_ENV007_00001_001_01,REAL_ENV007_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,17.282267035954348,,21.153149099910962,
seed_a,REAL_ENV007_00002_001_01,REAL_ENV007_00002,REAL,small,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,20.145124996409695,
seed_a,REAL_ENV008_00001_001_01,REAL_ENV008_00001,REAL,medium,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,18.775550476374185,,9.479564947240492,
seed_a,REAL_ENV009_00001_001_01,REAL_ENV009_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,14.67493244437676,,19.175421770881204,
seed_a,REAL_ENV010_00001_001_01,REAL_ENV010_00001,REAL,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,18.006078913432027,,9.245175978716683,
seed_a,REAL_ENV013_00001_001_02,REAL_ENV013_00001,REAL,medium,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,7.040396297679228,
seed_a,REAL_ENV014_00001_001_01,REAL_ENV014_00001,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,7.622702562796636,,26.301442987778607,
seed_a,REAL_ENV014_00002_001_01,REAL_ENV014_00002,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,14.442883452878743,,9.173600757823271,
seed_a,REAL_ENV014_00003_001_01,REAL_ENV014_00003,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,27.671776431735605,,16.49453701692469,
seed_a,REAL_ENV015_00001_001_01,REAL_ENV015_00001,REAL,large,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,10.450541440178366,
seed_a,REAL_ENV016_00001_001_01,REAL_ENV016_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,21.22483026392653,,13.941981596105238,
seed_a,REAL_ENV017_00001_001_01,REAL_ENV017_00001,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,27.181410998194544,,15.475918208851533,
seed_a,REAL_ENV018_00003_001_02,REAL_ENV018_00003,REAL,large,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,23.627245696295194,,7.027264090145335,
seed_a,REAL_ENV021_00001_001_01,REAL_ENV021_00001,REAL,small,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,21.94594158845789,
seed_a,REAL_ENV022_00002_001_01,REAL_ENV022_00002,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,18.703065752349502,,12.57585749906652,
seed_a,REAL_ENV024_00001_001_01,REAL_ENV024_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,21.370865389036094,,15.995222708758186,
seed_a,REAL_ENV024_00002_001_01,REAL_ENV024_00002,REAL,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,20.751028647405445,,10.559837733998018,
seed_a,REAL_ENV026_00001_001_01,REAL_ENV026_00001,REAL,medium,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,14.870685951660564,,8.43118532966165,
seed_a,REAL_ENV026_00002_001_01,REAL_ENV026_00002,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,16.82570845047935,,9.477615468642291,
seed_a,REAL_ENV029_00001_001_01,REAL_ENV029_00001,REAL,large,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,24.052432501438265,,5.636427682988784,
seed_a,REAL_ENV029_00002_001_01,REAL_ENV029_00002,REAL,large,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,24.237329566282252,,7.599985823911779,
seed_a,REAL_ENV029_00003_001_01,REAL_ENV029_00003,REAL,large,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,29.69535044493414,,5.814767220441033,
seed_a,REAL_ENV029_00004_001_01,REAL_ENV029_00004,REAL,large,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,21.62635075160027,,6.772378753213322,
seed_a,REAL_ENV029_00005_001_01,REAL_ENV029_00005,REAL,large,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,23.769673309119888,,10.03482936410343,
seed_a,REAL_ENV030_00001_001_01,REAL_ENV030_00001,REAL,large,TRIVIAL_BAD,systematic outside damage,,,,,,17.080652151348772,,10.7864990234375,
seed_a,REAL_ENV030_00002_002_01,REAL_ENV030_00002,REAL,small,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,7.390790125902961,
seed_a,REAL_ENV031_00001_001_01,REAL_ENV031_00001,REAL,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,26.6996390183119,,3.935460258932675,
seed_a,REAL_ENV032_00001_001_01,REAL_ENV032_00001,REAL,large,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,19.70101215208902,,11.01348243040197,
seed_a,REAL_ENV032_00002_001_01,REAL_ENV032_00002,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,15.608200042381311,,22.955981647267063,
seed_a,REAL_ENV033_00001_001_01,REAL_ENV033_00001,REAL,large,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,13.502481196326746,,6.764996360330021,
seed_a,REAL_ENV033_00002_001_01,REAL_ENV033_00002,REAL,medium,TECHNICAL_INVALID,non-finite region metric,,,,,,nan,,17.845844941980697,
seed_a,REAL_ENV033_00003_001_01,REAL_ENV033_00003,REAL,medium,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,31.35543985623916,,8.388146063860725,
seed_a,REAL_ENV035_00001_001_01,REAL_ENV035_00001,REAL,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,32.565816433802034,,5.369927209966323,
seed_a,REAL_ENV036_00001_001_01,REAL_ENV036_00001,REAL,medium,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,24.892835165810485,,5.479745135587804,
seed_a,REAL_ENV037_00001_001_01,REAL_ENV037_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,15.934660627671224,,20.484700707828296,
seed_a,REAL_ENV037_00002_001_01,REAL_ENV037_00002,REAL,large,TRIVIAL_BAD,systematic outside damage,,,,,,16.480328982650235,,21.293277516084558,
seed_a,REAL_ENV039_00001_001_01,REAL_ENV039_00001,REAL,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,25.41186187981206,,6.958847494686351,
seed_a,REAL_ENV040_00001_001_01,REAL_ENV040_00001,REAL,large,TRIVIAL_BAD,systematic outside damage,,,,,,11.760662470907326,,14.864415841944078,
seed_a,REAL_ENV041_00002_001_01,REAL_ENV041_00002,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,12.421761894567297,,11.092388826258043,
seed_a,REAL_ENV042_00001_001_01,REAL_ENV042_00001,REAL,small,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,29.854611502721173,,2.660276412963867,
seed_a,REAL_ENV042_00002_001_01,REAL_ENV042_00002,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,15.473758715112758,,10.863332187428194,
seed_a,REAL_ENV042_00003_001_01,REAL_ENV042_00003,REAL,medium,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,18.74341377830914,,7.03919121798347,
seed_b,BLENDER_BEACH007_00001,BLENDER_BEACH007,BLENDER,small,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,15.946434627517219,,5.0114019898807305,
seed_b,BLENDER_BEACH024_00001,BLENDER_BEACH024,BLENDER,medium,TRIVIAL_BAD,systematic outside damage,,,,,,17.07594623849925,,8.759238579693962,
seed_b,BLENDER_BEACH028_00001,BLENDER_BEACH028,BLENDER,large,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,42.318603050374854,,2.61714207424837,
seed_b,BLENDER_BEACH034_00001,BLENDER_BEACH034,BLENDER,medium,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,20.582485299577453,,2.660385917214786,
seed_b,BLENDER_BEACH035_00001,BLENDER_BEACH035,BLENDER,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,38.86486187524524,,2.612614954219145,
seed_b,BLENDER_BEACH042_00002,BLENDER_BEACH042,BLENDER,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,32.27609725015304,,1.9464817748350256,
seed_b,BLENDER_BEDROOM004_00001,BLENDER_BEDROOM004,BLENDER,large,TRIVIAL_BAD,systematic outside damage,,,,,,11.207643216491254,,8.347511908587288,
seed_b,BLENDER_CARTOON001_00001,BLENDER_CARTOON001,BLENDER,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,34.68728943551731,,3.814354980693144,
seed_b,BLENDER_FOREST003_00002,BLENDER_FOREST003,BLENDER,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,33.40100634467819,,2.6954817912157845,
seed_b,REAL_ENV001_00001_001_01,REAL_ENV001_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,12.469980212911564,,21.46408888872932,
seed_b,REAL_ENV003_00001_001_01,REAL_ENV003_00001,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,21.500844834139976,,16.72306318844066,
seed_b,REAL_ENV005_00002_001_01,REAL_ENV005_00002,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,19.025400827608074,,13.483568023232852,
seed_b,REAL_ENV005_00004_001_01,REAL_ENV005_00004,REAL,large,TRIVIAL_BAD,systematic outside damage,,,,,,18.932356263289012,,10.886359607472139,
seed_b,REAL_ENV007_00001_001_01,REAL_ENV007_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,16.95996673593071,,21.17896136115579,
seed_b,REAL_ENV009_00001_001_01,REAL_ENV009_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,14.605868852022155,,19.19037964764763,
seed_b,REAL_ENV014_00002_001_01,REAL_ENV014_00002,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,13.826824641834508,,9.342425178079043,
seed_b,REAL_ENV014_00003_001_01,REAL_ENV014_00003,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,27.306260868973794,,16.543290923623477,
seed_b,REAL_ENV016_00001_001_01,REAL_ENV016_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,21.17033473029236,,13.905127188738655,
seed_b,REAL_ENV017_00001_001_01,REAL_ENV017_00001,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,26.61052863136909,,15.443564134485582,
seed_b,REAL_ENV018_00003_001_02,REAL_ENV018_00003,REAL,large,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,23.234885743241517,,7.237461426678826,
seed_b,REAL_ENV022_00002_001_01,REAL_ENV022_00002,REAL,small,TRIVIAL_BAD,systematic outside damage,,,,,,18.70580394138687,,12.462074055391199,
seed_b,REAL_ENV024_00001_001_01,REAL_ENV024_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,21.54374348622247,,15.822471450356876,
seed_b,REAL_ENV026_00002_001_01,REAL_ENV026_00002,REAL,medium,MEDIUM_HARD_ELIGIBLE,finite local defect with acceptable outside preservation,,,,,,17.37385036994751,,9.385088023017435,
seed_b,REAL_ENV030_00001_001_01,REAL_ENV030_00001,REAL,large,TRIVIAL_BAD,systematic outside damage,,,,,,16.28066521291606,,10.773534213795381,
seed_b,REAL_ENV033_00001_001_01,REAL_ENV033_00001,REAL,large,TRIVIAL_BAD,temporal instability much higher than winner,,,,,,15.641759852603142,,6.832711079541375,
seed_b,REAL_ENV033_00003_001_01,REAL_ENV033_00003,REAL,medium,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,37.5348516655486,,8.381390122806325,
seed_b,REAL_ENV035_00001_001_01,REAL_ENV035_00001,REAL,small,TOO_CLOSE,candidate too close to clean winner in task mask,,,,,,35.94693078213396,,5.273712578941794,
seed_b,REAL_ENV037_00001_001_01,REAL_ENV037_00001,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,18.36251906265109,,20.59322738647461,
seed_b,REAL_ENV037_00002_001_01,REAL_ENV037_00002,REAL,large,TRIVIAL_BAD,systematic outside damage,,,,,,15.760522898085977,,21.264984804041244,
seed_b,REAL_ENV040_00001_001_01,REAL_ENV040_00001,REAL,large,TRIVIAL_BAD,systematic outside damage,,,,,,11.029314001534628,,15.096914179184857,
seed_b,REAL_ENV041_00002_001_01,REAL_ENV041_00002,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,12.20134408328165,,11.061062868903665,
seed_b,REAL_ENV042_00002_001_01,REAL_ENV042_00002,REAL,medium,TRIVIAL_BAD,systematic outside damage,,,,,,15.770800769625783,,10.868992973776425,
