sample_id,scene_group,source_sample_id,classification,area_bucket,motion_bucket,mask_profile,deformation_bucket,edge_touch_target,final_loser_type,final_loser_video_path,video_path,temporal_strip,final_gate64_role
vp2_gate64_062_REAL_ENV054_00002_001_03,REAL_ENV054_00002,REAL_ENV054_00002_001_03,hard-plausible,large,high,thin_structure_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_062_REAL_ENV054_00002_001_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_062_REAL_ENV054_00002_001_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_062_REAL_ENV054_00002_001_03.jpg,primary32
vp2_gate64_002_REAL_ENV158_00005_001_04,REAL_ENV158_00005,REAL_ENV158_00005_001_04,hard-plausible,medium,high,irregular_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/official_generation/comp_frames/vp2_gate64_002_REAL_ENV158_00005_001_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/official_generation/side_by_side/vp2_gate64_002_REAL_ENV158_00005_001_04.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_002_REAL_ENV158_00005_001_04.jpg,primary32
vp2_gate64_006_BLENDER_BEACH039_00033,BLENDER_BEACH039,BLENDER_BEACH039_00033,hard-plausible,large,high,irregular_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_006_BLENDER_BEACH039_00033,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_006_BLENDER_BEACH039_00033.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_006_BLENDER_BEACH039_00033.jpg,primary32
vp2_gate64_032_REAL_ENV185_00008_003_03,REAL_ENV185_00008,REAL_ENV185_00008_003_03,hard-plausible,small,low,soft_blob,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_032_REAL_ENV185_00008_003_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_032_REAL_ENV185_00008_003_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_032_REAL_ENV185_00008_003_03.jpg,primary32
vp2_gate64_036_REAL_ENV172_00007_002_05,REAL_ENV172_00007,REAL_ENV172_00007_002_05,hard-plausible,small,low,soft_blob,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_036_REAL_ENV172_00007_002_05,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_036_REAL_ENV172_00007_002_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_036_REAL_ENV172_00007_002_05.jpg,primary32
vp2_gate64_000_REAL_ENV800_00019_006_05,REAL_ENV800_00019,REAL_ENV800_00019_006_05,medium-hard,small,low,irregular_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_000_REAL_ENV800_00019_006_05,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_000_REAL_ENV800_00019_006_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_000_REAL_ENV800_00019_006_05.jpg,primary32
vp2_gate64_004_REAL_ENV222_00105_004_01,REAL_ENV222_00105,REAL_ENV222_00105_004_01,medium-hard,small,low,irregular_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_004_REAL_ENV222_00105_004_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_004_REAL_ENV222_00105_004_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_004_REAL_ENV222_00105_004_01.jpg,primary32
vp2_gate64_005_REAL_ENV233_00101_005_05,REAL_ENV233_00101,REAL_ENV233_00101_005_05,medium-hard,medium,medium,irregular_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/official_generation/comp_frames/vp2_gate64_005_REAL_ENV233_00101_005_05,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_source_repair_static_dup_20260625/official_generation/side_by_side/vp2_gate64_005_REAL_ENV233_00101_005_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_005_REAL_ENV233_00101_005_05.jpg,primary32
vp2_gate64_008_BLENDER_BEACH012_00001,BLENDER_BEACH012,BLENDER_BEACH012_00001,medium-hard,small,low,irregular_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_008_BLENDER_BEACH012_00001,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_008_BLENDER_BEACH012_00001.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_008_BLENDER_BEACH012_00001.jpg,primary32
vp2_gate64_009_REAL_ENV169_00002_005_04,REAL_ENV169_00002,REAL_ENV169_00002_005_04,medium-hard,medium,medium,irregular_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_009_REAL_ENV169_00002_005_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_009_REAL_ENV169_00002_005_04.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_009_REAL_ENV169_00002_005_04.jpg,primary32
vp2_gate64_017_REAL_ENV205_00002_006_04,REAL_ENV205_00002,REAL_ENV205_00002_006_04,medium-hard,medium,medium,object_like_polygon,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_017_REAL_ENV205_00002_006_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_017_REAL_ENV205_00002_006_04.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_017_REAL_ENV205_00002_006_04.jpg,primary32
vp2_gate64_018_REAL_ENV159_00004_002_01,REAL_ENV159_00004,REAL_ENV159_00004_002_01,medium-hard,medium,high,object_like_polygon,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_018_REAL_ENV159_00004_002_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_018_REAL_ENV159_00004_002_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_018_REAL_ENV159_00004_002_01.jpg,primary32
vp2_gate64_019_REAL_ENV014_00001_002_01,REAL_ENV014_00001,REAL_ENV014_00001_002_01,medium-hard,large,medium,object_like_polygon,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_019_REAL_ENV014_00001_002_01,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_019_REAL_ENV014_00001_002_01.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_019_REAL_ENV014_00001_002_01.jpg,primary32
vp2_gate64_020_REAL_ENV039_00001_002_02,REAL_ENV039_00001,REAL_ENV039_00001_002_02,medium-hard,small,low,object_like_polygon,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_020_REAL_ENV039_00001_002_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_020_REAL_ENV039_00001_002_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_020_REAL_ENV039_00001_002_02.jpg,primary32
vp2_gate64_021_REAL_ENV164_00006_004_04,REAL_ENV164_00006,REAL_ENV164_00006_004_04,medium-hard,medium,medium,object_like_polygon,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_021_REAL_ENV164_00006_004_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_021_REAL_ENV164_00006_004_04.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_021_REAL_ENV164_00006_004_04.jpg,primary32
vp2_gate64_025_REAL_ENV230_00101_003_04,REAL_ENV230_00101,REAL_ENV230_00101_003_04,medium-hard,medium,medium,object_like_polygon,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_025_REAL_ENV230_00101_003_04,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_025_REAL_ENV230_00101_003_04.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_025_REAL_ENV230_00101_003_04.jpg,primary32
vp2_gate64_033_REAL_ENV176_00006_001_02,REAL_ENV176_00006,REAL_ENV176_00006_001_02,medium-hard,medium,medium,soft_blob,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_033_REAL_ENV176_00006_001_02,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_033_REAL_ENV176_00006_001_02.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_033_REAL_ENV176_00006_001_02.jpg,primary32
vp2_gate64_041_REAL_ENV165_00001_002_03,REAL_ENV165_00001,REAL_ENV165_00001_002_03,medium-hard,medium,high,edge_touch_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_041_REAL_ENV165_00001_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_041_REAL_ENV165_00001_002_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_041_REAL_ENV165_00001_002_03.jpg,primary32
vp2_gate64_042_REAL_ENV154_00008_002_03,REAL_ENV154_00008,REAL_ENV154_00008_002_03,medium-hard,medium,medium,edge_touch_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_042_REAL_ENV154_00008_002_03,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_042_REAL_ENV154_00008_002_03.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_042_REAL_ENV154_00008_002_03.jpg,primary32
vp2_gate64_046_BLENDER_BEDROOM005_00560,BLENDER_BEDROOM005,BLENDER_BEDROOM005_00560,medium-hard,large,medium,edge_touch_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_046_BLENDER_BEDROOM005_00560,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_046_BLENDER_BEDROOM005_00560.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_046_BLENDER_BEDROOM005_00560.jpg,primary32
vp2_gate64_059_REAL_ENV216_00003_006_05,REAL_ENV216_00003,REAL_ENV216_00003_006_05,hard-plausible,large,medium,thin_structure_freeform,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_059_REAL_ENV216_00003_006_05,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_059_REAL_ENV216_00003_006_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_059_REAL_ENV216_00003_006_05.jpg,primary32
vp2_gate64_035_REAL_ENV242_00106_005_05,REAL_ENV242_00106,REAL_ENV242_00106_005_05,medium-hard,large,medium,soft_blob,,,comp,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/comp_frames/vp2_gate64_035_REAL_ENV242_00106_005_05,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_official_43597cf_20260625_031155/official_generation/side_by_side/vp2_gate64_035_REAL_ENV242_00106_005_05.mp4,/mnt/nas/hj/H20_Video_inpainting_DPO/logs/autoresearch/exp26_videopainter_dpo_v2/gate64_final_temporal_review_20260625/temporal_strips/vp2_gate64_035_REAL_ENV242_00106_005_05.jpg,primary32
