gate64_index,sample_id,scene_group,source_type,mask_bucket,effect_type,condition_member_path,winner_member_path,mask_member_path,_source_pool_path,selection_reason
10,BLENDER_MOUNTAIN014_00001,BLENDER_MOUNTAIN014,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_MOUNTAIN014_00001.mp4,VOR-Train/BG/BLENDER_MOUNTAIN014_00001.mp4,MASK/BLENDER_MOUNTAIN014_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
11,BLENDER_OFFICE002_00001,BLENDER_OFFICE002,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_OFFICE002_00001.mp4,VOR-Train/BG/BLENDER_OFFICE002_00001.mp4,MASK/BLENDER_OFFICE002_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
12,BLENDER_OFFICE003_00001,BLENDER_OFFICE003,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_OFFICE003_00001.mp4,VOR-Train/BG/BLENDER_OFFICE003_00001.mp4,MASK/BLENDER_OFFICE003_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
13,BLENDER_PRODUCT001_00001,BLENDER_PRODUCT001,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT001_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT001_00001.mp4,MASK/BLENDER_PRODUCT001_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
14,BLENDER_PRODUCT004_00001,BLENDER_PRODUCT004,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT004_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT004_00001.mp4,MASK/BLENDER_PRODUCT004_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
15,BLENDER_PRODUCT006_00001,BLENDER_PRODUCT006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT006_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT006_00001.mp4,MASK/BLENDER_PRODUCT006_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
16,BLENDER_PRODUCT008_00001,BLENDER_PRODUCT008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT008_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT008_00001.mp4,MASK/BLENDER_PRODUCT008_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
17,BLENDER_PRODUCT010_00001,BLENDER_PRODUCT010,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT010_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT010_00001.mp4,MASK/BLENDER_PRODUCT010_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
18,BLENDER_PRODUCT011_00001,BLENDER_PRODUCT011,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_PRODUCT011_00001.mp4,VOR-Train/BG/BLENDER_PRODUCT011_00001.mp4,MASK/BLENDER_PRODUCT011_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
19,BLENDER_RIVER002_00001,BLENDER_RIVER002,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER002_00001.mp4,VOR-Train/BG/BLENDER_RIVER002_00001.mp4,MASK/BLENDER_RIVER002_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
20,BLENDER_RIVER003_00001,BLENDER_RIVER003,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER003_00001.mp4,VOR-Train/BG/BLENDER_RIVER003_00001.mp4,MASK/BLENDER_RIVER003_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
21,BLENDER_RIVER004_00001,BLENDER_RIVER004,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER004_00001.mp4,VOR-Train/BG/BLENDER_RIVER004_00001.mp4,MASK/BLENDER_RIVER004_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
22,BLENDER_RIVER005_00001,BLENDER_RIVER005,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER005_00001.mp4,VOR-Train/BG/BLENDER_RIVER005_00001.mp4,MASK/BLENDER_RIVER005_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
23,BLENDER_RIVER006_00001,BLENDER_RIVER006,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER006_00001.mp4,VOR-Train/BG/BLENDER_RIVER006_00001.mp4,MASK/BLENDER_RIVER006_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
24,BLENDER_RIVER008_00001,BLENDER_RIVER008,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER008_00001.mp4,VOR-Train/BG/BLENDER_RIVER008_00001.mp4,MASK/BLENDER_RIVER008_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
25,BLENDER_RIVER009_00001,BLENDER_RIVER009,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER009_00001.mp4,VOR-Train/BG/BLENDER_RIVER009_00001.mp4,MASK/BLENDER_RIVER009_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
26,BLENDER_RIVER011_00001,BLENDER_RIVER011,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER011_00001.mp4,VOR-Train/BG/BLENDER_RIVER011_00001.mp4,MASK/BLENDER_RIVER011_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
27,BLENDER_RIVER012_00001,BLENDER_RIVER012,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER012_00001.mp4,VOR-Train/BG/BLENDER_RIVER012_00001.mp4,MASK/BLENDER_RIVER012_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
28,BLENDER_RIVER016_00001,BLENDER_RIVER016,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER016_00001.mp4,VOR-Train/BG/BLENDER_RIVER016_00001.mp4,MASK/BLENDER_RIVER016_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
29,BLENDER_RIVER020_00001,BLENDER_RIVER020,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_RIVER020_00001.mp4,VOR-Train/BG/BLENDER_RIVER020_00001.mp4,MASK/BLENDER_RIVER020_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
30,BLENDER_SCHOOL004_00001,BLENDER_SCHOOL004,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_SCHOOL004_00001.mp4,VOR-Train/BG/BLENDER_SCHOOL004_00001.mp4,MASK/BLENDER_SCHOOL004_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
31,BLENDER_STREET001_00001,BLENDER_STREET001,BLENDER,unknown,unknown,VOR-Train/FG_BG/BLENDER_STREET001_00001.mp4,VOR-Train/BG/BLENDER_STREET001_00001.mp4,MASK/BLENDER_STREET001_00001.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
32,REAL_ENV056_00001_001_01,REAL_ENV056_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV056_00001_001_01.mp4,VOR-Train/BG/REAL_ENV056_00001_001_01.mp4,MASK/REAL_ENV056_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
33,REAL_ENV057_00001_001_01,REAL_ENV057_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV057_00001_001_01.mp4,VOR-Train/BG/REAL_ENV057_00001_001_01.mp4,MASK/REAL_ENV057_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
34,REAL_ENV059_00001_001_01,REAL_ENV059_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV059_00001_001_01.mp4,VOR-Train/BG/REAL_ENV059_00001_001_01.mp4,MASK/REAL_ENV059_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
35,REAL_ENV063_00001_001_01,REAL_ENV063_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV063_00001_001_01.mp4,VOR-Train/BG/REAL_ENV063_00001_001_01.mp4,MASK/REAL_ENV063_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
36,REAL_ENV064_00001_001_01,REAL_ENV064_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV064_00001_001_01.mp4,VOR-Train/BG/REAL_ENV064_00001_001_01.mp4,MASK/REAL_ENV064_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
37,REAL_ENV067_00001_001_01,REAL_ENV067_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV067_00001_001_01.mp4,VOR-Train/BG/REAL_ENV067_00001_001_01.mp4,MASK/REAL_ENV067_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
38,REAL_ENV067_00002_001_01,REAL_ENV067_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV067_00002_001_01.mp4,VOR-Train/BG/REAL_ENV067_00002_001_01.mp4,MASK/REAL_ENV067_00002_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
39,REAL_ENV068_00002_001_01,REAL_ENV068_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV068_00002_001_01.mp4,VOR-Train/BG/REAL_ENV068_00002_001_01.mp4,MASK/REAL_ENV068_00002_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
40,REAL_ENV069_00001_001_01,REAL_ENV069_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV069_00001_001_01.mp4,VOR-Train/BG/REAL_ENV069_00001_001_01.mp4,MASK/REAL_ENV069_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
41,REAL_ENV078_00001_001_01,REAL_ENV078_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV078_00001_001_01.mp4,VOR-Train/BG/REAL_ENV078_00001_001_01.mp4,MASK/REAL_ENV078_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
42,REAL_ENV080_00002_001_01,REAL_ENV080_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV080_00002_001_01.mp4,VOR-Train/BG/REAL_ENV080_00002_001_01.mp4,MASK/REAL_ENV080_00002_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
43,REAL_ENV080_00003_001_01,REAL_ENV080_00003,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV080_00003_001_01.mp4,VOR-Train/BG/REAL_ENV080_00003_001_01.mp4,MASK/REAL_ENV080_00003_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
44,REAL_ENV082_00001_001_03,REAL_ENV082_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV082_00001_001_03.mp4,VOR-Train/BG/REAL_ENV082_00001_001_03.mp4,MASK/REAL_ENV082_00001_001_03.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
45,REAL_ENV082_00002_001_01,REAL_ENV082_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV082_00002_001_01.mp4,VOR-Train/BG/REAL_ENV082_00002_001_01.mp4,MASK/REAL_ENV082_00002_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
46,REAL_ENV084_00002_001_01,REAL_ENV084_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV084_00002_001_01.mp4,VOR-Train/BG/REAL_ENV084_00002_001_01.mp4,MASK/REAL_ENV084_00002_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
47,REAL_ENV085_00004_001_01,REAL_ENV085_00004,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV085_00004_001_01.mp4,VOR-Train/BG/REAL_ENV085_00004_001_01.mp4,MASK/REAL_ENV085_00004_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
48,REAL_ENV086_00001_001_01,REAL_ENV086_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV086_00001_001_01.mp4,VOR-Train/BG/REAL_ENV086_00001_001_01.mp4,MASK/REAL_ENV086_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
49,REAL_ENV086_00002_001_01,REAL_ENV086_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV086_00002_001_01.mp4,VOR-Train/BG/REAL_ENV086_00002_001_01.mp4,MASK/REAL_ENV086_00002_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
50,REAL_ENV087_00001_001_01,REAL_ENV087_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV087_00001_001_01.mp4,VOR-Train/BG/REAL_ENV087_00001_001_01.mp4,MASK/REAL_ENV087_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
51,REAL_ENV087_00002_001_01,REAL_ENV087_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV087_00002_001_01.mp4,VOR-Train/BG/REAL_ENV087_00002_001_01.mp4,MASK/REAL_ENV087_00002_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
52,REAL_ENV088_00001_001_02,REAL_ENV088_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV088_00001_001_02.mp4,VOR-Train/BG/REAL_ENV088_00001_001_02.mp4,MASK/REAL_ENV088_00001_001_02.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
53,REAL_ENV089_00001_001_01,REAL_ENV089_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV089_00001_001_01.mp4,VOR-Train/BG/REAL_ENV089_00001_001_01.mp4,MASK/REAL_ENV089_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
54,REAL_ENV091_00001_001_01,REAL_ENV091_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV091_00001_001_01.mp4,VOR-Train/BG/REAL_ENV091_00001_001_01.mp4,MASK/REAL_ENV091_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
55,REAL_ENV093_00001_001_01,REAL_ENV093_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV093_00001_001_01.mp4,VOR-Train/BG/REAL_ENV093_00001_001_01.mp4,MASK/REAL_ENV093_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
56,REAL_ENV095_00001_001_01,REAL_ENV095_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV095_00001_001_01.mp4,VOR-Train/BG/REAL_ENV095_00001_001_01.mp4,MASK/REAL_ENV095_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
57,REAL_ENV095_00002_001_01,REAL_ENV095_00002,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV095_00002_001_01.mp4,VOR-Train/BG/REAL_ENV095_00002_001_01.mp4,MASK/REAL_ENV095_00002_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
58,REAL_ENV095_00003_001_01,REAL_ENV095_00003,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV095_00003_001_01.mp4,VOR-Train/BG/REAL_ENV095_00003_001_01.mp4,MASK/REAL_ENV095_00003_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
59,REAL_ENV099_00001_001_01,REAL_ENV099_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV099_00001_001_01.mp4,VOR-Train/BG/REAL_ENV099_00001_001_01.mp4,MASK/REAL_ENV099_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
60,REAL_ENV100_00001_001_01,REAL_ENV100_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV100_00001_001_01.mp4,VOR-Train/BG/REAL_ENV100_00001_001_01.mp4,MASK/REAL_ENV100_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
61,REAL_ENV101_00001_001_01,REAL_ENV101_00001,REAL,unknown,unknown,VOR-Train/FG_BG/REAL_ENV101_00001_001_01.mp4,VOR-Train/BG/REAL_ENV101_00001_001_01.mp4,MASK/REAL_ENV101_00001_001_01.mp4,exp30_vor_or_multimodel_minimax/manifests/vor_or_source_pool_v2_primary128.jsonl,deterministic_balanced_gate64_from_source_pool_v2_excluding_smoke16_smoke32_and_known_invalid
