bytes,exists,path,sha256,source
2044,True,reports/exp52_cache_summary.json,1488737471f4d3727ede6f8fba952b77088e0fc4f3c8e06eeb73e7559b70ba03,exp53_current
29443,True,reports/exp52_cache_manifest.json,22b15c0b793450ff519af0c2f7cf29721a5068c3dffb2b07fa11f9cefe843de0,exp53_current
569,True,reports/exp52_cache_parity.csv,e6c3378f99c42caff519c6631be1802efc65c09e0d776cd49ddbd558c88cd28a,exp53_current
1191,True,reports/exp52_r1_row0_smoke.md,142541567b6241800ee5e67aeefbc1cbb3d30315bd4c5b3912cfd4f04cc0cf21,exp53_current
1372,True,reports/exp52_rescue_onestep.md,7138faf7542f6d9920c03128f24b8b9576154d682ac3a240aebfc6dcfbf501a0,exp53_current
3003,True,reports/exp52_void_rescue_decision.md,6d6bf463046e61c0262356af5642178c5e79a9468810d986dcc9f88fb9b5284b,exp53_current
1264,True,reports/exp53_h20_final_handoff.md,4f4c6671f000ae4097063cc8689d957e54e3efe39ecacd1d0ed9eab822edc9aa,exp53_current
656,True,reports/exp53_h20_candidate_ranking.csv,31eb871751a9d374d70aece49bd921e4a27c5f7adc6a0c727d322ed1027a22dd,exp53_current
344,True,reports/exp53_h20_next_steps.md,48fbaaa784a68f5eaa25bdb6d3c492ed170b2e059e49cddd5ff0d0a5f9695b01,exp53_current
1091,True,PRD/50_exp54_void_sdpo_linear_pai.md,2fdf839d888c2abd5de38d2e2a41b0f879bf95233f8ecb86758a6ceae5c00e01,exp54_branch
5681,True,reports/exp54_readback_gpu_audit.md,51337dc722602323fc39ee61316c6229e81ed15896f388376e5c64d0b70f12dd,exp54_branch
131,True,reports/exp54_gpu_audit.csv,524d167dff853d0a3bcc5fe601bb4feca2c80b6bf73f07c546962826f0373957,exp54_branch
1882,True,reports/exp54_start_state_summary.json,686dcac3babc79b1af00781794104c82968137b56316730b911d32e76f8fd628,exp54_branch
956,True,reports/exp54_sdpo_linear_preregistration.md,b3e1a35903f8bd19c84d5028111fe5abed7cf27d722389dee43ee79215918005,exp54_branch
2160,True,reports/exp54_sdpo_linear_preregistration.json,03467c42078d682da7546b96cda0bb187a1f5969ecf1791758628835b1417090,exp54_branch
1242,True,reports/exp54_sdpo_linear_onestep.md,b30d239ba1cc6503288f8f53b6204c3f50afe06d4ba366a12b92bf3239aa1534,exp54_branch
11020,True,reports/exp54_sdpo_linear_onestep_metrics.csv,e120f6dbbb8bbbc6ce94c042a88b4d91a105166c93d6b29a55b36acf7f2d85d4,exp54_branch
2869,True,reports/exp54_sdpo_linear_onestep_visual_review.csv,564fade6eee349006af8604ef9afdb0c44b53eca4e72e3db98936068f1170dd3,exp54_branch
7050,True,reports/exp54_sdpo_linear_onestep_diagnostics.csv,3176790a46abbfdd9cea3d51e9e90756e2de04de9de152dedafb1392629258d9,exp54_branch
2988,True,reports/exp54_sdpo_linear_onestep_summary.json,b77d1f50b61d7ba2a9d9ea6abf21f6d685a85fa8bc3d44830f35cff2bb0e2857,exp54_branch
458,True,reports/exp54_wave2_decision.md,31888fbde40de2792dcf5445bf184b913f5a244c37622b9925572ffbfc0694c3,exp54_branch
11042,True,reports/exp54_wave2_metrics.csv,cb7fa6daf6a09e675ce7ad6b100607e6010ae906b43e982db84c80b674d78928,exp54_branch
2720,True,reports/exp54_wave2_visual_review.csv,bbec83245ef7e99fda66299b838ee45b9f7d4554aa8eb4e57ba7fd8244b71cfb,exp54_branch
7057,True,reports/exp54_wave2_diagnostics.csv,31b01cb936ecb826d41faa45e089466e05bbf6724d828a2a11f4141f9e96169c,exp54_branch
2969,True,reports/exp54_wave2_summary.json,cb89dd58b6292be31111cf5fc6ff8fa0cb13a97ae4b444eccf688909569ecff0,exp54_branch
1186,True,reports/exp54_pai_final_handoff.md,39ab3856d3f6e8259ad5345979325aad96b8b8bcfd612f41be80c31aa70acdd3,exp54_branch
1070,True,reports/exp54_pai_candidate_ranking.csv,9c5e5e0693e5520a68fd70140e3ded84d9ea4106cff0646d4abeb1ad11158ddb,exp54_branch
217,True,reports/exp54_pai_next_steps.md,78dbe5094fdbe7305eafbf10dbdbb71686576656e167d93bf688b865644d901c,exp54_branch
