video,label,psnr,ssim,mask_bbox_psnr,strict_mask_psnr,boundary_psnr,lpips,ewarp,flow_flow_conf_mean,flow_valid_flow_ratio,flow_mean_flow_magnitude,flow_gate_mean,flow_gate_p10,flow_gate_p50,flow_gate_p90,flow_nonzero_gate_ratio
dog-agility,exp19b,27.036961413971994,0.957453623929781,20.366953431362223,17.3359792473826,26.65546275336021,0.023933116268987458,23.18320018441781,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
blackswan,exp19b,32.895124583152985,0.9673484334342327,24.49097288231165,21.856140602260325,27.19333133038602,0.017292497175124783,4.843435898099257,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
lucia,exp19b,34.035818627648545,0.98741030234343,22.69328596179729,19.387264793041215,25.15311805359903,0.00885655579622835,5.889310926684867,0.8371973037719727,0.9044797420501709,4.068275451660156,0.0021414111834019423,0.0,0.0,0.0,0.0037270125467330217
dance-jump,exp19b,34.437366367432254,0.9820352502449291,26.34003471276341,22.710251183389246,26.723436745722015,0.01116113259922713,4.111703930665617,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
flamingo,exp19b,33.9649818930584,0.9882894957515292,22.650886631189973,20.114344447998217,23.97380896487905,0.008092804385038713,3.624289205459797,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
soccerball,exp19b,23.698219875267863,0.9391132653928449,15.75541236842607,12.5092869666519,20.00892038875136,0.03158464306034148,7.4487100152865695,0.8154722452163696,0.8702831864356995,0.530766487121582,0.004123906139284372,0.0,0.0,0.0,0.005925684701651335
camel,exp19b,25.513473640750238,0.9386543423765182,20.119766929687334,17.69384384914552,23.289616528592077,0.03503832888479034,12.952170456233233,0.69745934009552,0.779870331287384,2.495544672012329,0.003717071143910289,0.0,0.0,0.0,0.006655896548181772
car-roundabout,exp19b,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
boat,lambda000,26.524718196963857,0.9316639778432473,20.39382073089782,18.64946120709718,25.926456130630076,0.03937993307287494,3.075165623475028,0.603135347366333,0.7948475480079651,1.0923269987106323,0.00417461059987545,0.0,0.0,0.0,0.007050942163914442
rhino,lambda000,26.313733837805916,0.9454986824538057,18.35524781278434,15.475937123353196,24.482864949352244,0.02594558064204951,3.0967657778250137,0.7947921752929688,0.8696542382240295,1.3999476432800293,0.003528141649439931,0.0,0.0,0.0,0.005747251212596893
dog-agility,lambda000,27.036482171196628,0.9574503813913949,20.366474188586864,17.33550000460724,26.656103193575916,0.023942885842795174,23.18288997301589,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
blackswan,lambda000,32.894566284630905,0.9673470789832624,24.490414583789562,21.85558230373824,27.192163564422042,0.017295612953603268,4.843432355024245,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
lucia,lambda000,34.035040066174155,0.9874085144894315,22.6925074003229,19.386486231566824,25.15494849865463,0.008851393242366612,5.8893864043056965,0.8371973037719727,0.9044797420501709,4.068275451660156,0.0021414111834019423,0.0,0.0,0.0,0.0037270125467330217
dance-jump,lambda000,34.4369343455312,0.9820335932210581,26.339602690862353,22.709819161488195,26.72331023685598,0.01116270994922767,4.111771937459707,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
flamingo,lambda000,33.96426616793901,0.9882882605243282,22.65017090607058,20.11362872287883,23.973449765287956,0.008093345250623921,3.624352920071586,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
soccerball,lambda000,23.698288586594543,0.9391135381612252,15.755481079752748,12.509355677978576,20.008930732083655,0.03157228448738655,7.448797357147154,0.8154722452163696,0.8702831864356995,0.530766487121582,0.004123906139284372,0.0,0.0,0.0,0.005925684701651335
camel,lambda000,25.513362040657512,0.9386537727039488,20.119655329594607,17.69373224905279,23.28989230158565,0.03502987542500099,12.95301095461068,0.69745934009552,0.779870331287384,2.495544672012329,0.003717071143910289,0.0,0.0,0.0,0.006655896548181772
car-roundabout,lambda000,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
boat,lambda005,26.524559393129625,0.931659260950772,20.393661927063594,18.64930240326295,25.925981647726974,0.03939848874385158,3.075450932121147,0.603135347366333,0.7948475480079651,1.0923269987106323,0.00417461059987545,0.0,0.0,0.0,0.007050942163914442
rhino,lambda005,26.314424378054955,0.9455064076348855,18.355938353033384,15.476627663602239,24.48310080392716,0.025931756633023422,3.0967505324793896,0.7947921752929688,0.8696542382240295,1.3999476432800293,0.003528141649439931,0.0,0.0,0.0,0.005747251212596893
dog-agility,lambda005,27.036940677511254,0.957451872293916,20.36693269490149,17.335958510921866,26.65621254665535,0.023935526066149276,23.1833562011952,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
blackswan,lambda005,32.89524846505132,0.9673498094070828,24.491096764209974,21.856264484158658,27.19341024496249,0.017294741041647892,4.843409304790523,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
lucia,lambda005,34.03545891719062,0.9874095791887139,22.69292625133936,19.386905082583283,25.154478536751256,0.008851084489530573,5.889170620914387,0.8371973037719727,0.9044797420501709,4.068275451660156,0.0021414111834019423,0.0,0.0,0.0,0.0037270125467330217
dance-jump,lambda005,34.437029406235176,0.9820343084509271,26.33969775156633,22.709914222192168,26.723458859047167,0.011158431220489243,4.111794481539856,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
flamingo,lambda005,33.96485123648072,0.98828938194349,22.65075597461229,20.114213791420536,23.97382603336621,0.00808800661858792,3.6243554407163807,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
soccerball,lambda005,23.698256461099646,0.9391127069139045,15.755448954257849,12.509323552483679,20.00856913513053,0.031570792741452657,7.448775147128365,0.8154722452163696,0.8702831864356995,0.530766487121582,0.004123906139284372,0.0,0.0,0.0,0.005925684701651335
camel,lambda005,25.512937650700252,0.9386518378432783,20.119230939637344,17.693307859095526,23.289591882327418,0.035036204382777214,12.952967870818533,0.69745934009552,0.779870331287384,2.495544672012329,0.003717071143910289,0.0,0.0,0.0,0.006655896548181772
car-roundabout,lambda005,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
boat,lambda010,26.52544027959206,0.9316685159435322,20.394542813526026,18.65018328972538,25.92668791379221,0.03937900826955835,3.074971027672291,0.603135347366333,0.7948475480079651,1.0923269987106323,0.00417461059987545,0.0,0.0,0.0,0.007050942163914442
rhino,lambda010,26.314281753687634,0.9455044663390303,18.355795728666056,15.47648503923491,24.48276999895465,0.025940541566039126,3.0968042151273596,0.7947921752929688,0.8696542382240295,1.3999476432800293,0.003528141649439931,0.0,0.0,0.0,0.005747251212596893
dog-agility,lambda010,27.036605153067445,0.9574518412494554,20.36659717045768,17.335622986478057,26.656303109779174,0.02393805099806438,23.184349598444026,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
blackswan,lambda010,32.89408409015318,0.9673437158064898,24.489932389311836,21.85510010926052,27.193025510033465,0.01728448326078554,4.843440382619915,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
lucia,lambda010,34.03520525979568,0.9874087685355217,22.692672593944437,19.386651425188358,25.15342266086766,0.00885457539698109,5.889327609506639,0.8371973037719727,0.9044797420501709,4.068275451660156,0.0021414111834019423,0.0,0.0,0.0,0.0037270125467330217
dance-jump,lambda010,34.437062087495356,0.982034378388668,26.339730432826514,22.709946903452348,26.723748245111647,0.011158594163134694,4.11181560839,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
flamingo,lambda010,33.96430617842818,0.9882888222272112,22.650210916559757,20.113668733367998,23.972975575862407,0.008093891005652646,3.624343971276413,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
soccerball,lambda010,23.698483599001662,0.9391151353164644,15.755676092159868,12.5095506903857,20.008859760895252,0.03156868686589102,7.448724167340476,0.8154722452163696,0.8702831864356995,0.530766487121582,0.004123906139284372,0.0,0.0,0.0,0.005925684701651335
camel,lambda010,25.51327717449709,0.9386533948328841,20.119570463434187,17.69364738289237,23.29015813586152,0.03503937118997177,12.953365505065607,0.69745934009552,0.779870331287384,2.495544672012329,0.003717071143910289,0.0,0.0,0.0,0.006655896548181772
car-roundabout,lambda010,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
boat,lambda020,26.52527168838478,0.9316688416216956,20.39437422231875,18.650014698518106,25.92602392843143,0.03938285680487752,3.0753317633238826,0.603135347366333,0.7948475480079651,1.0923269987106323,0.00417461059987545,0.0,0.0,0.0,0.007050942163914442
rhino,lambda020,26.314390856012597,0.9455040508357456,18.355904830991022,15.476594141559877,24.483302739928046,0.02594009879976511,3.096754035062116,0.7947921752929688,0.8696542382240295,1.3999476432800293,0.003528141649439931,0.0,0.0,0.0,0.005747251212596893
dog-agility,lambda020,27.037471468872496,0.9574584248011715,20.36746348626272,17.3364893022831,26.65594496260168,0.02394105400890112,23.182987640409365,0.5918501019477844,0.7605476975440979,2.843116044998169,0.0028264434076845646,0.0,0.0,0.0,0.00773654505610466
blackswan,lambda020,32.894959903479595,0.9673485381093712,24.490808202638263,21.855975922586936,27.193241670974746,0.017295176163315773,4.843462754607848,0.7039629817008972,0.8533058166503906,3.538808584213257,0.0027010818012058735,0.0,0.0,0.0,0.005381542723625898
lucia,lambda020,34.03564126488547,0.9874102954449849,22.69310859903422,19.38708743027814,25.153592136343587,0.008853389027838906,5.8893198147416115,0.8371973037719727,0.9044797420501709,4.068275451660156,0.0021414111834019423,0.0,0.0,0.0,0.0037270125467330217
dance-jump,lambda020,34.43660677213157,0.9820313878898214,26.339275117462723,22.709491588088564,26.72211403817306,0.01115551870316267,4.1118542683999175,0.7492751479148865,0.8581621050834656,4.219822883605957,0.003665183437988162,0.0,0.0,0.0,0.007458446081727743
flamingo,lambda020,33.96464582422672,0.9882889804418168,22.65055056235829,20.114008379166542,23.97391040382503,0.008091828553006053,3.6243479800127125,0.788724422454834,0.8999325037002563,3.4179558753967285,0.0029070661403238773,0.0,0.0,0.0,0.005339345429092646
soccerball,lambda020,23.698272451347535,0.9391126541861624,15.75546494450574,12.509339542731569,20.009244319591456,0.03157959886205693,7.4486192113355445,0.8154722452163696,0.8702831864356995,0.530766487121582,0.004123906139284372,0.0,0.0,0.0,0.005925684701651335
camel,lambda020,25.513507372578164,0.938660004095644,20.11980066151526,17.693877580973442,23.289753428774418,0.03503000053266684,12.953205439059632,0.69745934009552,0.779870331287384,2.495544672012329,0.003717071143910289,0.0,0.0,0.0,0.006655896548181772
car-roundabout,lambda020,33.872917285620964,0.9950879085624091,21.53208522528728,19.582965416596274,23.166440440296043,0.005253263409637536,15.080864743694015,0.719431459903717,0.885685920715332,6.967656135559082,0.003398679895326495,0.0,0.0,0.0,0.007024016231298447
