experiment,step,l_total,l_dpo,l_sft,implicit_acc,win_gap,lose_gap,reward_margin,sigma_term,kl_divergence,mse_w,mse_l,ref_mse_w,ref_mse_l,dgr_grad_norm,inside_term_mean,inside_term_min,inside_term_max,loser_dominant_ratio,correct,samples,loser_dominant_count,global_step,step_source,dpo_loss,total_loss,factor,implicit_acc_correct,implicit_acc_total,implicit_acc_count,epoch,epoch_batch_idx,steps_per_epoch,loss,v_num,loss_simple_step,loss_step,loss_simple_epoch,loss_epoch
DiffDPO_loss,4800,0.0,0.0,0.370037,1.0,0.368145,0.458654,-0.00075,1.0,0.2067,0.370037,0.461296,0.001892,0.002643,1.7e-05,72.742233,13.209998,175.041595,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,5100,0.0,0.0,0.536717,1.0,0.292656,0.760254,0.012731,1.0,0.263227,0.536717,0.991584,0.244061,0.23133,0.0,76.391235,17.170313,132.581268,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,5400,0.0,0.0,0.616541,1.0,0.434286,0.9786,0.00549,1.0,0.353222,0.616541,1.155365,0.182255,0.176765,0.0,110.956421,22.614641,224.793915,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,5700,0.0,0.0,0.360976,1.0,0.344313,0.481519,0.004533,1.0,0.206458,0.360976,0.493649,0.016663,0.01213,1e-06,91.80368,17.133608,180.837814,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,6000,0.0,0.0,0.525594,1.0,0.411343,0.78865,0.00278,1.0,0.299998,0.525594,0.90012,0.11425,0.11147,6e-06,64.84301,15.033571,207.526337,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,6300,0.0,0.0,0.529522,1.0,0.457887,1.215586,0.027259,1.0,0.418368,0.529522,1.259963,0.071636,0.044377,0.057912,39.903034,5.293626,213.639389,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,6600,0.0,0.0,0.461615,1.0,0.271231,0.65502,0.015089,1.0,0.231563,0.461615,0.830315,0.190383,0.175294,0.133079,27.466906,3.415704,106.103882,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,6900,0.0,0.0,0.652133,1.0,0.614632,1.037182,-0.000939,1.0,0.412954,0.652133,1.075622,0.037501,0.03844,0.0,56.695534,21.380537,119.64801,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,7200,0.0,0.0,0.591953,1.0,0.58959,0.67614,0.000208,1.0,0.316433,0.591953,0.678295,0.002362,0.002154,1e-06,70.248047,15.986421,111.167862,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,7500,0.0,0.0,0.535421,1.0,0.517137,0.744671,0.001459,1.0,0.315452,0.535421,0.761496,0.018283,0.016824,0.0,129.0401,40.886848,242.022552,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,7800,0.0,0.0,0.354569,1.0,0.310469,0.607044,-0.00648,1.0,0.229378,0.354569,0.657624,0.0441,0.05058,2.843852,33.900223,1.713191,132.924164,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,8100,0.001249,0.001249,1.019947,1.0,1.015003,1.108772,-0.000275,0.998763,0.530944,1.019947,1.113991,0.004944,0.00522,0.166252,144.083405,3.902661,299.694031,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,8400,2.9e-05,2.9e-05,1.060464,1.0,1.059569,1.115551,8.8e-05,0.999971,0.54378,1.060464,1.116358,0.000895,0.000807,0.002163,54.08667,8.379323,112.366241,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,8700,0.0,0.0,0.607522,1.0,0.574868,0.836355,0.004527,1.0,0.352806,0.607522,0.864481,0.032654,0.028126,0.000304,32.613186,11.2179,85.426064,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,9000,0.0,0.0,0.776912,1.0,0.775907,0.879847,0.000185,1.0,0.413938,0.776912,0.880667,0.001005,0.00082,1e-06,62.490738,16.496517,140.001236,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,9300,0.0,0.0,1.189251,1.0,1.170456,1.398121,0.003892,1.0,0.642144,1.189251,1.413025,0.018796,0.014904,0.0,74.09935,39.956745,129.901062,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,9600,0.0,0.0,0.600564,1.0,0.579039,1.103871,-0.003337,1.0,0.420727,0.600564,1.128733,0.021525,0.024862,0.008505,36.461082,6.429735,152.108154,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_loss,9900,0.0,0.0,0.777629,1.0,0.753472,0.985496,0.002191,1.0,0.434742,0.777629,1.007462,0.024157,0.021967,0.0,119.524879,44.093197,206.606674,1.0,128.0,128.0,128.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,1,0.693042,0.693042,0.022386,0.9875,-4.2e-05,0.000195,-0.147084,0.500053,3.8e-05,0.022386,0.169708,0.022428,0.169512,0.109027,0.000179,-5.8e-05,0.000378,0.924051,79.0,80.0,73.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,300,0.691821,0.691821,0.014399,1.0,-0.000531,7.8e-05,-0.01227,0.500664,-0.000113,0.014399,0.027278,0.01493,0.0272,0.01721,0.001547,0.000119,0.003666,0.7,80.0,80.0,56.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,600,0.692249,0.692249,0.006849,0.9875,-0.00036,1.9e-05,-0.009864,0.500449,-8.5e-05,0.006849,0.017092,0.007208,0.017073,0.012639,0.001182,-7.1e-05,0.002444,0.405063,79.0,80.0,32.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,900,0.691922,0.691922,0.009964,1.0,-0.00049,-0.000194,-0.019807,0.500613,-0.000171,0.009964,0.030068,0.010454,0.030261,0.025659,0.00219,0.00028,0.004888,0.3625,80.0,80.0,29.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,1200,0.692931,0.692931,0.001366,1.0,-8.7e-05,-2.1e-05,-0.001139,0.500108,-2.7e-05,0.001366,0.00257,0.001452,0.002591,0.004553,0.000321,0.000111,0.000896,0.15,80.0,80.0,12.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,1500,0.692475,0.692475,0.003813,0.9875,-0.000269,0.000146,-0.011637,0.500336,-3.1e-05,0.003813,0.015865,0.004082,0.015719,0.020637,0.000981,-0.000241,0.002355,0.443038,79.0,80.0,35.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,1800,0.685621,0.685621,0.145708,1.0,-0.003022,0.01345,-0.713593,0.503778,0.002607,0.145708,0.875773,0.14873,0.862323,0.166,0.018471,0.010545,0.031573,1.0,80.0,80.0,80.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,2100,0.690165,0.690165,0.066123,1.0,-0.001195,0.002517,-0.127058,0.501493,0.000331,0.066123,0.196893,0.067318,0.194376,0.035823,0.001639,3.7e-05,0.008686,0.475,80.0,80.0,38.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,2400,0.685559,0.685559,0.077086,1.0,-0.003047,0.00286,-0.148576,0.503809,-4.7e-05,0.077086,0.231569,0.080133,0.228709,0.048043,0.0032,2.1e-05,0.020089,0.15,80.0,80.0,12.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,2700,0.68556,0.68556,0.145358,1.0,-0.003047,0.02115,-0.614086,0.503808,0.004526,0.145358,0.783641,0.148405,0.762491,0.093207,0.007913,0.002608,0.020847,0.9375,80.0,80.0,75.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,3000,0.691131,0.691131,0.018503,0.9875,-0.000807,0.000748,-0.081191,0.501009,-1.5e-05,0.018503,0.10125,0.019311,0.100502,0.014568,0.001167,-3.4e-05,0.005731,0.202532,79.0,80.0,16.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,3300,0.692883,0.692883,0.002085,0.975,-0.000106,9.2e-05,-0.000449,0.500132,-3e-06,0.002085,0.002732,0.002191,0.00264,0.008002,0.000341,-0.000826,0.001479,0.089744,78.0,80.0,7.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,3600,0.693067,0.693067,0.000178,1.0,-3.2e-05,-2.7e-05,-0.000675,0.50004,-1.5e-05,0.000178,0.000858,0.00021,0.000885,0.066879,0.010093,0.000125,0.036391,0.8,80.0,80.0,64.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,3900,0.679203,0.679203,0.15972,1.0,-0.005617,0.013199,-0.694494,0.507021,0.001895,0.15972,0.87303,0.165337,0.859831,0.102936,0.005805,8e-05,0.032974,0.2,80.0,80.0,16.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,4200,0.691941,0.691941,0.001232,0.9375,-0.000483,0.000878,-0.008593,0.500604,9.9e-05,0.001232,0.011187,0.001715,0.010308,0.008531,0.000699,-0.000806,0.004002,0.226667,75.0,80.0,17.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,4500,0.692049,0.692049,0.000721,1.0,-0.00044,0.000925,-0.008705,0.50055,0.000121,0.000721,0.010791,0.00116,0.009866,0.037142,0.006477,0.001749,0.013846,0.65,80.0,80.0,52.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,4800,0.69254,0.69254,0.00379,0.9875,-0.000243,0.000639,-0.01711,0.500304,9.9e-05,0.00379,0.021782,0.004033,0.021143,0.01103,0.000944,-3.4e-05,0.002619,0.227848,79.0,80.0,18.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,5100,0.693004,0.693004,0.000813,1.0,-5.7e-05,-4.8e-05,-0.000648,0.500071,-2.6e-05,0.000813,0.00147,0.00087,0.001518,0.040114,0.004305,0.000188,0.01073,0.4125,80.0,80.0,33.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,5400,0.691259,0.691259,0.022828,1.0,-0.000756,0.001728,-0.096831,0.500945,0.000243,0.022828,0.122143,0.023584,0.120415,0.023096,0.001246,0.000159,0.005918,0.225,80.0,80.0,18.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,5700,0.693069,0.693069,0.000188,1.0,-3.1e-05,-6e-06,-0.000683,0.500039,-9e-06,0.000188,0.000896,0.000219,0.000902,0.013283,0.001156,9.6e-05,0.003685,0.3125,80.0,80.0,25.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,6000,0.692917,0.692917,0.001121,0.975,-9.2e-05,0.00016,-0.005641,0.500115,1.7e-05,0.001121,0.007014,0.001214,0.006854,0.012864,0.001361,-0.000173,0.005412,0.615385,78.0,80.0,48.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,6300,0.686193,0.686193,0.007905,0.9875,-0.002792,0.001523,-0.028327,0.50349,-0.000317,0.007905,0.040547,0.010697,0.039024,0.019477,0.003629,-0.00048,0.016245,0.620253,79.0,80.0,49.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,6600,0.692752,0.692752,0.000602,1.0,-0.000158,-3.2e-05,-0.000374,0.500197,-4.8e-05,0.000602,0.001101,0.00076,0.001134,0.023948,0.003035,0.00031,0.008728,0.375,80.0,80.0,30.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,6900,0.691065,0.691065,0.027944,1.0,-0.000834,0.00103,-0.069243,0.501042,4.9e-05,0.027944,0.09905,0.028778,0.09802,0.025915,0.003456,0.0003,0.009621,0.575,80.0,80.0,46.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,7200,0.692966,0.692966,0.001268,0.9875,-7.2e-05,-1.6e-05,-0.00175,0.50009,-2.2e-05,0.001268,0.003074,0.00134,0.00309,0.071954,0.007609,-4.3e-05,0.015739,0.822785,79.0,80.0,65.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,7500,0.692755,0.692755,0.002488,1.0,-0.000157,0.000123,-0.010558,0.500196,-9e-06,0.002488,0.013325,0.002645,0.013203,0.008358,0.000714,1.5e-05,0.002984,0.3,80.0,80.0,24.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,7800,0.691582,0.691582,0.013543,1.0,-0.000627,-0.000282,-0.01074,0.500783,-0.000227,0.013543,0.024628,0.01417,0.02491,0.009349,0.001612,5.7e-05,0.005047,0.075,80.0,80.0,6.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,8100,0.693014,0.693014,0.000409,1.0,-5.3e-05,0.000116,-0.003139,0.500066,1.6e-05,0.000409,0.003717,0.000462,0.003601,0.035933,0.005861,0.000158,0.019512,0.6625,80.0,80.0,53.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,8400,0.692454,0.692454,0.002674,1.0,-0.000277,0.000669,-0.007832,0.500347,9.8e-05,0.002674,0.011453,0.002952,0.010784,0.023517,0.002685,0.000411,0.00777,0.8,80.0,80.0,64.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,8700,0.692219,0.692219,0.003264,1.0,-0.000371,0.000563,-0.009258,0.500464,4.8e-05,0.003264,0.013456,0.003635,0.012893,0.005811,0.000655,3.7e-05,0.002945,0.2375,80.0,80.0,19.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,9000,0.690163,0.690163,0.045674,1.0,-0.001196,0.003091,-0.186413,0.501495,0.000474,0.045674,0.236374,0.04687,0.233283,0.032211,0.00324,0.00054,0.00998,0.6,80.0,80.0,48.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,9300,0.691638,0.691638,0.010575,1.0,-0.000604,0.00087,-0.043149,0.500755,6.6e-05,0.010575,0.055198,0.011179,0.054328,0.033568,0.007666,0.001118,0.022801,0.5625,80.0,80.0,45.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,9600,0.69285,0.69285,0.001239,1.0,-0.000119,0.000444,-0.005584,0.500149,8.1e-05,0.001239,0.007387,0.001358,0.006943,0.130018,0.017046,0.000413,0.037512,1.0,80.0,80.0,80.0,,,,,,,,,,,,,,,,,
DiffDPO_no_lose_gap,9900,0.689204,0.689204,0.005808,1.0,-0.001581,0.003557,-0.023832,0.501976,0.000494,0.005808,0.034778,0.007389,0.031221,0.018704,0.001969,0.000156,0.012708,0.3125,80.0,80.0,25.0,,,,,,,,,,,,,,,,,
VideoDPO_open_source,0,0.698669,0.698669,,0.546875,-1e-05,1.2e-05,-0.013376,0.514275,0.0,0.013123,0.026521,0.013134,0.02651,,0.005522,-1.470088,1.308317,0.6,,,,0.0,global_step,0.698669,0.698669,1.0,,,,,,,,,,,,
VideoDPO_open_source,1,0.820536,0.820536,,0.53125,-6.2e-05,-4.8e-05,0.056996,0.498881,-2.7e-05,0.094729,0.037748,0.094791,0.037795,,0.079161,-3.803447,3.896281,0.485294,,,,1.0,global_step,0.820536,0.820536,1.0,,,,,,,,,,,,
VideoDPO_open_source,2,0.556747,0.556747,,0.625,-2.8e-05,0.000131,-0.028758,0.588864,2.6e-05,0.010897,0.039814,0.010925,0.039683,,0.19683,-0.954317,2.389392,0.875,,,,2.0,global_step,0.556747,0.556747,1.0,,,,,,,,,,,,
VideoDPO_open_source,3,0.721143,0.721143,,0.570312,7.9e-05,0.00012,0.002803,0.520767,5e-05,0.031505,0.028743,0.031426,0.028623,,0.108044,-2.377187,2.092253,0.684932,,,,3.0,global_step,0.721143,0.721143,1.0,,,,,,,,,,,,
VideoDPO_open_source,4,0.717748,0.717748,,0.515625,3e-05,0.000269,-0.115999,0.584229,7.5e-05,0.029571,0.145809,0.029541,0.14554,,0.346118,-3.308803,5.512238,0.954545,,,,4.0,global_step,0.717748,0.717748,1.0,,,,,,,,,,,,
VideoDPO_open_source,5,0.7096,0.7096,,0.46875,9e-06,0.000198,0.104758,0.582641,5.2e-05,0.179638,0.075069,0.179629,0.074871,,-0.275767,-8.375049,6.740689,0.533333,,,,5.0,global_step,0.7096,0.7096,1.0,,,,,,,,,,,,
VideoDPO_open_source,6,0.697341,0.697341,,0.617188,7e-05,0.000249,0.014964,0.585552,8e-05,0.088252,0.073467,0.088182,0.073218,,0.29469,-4.726052,4.105903,0.721519,,,,6.0,global_step,0.697341,0.697341,1.0,,,,,,,,,,,,
VideoDPO_open_source,7,0.970192,0.970192,,0.460938,5.5e-05,-4.4e-05,0.09528,0.455136,3e-06,0.097137,0.001759,0.097083,0.001803,,-0.099038,-3.433488,4.013032,0.016949,,,,7.0,global_step,0.970192,0.970192,1.0,,,,,,,,,,,,
VideoDPO_open_source,8,0.69548,0.69548,,0.664062,-2.8e-05,0.000148,0.088207,0.587127,3e-05,0.125252,0.037221,0.12528,0.037073,,0.41455,-3.268402,4.159212,0.517647,,,,8.0,global_step,0.69548,0.69548,1.0,,,,,,,,,,,,
VideoDPO_open_source,9,0.710937,0.710937,,0.640625,0.000184,0.000263,-0.014895,0.541036,0.000112,0.041027,0.056001,0.040843,0.055738,,0.303555,-2.482487,3.469363,0.902439,,,,9.0,global_step,0.710937,0.710937,1.0,,,,,,,,,,,,
VideoDPO_open_source,10,0.910674,0.910674,,0.226562,8.8e-05,-5e-05,0.005872,0.418786,1e-05,0.014377,0.008367,0.014289,0.008417,,-0.263434,-1.548626,1.21641,0.655172,,,,10.0,global_step,0.910674,0.910674,1.0,,,,,,,,,,,,
VideoDPO_open_source,11,0.906686,0.906686,,0.765625,-8.2e-05,4e-06,-0.069095,0.569529,-2e-05,0.011163,0.080345,0.011245,0.08034,,0.698476,-13.20878,10.775617,0.846939,,,,11.0,global_step,0.906686,0.906686,1.0,,,,,,,,,,,,
VideoDPO_open_source,12,0.561647,0.561647,,0.632812,-5.8e-05,0.000123,-0.00618,0.596598,1.6e-05,0.022105,0.028465,0.022163,0.028343,,0.297729,-1.481622,2.889819,0.691358,,,,12.0,global_step,0.561647,0.561647,1.0,,,,,,,,,,,,
VideoDPO_open_source,13,0.333611,0.333611,,0.890625,-0.000917,0.00037,0.361481,0.823549,-0.000137,0.385665,0.025471,0.386582,0.025102,,3.355542,-2.816543,9.862706,0.254386,,,,13.0,global_step,0.333611,0.333611,1.0,,,,,,,,,,,,
VideoDPO_open_source,14,0.62824,0.62824,,0.5,-1.4e-05,7.7e-05,-0.014046,0.551605,1.6e-05,0.007532,0.021668,0.007545,0.021591,,0.184401,-2.043731,4.065982,0.828125,,,,14.0,global_step,0.62824,0.62824,1.0,,,,,,,,,,,,
VideoDPO_open_source,15,0.599066,0.599066,,0.742188,-4.8e-05,0.000467,0.08268,0.672464,0.000105,0.163431,0.081265,0.163479,0.080799,,1.258537,-3.541522,9.012576,0.631579,,,,15.0,global_step,0.599066,0.599066,1.0,,,,,,,,,,,,
VideoDPO_open_source,16,1.140504,1.140504,,0.25,0.000182,4e-06,0.106901,0.409179,4.6e-05,0.108944,0.001866,0.108763,0.001862,,-0.634285,-3.719926,2.963189,0.03125,,,,16.0,global_step,1.140504,1.140504,1.0,,,,,,,,,,,,
VideoDPO_open_source,17,0.590064,0.590064,,0.703125,-8.3e-05,0.00017,0.075301,0.617328,2.2e-05,0.088682,0.013634,0.088765,0.013464,,0.740198,-5.439594,6.035641,0.4,,,,17.0,global_step,0.590064,0.590064,1.0,,,,,,,,,,,,
VideoDPO_open_source,18,0.726632,0.726632,,0.539062,9.7e-05,0.000277,0.028433,0.580973,9.3e-05,0.090165,0.061912,0.090069,0.061635,,0.03544,-2.899086,3.698543,0.855072,,,,18.0,global_step,0.726632,0.726632,1.0,,,,,,,,,,,,
VideoDPO_open_source,19,0.678045,0.678045,,0.546875,-7e-06,1.1e-05,-0.000993,0.511334,1e-06,0.001941,0.002953,0.001948,0.002942,,0.044459,-0.831729,0.748182,0.5,,,,19.0,global_step,0.678045,0.678045,1.0,,,,,,,,,,,,
VideoDPO_open_source,20,0.458369,0.458369,,0.742188,-0.000335,0.000176,0.093776,0.702229,-4e-05,0.125722,0.032457,0.126057,0.032281,,0.816793,-2.943073,5.465187,0.442105,,,,20.0,global_step,0.458369,0.458369,1.0,,,,,,,,,,,,
VideoDPO_open_source,21,0.702166,0.702166,,0.570312,5.5e-05,9.4e-05,-0.010604,0.511797,3.7e-05,0.002477,0.01312,0.002422,0.013026,,0.131124,-1.167043,4.910729,0.890411,,,,21.0,global_step,0.702166,0.702166,1.0,,,,,,,,,,,,
VideoDPO_open_source,22,0.678541,0.678541,,0.515625,0.000288,0.000539,-0.115839,0.604299,0.000207,0.017228,0.133318,0.01694,0.132779,,0.232913,-3.067516,4.330799,0.939394,,,,22.0,global_step,0.678541,0.678541,1.0,,,,,,,,,,,,
VideoDPO_open_source,23,0.28411,0.28411,,0.898438,-0.001,0.000315,0.302468,0.822598,-0.000171,0.322203,0.021049,0.323202,0.020735,,3.900132,-2.016201,9.720251,0.104348,,,,23.0,global_step,0.28411,0.28411,1.0,,,,,,,,,,,,
VideoDPO_open_source,24,6.11202,6.11202,,0.078125,1.3e-05,-0.002377,-0.733253,0.096146,-0.000591,0.006877,0.737741,0.006864,0.740117,,-6.072136,-18.191635,3.173947,1.0,,,,24.0,global_step,6.11202,6.11202,1.0,,,,,,,,,,,,
VideoDPO_open_source,25,0.123358,0.123358,,0.882812,-0.001642,1e-05,0.216785,0.909486,-0.000408,0.218758,0.003627,0.220401,0.003616,,3.200232,-7.646121,10.927916,0.00885,,,,25.0,global_step,0.123358,0.123358,1.0,,,,,,,,,,,,
VideoDPO_open_source,26,0.337961,0.337961,,0.851562,2.6e-05,0.000482,-0.041907,0.73325,0.000127,0.001468,0.04383,0.001442,0.043348,,0.803122,-1.695566,3.221482,1.0,,,,26.0,global_step,0.337961,0.337961,1.0,,,,,,,,,,,,
VideoDPO_open_source,27,0.711711,0.711711,,0.617188,-0.000203,-1.8e-05,0.093704,0.58408,-5.5e-05,0.097421,0.003902,0.097624,0.00392,,0.426654,-3.746822,5.860366,0.037975,,,,27.0,global_step,0.711711,0.711711,1.0,,,,,,,,,,,,
VideoDPO_open_source,28,0.754472,0.754472,,0.460938,4.6e-05,1.3e-05,-0.004742,0.480813,1.5e-05,0.003267,0.007976,0.00322,0.007963,,-0.017086,-1.24776,1.929981,0.949153,,,,28.0,global_step,0.754472,0.754472,1.0,,,,,,,,,,,,
VideoDPO_open_source,29,0.642857,0.642857,,0.632812,0.000211,0.000341,0.00226,0.563129,0.000138,0.019816,0.017687,0.019606,0.017346,,0.278047,-2.02233,3.126897,0.851852,,,,29.0,global_step,0.642857,0.642857,1.0,,,,,,,,,,,,
VideoDPO_open_source,30,1.276865,1.276865,,0.40625,0.000353,0.000129,0.106625,0.403622,0.00012,0.115687,0.008838,0.115334,0.008709,,-0.375763,-4.851371,3.636293,0.192308,,,,30.0,global_step,1.276865,1.276865,1.0,,,,,,,,,,,,
