experiment,global_step,step,step_source,implicit_acc,inside_term_mean,inside_term_min,inside_term_max,loser_dominant_ratio,dpo_loss,total_loss,factor,mse_w,ref_mse_w,mse_l,ref_mse_l,win_gap,lose_gap,reward_margin,sigma_term,kl_divergence,l_dpo,l_total
VideoDPO_open_source,22,22,global_step,0.515625,0.232913,-3.067516,4.330799,0.939394,0.678541,0.678541,1.0,0.017228,0.01694,0.133318,0.132779,0.000288,0.000539,-0.115839,0.604299,0.000207,0.678541,0.678541
VideoDPO_open_source,23,23,global_step,0.898438,3.900132,-2.016201,9.720251,0.104348,0.28411,0.28411,1.0,0.322203,0.323202,0.021049,0.020735,-0.001,0.000315,0.302468,0.822598,-0.000171,0.28411,0.28411
VideoDPO_open_source,24,24,global_step,0.078125,-6.072136,-18.191635,3.173947,1.0,6.11202,6.11202,1.0,0.006877,0.006864,0.737741,0.740117,1.3e-05,-0.002377,-0.733253,0.096146,-0.000591,6.11202,6.11202
VideoDPO_open_source,25,25,global_step,0.882812,3.200232,-7.646121,10.927916,0.00885,0.123358,0.123358,1.0,0.218758,0.220401,0.003627,0.003616,-0.001642,1e-05,0.216785,0.909486,-0.000408,0.123358,0.123358
VideoDPO_open_source,26,26,global_step,0.851562,0.803122,-1.695566,3.221482,1.0,0.337961,0.337961,1.0,0.001468,0.001442,0.04383,0.043348,2.6e-05,0.000482,-0.041907,0.73325,0.000127,0.337961,0.337961
VideoDPO_open_source,27,27,global_step,0.617188,0.426654,-3.746822,5.860366,0.037975,0.711711,0.711711,1.0,0.097421,0.097624,0.003902,0.00392,-0.000203,-1.8e-05,0.093704,0.58408,-5.5e-05,0.711711,0.711711
VideoDPO_open_source,28,28,global_step,0.460938,-0.017086,-1.24776,1.929981,0.949153,0.754472,0.754472,1.0,0.003267,0.00322,0.007976,0.007963,4.6e-05,1.3e-05,-0.004742,0.480813,1.5e-05,0.754472,0.754472
VideoDPO_open_source,29,29,global_step,0.632812,0.278047,-2.02233,3.126897,0.851852,0.642857,0.642857,1.0,0.019816,0.019606,0.017687,0.017346,0.000211,0.000341,0.00226,0.563129,0.000138,0.642857,0.642857
VideoDPO_open_source,30,30,global_step,0.40625,-0.375763,-4.851371,3.636293,0.192308,1.276865,1.276865,1.0,0.115687,0.115334,0.008838,0.008709,0.000353,0.000129,0.106625,0.403622,0.00012,1.276865,1.276865
VideoDPO_open_source,31,31,global_step,0.234375,-6.380488,-26.029646,9.860545,0.3,9.964766,9.964766,1.0,0.441375,0.437497,0.029446,0.029442,0.003878,4e-06,0.408055,0.116466,0.000971,9.964766,9.964766
VideoDPO_open_source,32,32,global_step,0.578125,0.151128,-2.248539,3.606761,0.77027,0.791383,0.791383,1.0,0.012782,0.012705,0.033969,0.033876,7.7e-05,9.3e-05,-0.021171,0.509246,4.2e-05,0.791383,0.791383
VideoDPO_open_source,33,33,global_step,0.773438,2.818449,-5.398541,11.789501,0.090909,0.345431,0.345431,1.0,0.351081,0.352869,0.005713,0.005716,-0.001788,-4e-06,0.347153,0.84654,-0.000448,0.345431,0.345431
VideoDPO_open_source,34,34,global_step,0.390625,-0.440195,-6.968007,7.808842,0.82,1.399363,1.399363,1.0,0.005175,0.005191,0.187478,0.187737,-1.5e-05,-0.000259,-0.182546,0.413976,-6.9e-05,1.399363,1.399363
VideoDPO_open_source,35,35,global_step,0.804688,0.450885,-8.787687,2.593976,0.912621,0.598831,0.598831,1.0,0.006541,0.00651,0.018887,0.018729,3.1e-05,0.000157,-0.012219,0.57292,4.7e-05,0.598831,0.598831
VideoDPO_open_source,36,36,global_step,0.78125,0.579854,-1.158137,3.333008,0.94,0.444762,0.444762,1.0,0.004643,0.004632,0.04138,0.041051,1.1e-05,0.00033,-0.036419,0.6643,8.5e-05,0.444762,0.444762
VideoDPO_open_source,37,37,global_step,0.054688,-0.828389,-3.783931,0.775906,0.571429,1.310875,1.310875,1.0,0.018189,0.01783,0.003963,0.003979,0.000359,-1.6e-05,0.013851,0.302384,8.6e-05,1.310875,1.310875
VideoDPO_open_source,38,38,global_step,0.71875,0.235865,-2.333424,2.559514,0.945652,0.647565,0.647565,1.0,0.001367,0.001343,0.013562,0.01344,2.4e-05,0.000122,-0.012097,0.564356,3.6e-05,0.647565,0.647565
VideoDPO_open_source,39,39,global_step,0.304688,-1.189485,-9.515323,6.519053,0.589744,1.352928,1.352928,1.0,0.073531,0.073507,0.102803,0.102753,2.3e-05,5e-05,-0.029246,0.479142,1.8e-05,1.352928,1.352928
VideoDPO_open_source,40,40,global_step,0.296875,-0.954006,-7.462976,4.817611,0.947368,1.59126,1.59126,1.0,0.039987,0.039196,0.035695,0.03538,0.000791,0.000314,0.003816,0.281737,0.000276,1.59126,1.59126
VideoDPO_open_source,41,41,global_step,0.359375,-0.580446,-5.141627,3.585052,0.782609,1.473699,1.473699,1.0,0.094475,0.09398,0.046156,0.04602,0.000496,0.000136,0.04796,0.348749,0.000158,1.473699,1.473699
VideoDPO_open_source,42,42,global_step,0.289062,-0.37932,-13.160058,2.775118,0.324324,1.243851,1.243851,1.0,0.020031,0.019743,0.003596,0.003603,0.000288,-7e-06,0.01614,0.374503,7e-05,1.243851,1.243851
VideoDPO_open_source,43,43,global_step,0.335938,-0.711609,-5.241279,3.774129,0.511628,1.554673,1.554673,1.0,0.048111,0.047699,0.01136,0.011374,0.000412,-1.4e-05,0.036325,0.333502,9.9e-05,1.554673,1.554673
VideoDPO_open_source,44,44,global_step,0.445312,-0.139248,-1.518051,0.896836,0.701754,0.748115,0.748115,1.0,0.007177,0.007106,0.00499,0.004946,7.1e-05,4.4e-05,0.00216,0.484823,2.9e-05,0.748115,0.748115
VideoDPO_open_source,45,45,global_step,0.304688,-0.567156,-4.783897,3.360734,0.230769,0.965877,0.965877,1.0,0.06968,0.069598,0.013392,0.013384,8.1e-05,8e-06,0.056214,0.465161,2.2e-05,0.965877,0.965877
VideoDPO_open_source,46,46,global_step,0.601562,0.302271,-3.829869,4.379675,0.766234,0.828747,0.828747,1.0,0.051857,0.051377,0.079717,0.079137,0.00048,0.00058,-0.02776,0.545611,0.000265,0.828747,0.828747
VideoDPO_open_source,47,47,global_step,0.460938,0.050122,-1.932839,4.691628,0.830508,0.654914,0.654914,1.0,0.007886,0.00781,0.014342,0.014188,7.6e-05,0.000154,-0.006378,0.54006,5.7e-05,0.654914,0.654914
VideoDPO_open_source,48,48,global_step,0.453125,-0.041153,-2.066885,0.782318,0.706897,0.769823,0.769823,1.0,0.003254,0.00322,0.004116,0.00413,3.4e-05,-1.3e-05,-0.000909,0.473328,5e-06,0.769823,0.769823
VideoDPO_open_source,49,49,global_step,0.585938,0.556996,-3.135894,5.846694,0.626667,0.73546,0.73546,1.0,0.044543,0.044358,0.055602,0.055285,0.000186,0.000316,-0.010928,0.553674,0.000126,0.73546,0.73546
VideoDPO_open_source,50,50,global_step,0.5,0.151575,-2.941433,3.608391,0.859375,0.637571,0.637571,1.0,0.038576,0.038391,0.037869,0.037506,0.000186,0.000363,0.000885,0.591497,0.000137,0.637571,0.637571
VideoDPO_open_source,51,51,global_step,0.328125,-0.854563,-4.729349,5.055107,0.857143,1.510159,1.510159,1.0,0.018017,0.017635,0.082617,0.082591,0.000382,2.7e-05,-0.064956,0.355168,0.000102,1.510159,1.510159
VideoDPO_open_source,52,52,global_step,0.507812,0.197713,-6.798394,6.679911,0.323077,1.046809,1.046809,1.0,0.163183,0.163216,0.107643,0.107577,-3.3e-05,6.7e-05,0.055639,0.530154,9e-06,1.046809,1.046809
VideoDPO_open_source,53,53,global_step,0.390625,-0.341707,-4.948024,2.052265,0.78,0.873451,0.873451,1.0,0.028899,0.028675,0.015026,0.014858,0.000225,0.000168,0.013817,0.477057,9.8e-05,0.873451,0.873451
VideoDPO_open_source,54,54,global_step,0.648438,0.593424,-4.654759,6.764233,0.518072,0.866018,0.866018,1.0,0.048654,0.048647,0.039279,0.039199,7e-06,8e-05,0.009448,0.553319,2.2e-05,0.866018,0.866018
VideoDPO_open_source,55,55,global_step,0.5,0.019947,-2.769576,3.433581,0.828125,0.809294,0.809294,1.0,0.011601,0.011514,0.059797,0.059676,8.7e-05,0.000121,-0.048162,0.512812,5.2e-05,0.809294,0.809294
VideoDPO_open_source,56,56,global_step,0.515625,0.079879,-2.29517,3.247466,1.0,0.719423,0.719423,1.0,0.001568,0.001534,0.05949,0.059351,3.4e-05,0.000139,-0.057817,0.552834,4.3e-05,0.719423,0.719423
VideoDPO_open_source,57,57,global_step,0.617188,1.026243,-11.358857,13.824627,0.202532,1.661213,1.661213,1.0,0.249201,0.249344,0.024868,0.024572,-0.000144,0.000296,0.224772,0.611698,3.8e-05,1.661213,1.661213
VideoDPO_open_source,58,58,global_step,0.351562,-0.727571,-7.722787,3.523175,0.888889,1.903536,1.903536,1.0,0.010074,0.010104,0.150747,0.151386,-2.9e-05,-0.00064,-0.141283,0.265644,-0.000167,1.903536,1.903536
VideoDPO_open_source,59,59,global_step,0.53125,0.235016,-6.127432,6.895158,0.338235,0.872736,0.872736,1.0,0.107924,0.108548,0.069898,0.070199,-0.000623,-0.000301,0.038349,0.608013,-0.000231,0.872736,0.872736
VideoDPO_open_source,60,60,global_step,0.484375,0.017911,-1.187436,1.777806,0.419355,0.765978,0.765978,1.0,0.007293,0.007258,0.004827,0.004832,3.5e-05,-5e-06,0.002426,0.476107,7e-06,0.765978,0.765978
VideoDPO_open_source,61,61,global_step,0.570312,0.350351,-4.981113,6.107464,0.520548,0.77986,0.77986,1.0,0.07976,0.079895,0.05831,0.05829,-0.000135,1.9e-05,0.021605,0.55573,-2.9e-05,0.77986,0.77986
VideoDPO_open_source,62,62,global_step,0.820312,0.71697,-1.322785,2.856404,0.904762,0.335886,0.335886,1.0,0.008456,0.008498,0.034976,0.034587,-4.2e-05,0.000389,-0.026089,0.725909,8.7e-05,0.335886,0.335886
VideoDPO_open_source,63,63,global_step,0.453125,-0.187959,-4.99323,2.182461,0.87931,0.844248,0.844248,1.0,0.02296,0.022748,0.023912,0.023726,0.000213,0.000187,-0.000978,0.488421,0.0001,0.844248,0.844248
VideoDPO_open_source,64,64,global_step,0.375,-0.35617,-6.326427,3.52026,0.208333,0.934265,0.934265,1.0,0.033207,0.033212,0.00486,0.004952,-5e-06,-9.2e-05,0.02826,0.46134,-2.4e-05,0.934265,0.934265
VideoDPO_open_source,65,65,global_step,0.390625,-0.493614,-10.715276,2.978314,0.22,1.083461,1.083461,1.0,0.064124,0.063909,0.002725,0.002715,0.000214,1e-05,0.061194,0.397205,5.6e-05,1.083461,1.083461
VideoDPO_open_source,66,66,global_step,0.3125,-0.322201,-2.929557,2.50224,0.15,0.776636,0.776636,1.0,0.016565,0.016579,0.003679,0.003695,-1.4e-05,-1.6e-05,0.012884,0.496296,-8e-06,0.776636,0.776636
VideoDPO_open_source,67,67,global_step,0.757812,1.645883,-3.367811,24.904869,0.350515,0.614976,0.614976,1.0,0.076772,0.076747,0.024901,0.024509,2.6e-05,0.000392,0.052238,0.645031,0.000104,0.614976,0.614976
VideoDPO_open_source,68,68,global_step,0.570312,0.12773,-5.098488,5.135145,1.0,0.987967,0.987967,1.0,0.003446,0.00339,0.078839,0.078752,5.6e-05,8.7e-05,-0.075362,0.524513,3.6e-05,0.987967,0.987967
VideoDPO_open_source,69,69,global_step,0.359375,-0.8303,-5.557872,4.174002,0.913043,1.425943,1.425943,1.0,0.055928,0.055632,0.1524,0.15231,0.000296,9.1e-05,-0.096678,0.42418,9.7e-05,1.425943,1.425943
VideoDPO_open_source,70,70,global_step,0.429688,-0.304286,-3.18558,2.003964,0.236364,0.967818,0.967818,1.0,0.035511,0.035373,0.001417,0.001399,0.000138,1.7e-05,0.033974,0.447942,3.9e-05,0.967818,0.967818
VideoDPO_open_source,71,71,global_step,0.5,-0.116991,-3.53599,3.673737,0.609375,0.730725,0.730725,1.0,0.023614,0.023486,0.009543,0.009332,0.000128,0.000211,0.014154,0.532797,8.5e-05,0.730725,0.730725
VideoDPO_open_source,72,72,global_step,0.359375,-0.461726,-6.285002,2.679154,0.630435,1.031508,1.031508,1.0,0.062973,0.062693,0.014268,0.01414,0.00028,0.000128,0.048553,0.42125,0.000102,1.031508,1.031508
VideoDPO_open_source,73,73,global_step,0.523438,0.002319,-2.164156,2.477583,0.80597,0.881846,0.881846,1.0,0.038703,0.038403,0.027542,0.027313,0.0003,0.000229,0.01109,0.462218,0.000132,0.881846,0.881846
VideoDPO_open_source,74,74,global_step,0.429688,-0.282528,-22.792677,4.168516,0.545455,1.415216,1.415216,1.0,0.060579,0.060335,0.015876,0.015904,0.000245,-2.8e-05,0.044431,0.426427,5.4e-05,1.415216,1.415216
VideoDPO_open_source,75,75,global_step,0.71875,1.370299,-5.090758,7.768236,0.293478,0.489027,0.489027,1.0,0.252787,0.253531,0.023809,0.023748,-0.000744,6e-05,0.229783,0.753707,-0.000171,0.489027,0.489027
VideoDPO_open_source,76,76,global_step,0.289062,-0.372941,-3.362503,4.365947,0.324324,0.911276,0.911276,1.0,0.039407,0.039267,0.006366,0.006309,0.00014,5.7e-05,0.032958,0.448076,4.9e-05,0.911276,0.911276
VideoDPO_open_source,77,77,global_step,0.5,0.172736,-1.107575,2.944237,0.953125,0.680816,0.680816,1.0,0.002746,0.002705,0.012425,0.012337,4.1e-05,8.9e-05,-0.009631,0.520751,3.2e-05,0.680816,0.680816
VideoDPO_open_source,78,78,global_step,0.375,-0.029042,-0.653396,0.653603,0.895833,0.737502,0.737502,1.0,0.002702,0.002642,0.003105,0.003079,5.9e-05,2.6e-05,-0.000436,0.479615,2.1e-05,0.737502,0.737502
VideoDPO_open_source,79,79,global_step,0.703125,0.635329,-2.019573,7.792302,0.433333,0.617383,0.617383,1.0,0.132999,0.133294,0.018078,0.018053,-0.000295,2.4e-05,0.115241,0.605836,-6.8e-05,0.617383,0.617383
VideoDPO_open_source,80,80,global_step,0.6875,0.19168,-1.579402,1.633762,0.840909,0.569605,0.569605,1.0,0.004698,0.004634,0.004015,0.003829,6.4e-05,0.000187,0.000805,0.572888,6.3e-05,0.569605,0.569605
VideoDPO_open_source,81,81,global_step,0.585938,0.2285,-3.363099,4.644524,0.613333,0.727968,0.727968,1.0,0.058217,0.058212,0.011708,0.011531,5e-06,0.000176,0.04668,0.577387,4.5e-05,0.727968,0.727968
VideoDPO_open_source,82,82,global_step,0.289062,-1.264468,-8.913614,4.956536,0.594595,2.259836,2.259836,1.0,0.027093,0.02695,0.153686,0.154281,0.000143,-0.000595,-0.127331,0.259322,-0.000113,2.259836,2.259836
VideoDPO_open_source,83,83,global_step,0.671875,0.307155,-5.497478,1.740425,0.976744,0.416056,0.416056,1.0,0.004126,0.004089,0.011603,0.01127,3.8e-05,0.000333,-0.007182,0.668062,9.3e-05,0.416056,0.416056
VideoDPO_open_source,84,84,global_step,0.265625,-1.023034,-5.160011,6.170813,0.852941,1.529964,1.529964,1.0,0.01488,0.014718,0.096949,0.097163,0.000162,-0.000214,-0.082445,0.343693,-1.3e-05,1.529964,1.529964
VideoDPO_open_source,85,85,global_step,0.796875,2.329139,-3.682524,9.11057,0.147059,0.277572,0.277572,1.0,0.194073,0.19494,0.016986,0.016738,-0.000867,0.000248,0.178202,0.824754,-0.000155,0.277572,0.277572
VideoDPO_open_source,86,86,global_step,0.515625,-0.04587,-3.48713,1.597151,0.727273,0.824953,0.824953,1.0,0.013549,0.013365,0.008476,0.008326,0.000184,0.00015,0.005039,0.487405,8.4e-05,0.824953,0.824953
VideoDPO_open_source,87,87,global_step,0.40625,-0.088673,-3.838195,4.116711,0.75,1.094779,1.094779,1.0,0.018694,0.018535,0.020022,0.020056,0.000159,-3.4e-05,-0.00152,0.397262,3.1e-05,1.094779,1.094779
VideoDPO_open_source,88,88,global_step,0.6875,0.489322,-3.366424,5.321233,0.147727,0.885296,0.885296,1.0,0.110778,0.110831,0.004014,0.004006,-5.3e-05,8e-06,0.106825,0.533437,-1.1e-05,0.885296,0.885296
VideoDPO_open_source,89,89,global_step,0.171875,-3.356857,-15.344397,6.300211,0.818182,2.501318,2.501318,1.0,0.083125,0.082789,0.28706,0.287427,0.000336,-0.000367,-0.204639,0.318575,-8e-06,2.501318,2.501318
VideoDPO_open_source,90,90,global_step,0.445312,0.024272,-5.961042,2.830843,0.736842,0.94717,0.94717,1.0,0.026954,0.026743,0.036308,0.03618,0.000211,0.000127,-0.009437,0.44865,8.5e-05,0.94717,0.94717
VideoDPO_open_source,91,91,global_step,0.59375,0.549633,-5.373507,6.944183,0.236842,0.658369,0.658369,1.0,0.096657,0.0971,0.027631,0.027674,-0.000443,-4.3e-05,0.069425,0.641588,-0.000121,0.658369,0.658369
VideoDPO_open_source,92,92,global_step,0.640625,0.103758,-1.522839,3.18819,0.865854,0.667083,0.667083,1.0,0.007987,0.007895,0.005957,0.005826,9.1e-05,0.00013,0.002069,0.525114,5.5e-05,0.667083,0.667083
VideoDPO_open_source,93,93,global_step,0.507812,0.155779,-2.727103,5.793944,0.492308,0.856812,0.856812,1.0,0.028989,0.028879,0.007691,0.007577,0.00011,0.000114,0.021302,0.485042,5.6e-05,0.856812,0.856812
VideoDPO_open_source,94,94,global_step,0.601562,0.227076,-1.418495,3.816765,0.844156,0.495725,0.495725,1.0,0.01028,0.010287,0.004234,0.004004,-7e-06,0.00023,0.006283,0.627994,5.6e-05,0.495725,0.495725
VideoDPO_open_source,95,95,global_step,0.492188,0.022806,-3.938246,3.796741,0.984127,0.767849,0.767849,1.0,0.004996,0.004923,0.078153,0.077994,7.4e-05,0.000159,-0.073071,0.539564,5.8e-05,0.767849,0.767849
VideoDPO_open_source,96,96,global_step,0.507812,0.043011,-1.134416,1.423079,0.953846,0.627937,0.627937,1.0,0.003697,0.003637,0.008804,0.008672,5.9e-05,0.000132,-0.005035,0.542921,4.8e-05,0.627937,0.627937
VideoDPO_open_source,97,97,global_step,0.734375,0.186216,-0.681898,1.490868,0.851064,0.670462,0.670462,1.0,0.005233,0.005208,0.002042,0.001993,2.5e-05,4.9e-05,0.003215,0.514444,1.8e-05,0.670462,0.670462
VideoDPO_open_source,98,98,global_step,0.640625,0.203193,-1.494288,2.544662,1.0,0.620482,0.620482,1.0,0.001346,0.001275,0.014767,0.014617,7.1e-05,0.00015,-0.013341,0.547393,5.5e-05,0.620482,0.620482
VideoDPO_open_source,99,99,global_step,0.625,0.208626,-1.125779,2.383309,0.9375,0.734629,0.734629,1.0,0.003727,0.003642,0.005483,0.005415,8.6e-05,6.8e-05,-0.001774,0.489149,3.8e-05,0.734629,0.734629
VideoDPO_open_source,100,100,global_step,0.328125,-0.096269,-0.997819,1.558904,0.928571,0.764845,0.764845,1.0,0.005122,0.005037,0.003122,0.003083,8.5e-05,3.9e-05,0.001954,0.471487,3.1e-05,0.764845,0.764845
VideoDPO_open_source,101,101,global_step,0.289062,-0.862059,-5.089324,3.640018,0.486486,1.645337,1.645337,1.0,0.061997,0.061975,0.132693,0.133065,2.2e-05,-0.000372,-0.07109,0.353975,-8.8e-05,1.645337,1.645337
VideoDPO_open_source,102,102,global_step,0.375,-0.541404,-4.884247,4.176535,1.0,1.392986,1.392986,1.0,0.003958,0.003825,0.098983,0.099166,0.000133,-0.000183,-0.095341,0.373784,-1.2e-05,1.392986,1.392986
VideoDPO_open_source,103,103,global_step,0.515625,0.259533,-3.306698,6.004796,0.80303,0.808822,0.808822,1.0,0.017529,0.017444,0.026852,0.026768,8.4e-05,8.4e-05,-0.009324,0.492584,4.2e-05,0.808822,0.808822
VideoDPO_open_source,104,104,global_step,0.257812,-0.894739,-4.031006,2.997806,0.363636,1.077484,1.077484,1.0,0.057153,0.056955,0.001083,0.001058,0.000199,2.5e-05,0.055897,0.41141,5.6e-05,1.077484,1.077484
VideoDPO_open_source,105,105,global_step,0.460938,-0.120259,-4.614368,3.680578,0.983051,0.77778,0.77778,1.0,0.006206,0.006117,0.064716,0.064523,8.9e-05,0.000193,-0.058406,0.54558,7e-05,0.77778,0.77778
VideoDPO_open_source,106,106,global_step,0.484375,-0.18529,-13.891161,8.890033,0.096774,2.759618,2.759618,1.0,0.56088,0.560174,0.032422,0.032382,0.000706,4e-05,0.527792,0.362945,0.000187,2.759618,2.759618
VideoDPO_open_source,107,107,global_step,0.453125,-0.246201,-7.701442,5.68036,0.482759,0.872428,0.872428,1.0,0.101537,0.101798,0.085058,0.085222,-0.00026,-0.000164,0.016575,0.52772,-0.000106,0.872428,0.872428
VideoDPO_open_source,108,108,global_step,0.601562,0.309218,-3.764406,3.713183,0.948052,0.701889,0.701889,1.0,0.008941,0.008815,0.052626,0.052342,0.000127,0.000284,-0.043528,0.569465,0.000103,0.701889,0.701889
VideoDPO_open_source,109,109,global_step,0.570312,0.444012,-5.41402,12.388527,0.232877,0.941577,0.941577,1.0,0.083487,0.083514,0.01579,0.015661,-2.7e-05,0.000129,0.067853,0.53942,2.6e-05,0.941577,0.941577
VideoDPO_open_source,110,110,global_step,0.546875,0.211459,-3.978442,4.483238,0.442857,0.811821,0.811821,1.0,0.066588,0.066577,0.0129,0.012819,1.1e-05,8.1e-05,0.053758,0.536342,2.3e-05,0.811821,0.811821
VideoDPO_open_source,111,111,global_step,0.484375,-0.028963,-0.984375,0.685557,0.870968,0.710034,0.710034,1.0,0.003863,0.003806,0.003329,0.003273,5.8e-05,5.6e-05,0.000533,0.499715,2.8e-05,0.710034,0.710034
VideoDPO_open_source,112,112,global_step,0.0,-14.494381,-37.630798,-1.641661,0.0,15.674957,15.674957,1.0,0.778665,0.772299,0.01006,0.009962,0.006367,9.8e-05,0.762337,0.003984,0.001616,15.674957,15.674957
VideoDPO_open_source,113,113,global_step,0.601562,0.487861,-6.970577,5.57689,0.467532,1.000036,1.000036,1.0,0.116744,0.116617,0.02129,0.021122,0.000127,0.000168,0.095495,0.523091,7.4e-05,1.000036,1.000036
VideoDPO_open_source,114,114,global_step,0.46875,-0.169679,-6.848742,5.668253,0.75,0.848086,0.848086,1.0,0.03456,0.034547,0.046452,0.046238,1.3e-05,0.000214,-0.01169,0.565273,5.7e-05,0.848086,0.848086
VideoDPO_open_source,115,115,global_step,0.742188,1.484609,-4.632864,8.045416,0.4,0.81397,0.81397,1.0,0.047313,0.047297,0.045447,0.045195,1.6e-05,0.000252,0.002102,0.591019,6.7e-05,0.81397,0.81397
