experiment,step,l_total,l_dpo,l_sft,implicit_acc,win_gap,lose_gap,reward_margin,sigma_term,kl_divergence,mse_w,mse_l,ref_mse_w,ref_mse_l,dgr_grad_norm,inside_term_mean,inside_term_min,inside_term_max,loser_dominant_ratio,correct,samples,loser_dominant_count
DiffDPO_no_lose_gap,3000,0.691131,0.691131,0.018503,0.9875,-0.000807,0.000748,-0.081191,0.501009,-1.5e-05,0.018503,0.10125,0.019311,0.100502,0.014568,0.001167,-3.4e-05,0.005731,0.202532,79,80,16
DiffDPO_no_lose_gap,3300,0.692883,0.692883,0.002085,0.975,-0.000106,9.2e-05,-0.000449,0.500132,-3e-06,0.002085,0.002732,0.002191,0.00264,0.008002,0.000341,-0.000826,0.001479,0.089744,78,80,7
DiffDPO_no_lose_gap,3600,0.693067,0.693067,0.000178,1.0,-3.2e-05,-2.7e-05,-0.000675,0.50004,-1.5e-05,0.000178,0.000858,0.00021,0.000885,0.066879,0.010093,0.000125,0.036391,0.8,80,80,64
DiffDPO_no_lose_gap,3900,0.679203,0.679203,0.15972,1.0,-0.005617,0.013199,-0.694494,0.507021,0.001895,0.15972,0.87303,0.165337,0.859831,0.102936,0.005805,8e-05,0.032974,0.2,80,80,16
DiffDPO_no_lose_gap,4200,0.691941,0.691941,0.001232,0.9375,-0.000483,0.000878,-0.008593,0.500604,9.9e-05,0.001232,0.011187,0.001715,0.010308,0.008531,0.000699,-0.000806,0.004002,0.226667,75,80,17
DiffDPO_no_lose_gap,4500,0.692049,0.692049,0.000721,1.0,-0.00044,0.000925,-0.008705,0.50055,0.000121,0.000721,0.010791,0.00116,0.009866,0.037142,0.006477,0.001749,0.013846,0.65,80,80,52
DiffDPO_no_lose_gap,4800,0.69254,0.69254,0.00379,0.9875,-0.000243,0.000639,-0.01711,0.500304,9.9e-05,0.00379,0.021782,0.004033,0.021143,0.01103,0.000944,-3.4e-05,0.002619,0.227848,79,80,18
DiffDPO_no_lose_gap,5100,0.693004,0.693004,0.000813,1.0,-5.7e-05,-4.8e-05,-0.000648,0.500071,-2.6e-05,0.000813,0.00147,0.00087,0.001518,0.040114,0.004305,0.000188,0.01073,0.4125,80,80,33
DiffDPO_no_lose_gap,5400,0.691259,0.691259,0.022828,1.0,-0.000756,0.001728,-0.096831,0.500945,0.000243,0.022828,0.122143,0.023584,0.120415,0.023096,0.001246,0.000159,0.005918,0.225,80,80,18
DiffDPO_no_lose_gap,5700,0.693069,0.693069,0.000188,1.0,-3.1e-05,-6e-06,-0.000683,0.500039,-9e-06,0.000188,0.000896,0.000219,0.000902,0.013283,0.001156,9.6e-05,0.003685,0.3125,80,80,25
DiffDPO_no_lose_gap,6000,0.692917,0.692917,0.001121,0.975,-9.2e-05,0.00016,-0.005641,0.500115,1.7e-05,0.001121,0.007014,0.001214,0.006854,0.012864,0.001361,-0.000173,0.005412,0.615385,78,80,48
DiffDPO_no_lose_gap,6300,0.686193,0.686193,0.007905,0.9875,-0.002792,0.001523,-0.028327,0.50349,-0.000317,0.007905,0.040547,0.010697,0.039024,0.019477,0.003629,-0.00048,0.016245,0.620253,79,80,49
DiffDPO_no_lose_gap,6600,0.692752,0.692752,0.000602,1.0,-0.000158,-3.2e-05,-0.000374,0.500197,-4.8e-05,0.000602,0.001101,0.00076,0.001134,0.023948,0.003035,0.00031,0.008728,0.375,80,80,30
DiffDPO_no_lose_gap,6900,0.691065,0.691065,0.027944,1.0,-0.000834,0.00103,-0.069243,0.501042,4.9e-05,0.027944,0.09905,0.028778,0.09802,0.025915,0.003456,0.0003,0.009621,0.575,80,80,46
DiffDPO_no_lose_gap,7200,0.692966,0.692966,0.001268,0.9875,-7.2e-05,-1.6e-05,-0.00175,0.50009,-2.2e-05,0.001268,0.003074,0.00134,0.00309,0.071954,0.007609,-4.3e-05,0.015739,0.822785,79,80,65
DiffDPO_no_lose_gap,7500,0.692755,0.692755,0.002488,1.0,-0.000157,0.000123,-0.010558,0.500196,-9e-06,0.002488,0.013325,0.002645,0.013203,0.008358,0.000714,1.5e-05,0.002984,0.3,80,80,24
DiffDPO_no_lose_gap,7800,0.691582,0.691582,0.013543,1.0,-0.000627,-0.000282,-0.01074,0.500783,-0.000227,0.013543,0.024628,0.01417,0.02491,0.009349,0.001612,5.7e-05,0.005047,0.075,80,80,6
DiffDPO_no_lose_gap,8100,0.693014,0.693014,0.000409,1.0,-5.3e-05,0.000116,-0.003139,0.500066,1.6e-05,0.000409,0.003717,0.000462,0.003601,0.035933,0.005861,0.000158,0.019512,0.6625,80,80,53
DiffDPO_no_lose_gap,8400,0.692454,0.692454,0.002674,1.0,-0.000277,0.000669,-0.007832,0.500347,9.8e-05,0.002674,0.011453,0.002952,0.010784,0.023517,0.002685,0.000411,0.00777,0.8,80,80,64
DiffDPO_no_lose_gap,8700,0.692219,0.692219,0.003264,1.0,-0.000371,0.000563,-0.009258,0.500464,4.8e-05,0.003264,0.013456,0.003635,0.012893,0.005811,0.000655,3.7e-05,0.002945,0.2375,80,80,19
DiffDPO_no_lose_gap,9000,0.690163,0.690163,0.045674,1.0,-0.001196,0.003091,-0.186413,0.501495,0.000474,0.045674,0.236374,0.04687,0.233283,0.032211,0.00324,0.00054,0.00998,0.6,80,80,48
DiffDPO_no_lose_gap,9300,0.691638,0.691638,0.010575,1.0,-0.000604,0.00087,-0.043149,0.500755,6.6e-05,0.010575,0.055198,0.011179,0.054328,0.033568,0.007666,0.001118,0.022801,0.5625,80,80,45
DiffDPO_no_lose_gap,9600,0.69285,0.69285,0.001239,1.0,-0.000119,0.000444,-0.005584,0.500149,8.1e-05,0.001239,0.007387,0.001358,0.006943,0.130018,0.017046,0.000413,0.037512,1.0,80,80,80
DiffDPO_no_lose_gap,9900,0.689204,0.689204,0.005808,1.0,-0.001581,0.003557,-0.023832,0.501976,0.000494,0.005808,0.034778,0.007389,0.031221,0.018704,0.001969,0.000156,0.012708,0.3125,80,80,25
