sample_id,status,source_video_path,original_frame_count,fps,width,height,frame_count,error
vp2_gate64_011_REAL_ENV013_00001_005_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV013_00001_005_01.mp4,240,30.0,1280,720,49,
vp2_gate64_012_BLENDER_BEACH028_00003,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_BEACH028_00003.mp4,240,24.0,1920,1080,49,
vp2_gate64_013_REAL_ENV280_00103_004_05,FAILED,,,,,,0,RuntimeError('decoded duplicate frame images for /home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV280_00103_004_05.mp4')
vp2_gate64_014_BLENDER_WAREHOUSE037_00002,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_WAREHOUSE037_00002.mp4,240,24.0,1920,1080,49,
vp2_gate64_015_REAL_ENV279_00115_002_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV279_00115_002_01.mp4,240,30.0,1280,720,49,
vp2_gate64_016_REAL_ENV289_00002_003_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV289_00002_003_04.mp4,240,30.0,1280,720,49,
vp2_gate64_017_REAL_ENV205_00002_006_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV205_00002_006_04.mp4,240,30.0,1280,720,49,
vp2_gate64_018_REAL_ENV159_00004_002_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV159_00004_002_01.mp4,240,30.0,1280,720,49,
vp2_gate64_019_REAL_ENV014_00001_002_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV014_00001_002_01.mp4,240,30.0,1280,720,49,
vp2_gate64_020_REAL_ENV039_00001_002_02,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV039_00001_002_02.mp4,240,30.0,1280,720,49,
vp2_gate64_021_REAL_ENV164_00006_004_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV164_00006_004_04.mp4,240,30.0,1280,720,49,
vp2_gate64_022_REAL_ENV167_00002_005_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV167_00002_005_01.mp4,240,30.0,1280,720,49,
vp2_gate64_023_REAL_ENV161_00018_005_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV161_00018_005_04.mp4,240,30.0,1280,720,49,
vp2_gate64_024_REAL_ENV177_00013_001_02,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV177_00013_001_02.mp4,240,30.0,1280,720,49,
vp2_gate64_025_REAL_ENV230_00101_003_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV230_00101_003_04.mp4,240,30.0,1280,720,49,
vp2_gate64_026_REAL_ENV243_00003_002_05,FAILED,,,,,,0,RuntimeError('decoded duplicate frame images for /home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV243_00003_002_05.mp4')
vp2_gate64_027_BLENDER_FACTORY001_01092,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_FACTORY001_01092.mp4,240,24.0,1920,1080,49,
vp2_gate64_028_REAL_ENV242_00125_004_05,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV242_00125_004_05.mp4,240,30.0,1280,720,49,
vp2_gate64_029_REAL_ENV191_00011_002_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV191_00011_002_03.mp4,240,30.0,1280,720,49,
vp2_gate64_030_REAL_ENV800_00024_001_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV800_00024_001_03.mp4,240,30.0,1280,720,49,
vp2_gate64_031_REAL_ENV157_00011_003_02,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV157_00011_003_02.mp4,240,30.0,1280,720,49,
vp2_gate64_032_REAL_ENV185_00008_003_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV185_00008_003_03.mp4,240,30.0,1280,720,49,
vp2_gate64_033_REAL_ENV176_00006_001_02,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV176_00006_001_02.mp4,240,30.0,1280,720,49,
vp2_gate64_034_REAL_ENV212_00023_002_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV212_00023_002_04.mp4,240,30.0,1280,720,49,
vp2_gate64_035_REAL_ENV242_00106_005_05,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV242_00106_005_05.mp4,240,30.0,1280,720,49,
vp2_gate64_036_REAL_ENV172_00007_002_05,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV172_00007_002_05.mp4,240,30.0,1280,720,49,
vp2_gate64_037_REAL_ENV084_00002_001_05,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV084_00002_001_05.mp4,240,30.0,1280,720,49,
vp2_gate64_038_REAL_ENV186_00003_006_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV186_00003_006_01.mp4,240,30.0,1280,720,49,
vp2_gate64_039_REAL_ENV280_00102_007_02,FAILED,,,,,,0,RuntimeError('decoded duplicate frame images for /home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV280_00102_007_02.mp4')
vp2_gate64_040_REAL_ENV278_00003_006_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV278_00003_006_04.mp4,240,29.97002997002997,1280,720,49,
vp2_gate64_041_REAL_ENV165_00001_002_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV165_00001_002_03.mp4,240,30.0,1280,720,49,
vp2_gate64_042_REAL_ENV154_00008_002_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV154_00008_002_03.mp4,240,30.0,1280,720,49,
vp2_gate64_043_REAL_ENV185_00009_005_05,FAILED,,,,,,0,RuntimeError('decoded duplicate frame images for /home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV185_00009_005_05.mp4')
vp2_gate64_044_BLENDER_LAVA001_00001,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_LAVA001_00001.mp4,240,24.0,1920,1080,49,
vp2_gate64_045_REAL_ENV170_00008_007_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV170_00008_007_01.mp4,240,30.0,1280,720,49,
vp2_gate64_046_BLENDER_BEDROOM005_00560,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/BLENDER_BEDROOM005_00560.mp4,240,24.0,1920,1080,49,
vp2_gate64_047_REAL_ENV285_00101_007_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV285_00101_007_03.mp4,240,30.0,1280,720,49,
vp2_gate64_048_REAL_ENV202_00005_003_04,FAILED,,,,,,0,RuntimeError('decoded duplicate frame images for /home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV202_00005_003_04.mp4')
vp2_gate64_049_REAL_ENV161_00016_002_02,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV161_00016_002_02.mp4,240,30.0,1280,720,49,
vp2_gate64_050_REAL_ENV171_00007_004_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV171_00007_004_01.mp4,240,30.0,1280,720,49,
vp2_gate64_051_REAL_ENV177_00004_003_02,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV177_00004_003_02.mp4,240,30.0,1280,720,49,
vp2_gate64_052_REAL_ENV212_00033_001_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV212_00033_001_04.mp4,240,30.0,1280,720,49,
vp2_gate64_053_REAL_ENV181_00006_007_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV181_00006_007_01.mp4,240,30.0,1280,720,49,
vp2_gate64_054_REAL_ENV189_00008_005_05,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV189_00008_005_05.mp4,240,30.0,1280,720,49,
vp2_gate64_055_REAL_ENV156_00008_006_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV156_00008_006_01.mp4,240,30.0,1280,720,49,
vp2_gate64_056_REAL_ENV198_00003_006_02,FAILED,,,,,,0,RuntimeError('decoded duplicate frame images for /home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV198_00003_006_02.mp4')
vp2_gate64_057_REAL_ENV242_00119_004_01,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV242_00119_004_01.mp4,240,30.0,1280,720,49,
vp2_gate64_058_REAL_ENV204_00018_006_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV204_00018_006_03.mp4,240,30.0,1280,720,49,
vp2_gate64_059_REAL_ENV216_00003_006_05,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV216_00003_006_05.mp4,240,30.0,1280,720,49,
vp2_gate64_060_REAL_ENV198_00012_003_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV198_00012_003_03.mp4,240,30.0,1280,720,49,
vp2_gate64_061_REAL_ENV161_00015_001_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV161_00015_001_03.mp4,240,30.0,1280,720,49,
vp2_gate64_062_REAL_ENV054_00002_001_03,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV054_00002_001_03.mp4,240,30.0,1280,720,49,
vp2_gate64_063_REAL_ENV800_00016_005_04,OK,/home/hj/exp26_gate64_runs/gate64_official_43597cf_20260625_031155/source_videos/VOR-Train/BG/REAL_ENV800_00016_005_04.mp4,240,30.0,1280,720,49,
